,0.0,0.0.1,0.1,0.1.1,0.2,0.2.1,0.30000000000000004,0.30000000000000004.1,0.4,0.4.1,0.5,0.5.1,0.6000000000000001,0.6000000000000001.1,0.7000000000000001,0.7000000000000001.1,0.8,0.8.1,0.9,0.9.1,1.0,1.0.1
gene_3_1,7.778410179646103,7.531355667354375,7.700931982001123,7.591783614383338,6.956644592646804,7.805487754625809,7.812137884668255,7.887477584852264,7.85320443586319,7.858477738355894,7.8010282487995,8.357704439517608,8.158019358151424,8.039787626300733,8.25138033259382,8.309306251527264,8.011580460907298,8.598674886629757,8.539588954969407,8.313218388632936,8.121288499183917,8.577255137582114
gene_3_2,8.4248021228973,8.150322705235094,8.246505727005651,8.324858759302872,7.815445519559201,8.396029999235418,8.5865640670912,8.371876714274894,8.349599199267178,8.351475805841744,8.28078611010569,7.861627682850977,8.081414534026303,8.601558582289124,7.959156093380191,8.182983438667662,8.235268642169196,7.874123723283434,7.89256395983152,8.441995776963143,7.9601012800974535,7.9332728041061795
gene_3_3,6.1764907194872665,6.0288971468934305,6.6873291810676445,6.937370099462452,7.2129733148407125,7.3301726147111514,7.601490433213587,7.460424294040296,7.998970625608843,7.906662171253364,7.994426110488147,8.031938908218322,8.162607502796083,7.945823461573141,8.006196792034448,8.056999779016751,7.842568915428456,7.93908609032102,7.531355667354375,7.6165457914458585,7.00188303629517,7.2025191638727915
gene_3_4,7.541698566124822,7.665498830072373,7.644639722089591,7.583383554170378,7.531355667354375,7.517889484478472,7.7034129062950685,7.675758586309642,7.639352358592898,7.4523842510788025,7.630027839669657,7.682114945100975,7.557726854792398,7.516381353285423,7.851086865625144,7.57206630117493,7.481014455443907,7.6909427768594085,7.787522332208724,7.645956963314272,7.43773789147888,7.534322325699409
gene_3_5,7.96575267533735,8.09215803601898,8.32292860632988,8.286826928265468,8.408468097894286,8.923157611280377,8.501963056953493,8.095439357794413,8.253461792784805,7.971370545805699,7.785252500473665,7.841498764486247,7.450768018946635,7.504229054971032,7.776118375969233,7.562051532331004,7.6124634638090605,7.378523876479646,7.820932701169147,8.0501524115161,7.9676290041305,7.868937063094577
gene_3_6,8.003493437018363,7.733888225440008,8.00078234299781,7.844705596288093,8.039787626300733,7.88543536100255,8.494470064329695,8.244408904886017,8.274706511816762,8.2116623226209,7.9601012800974535,8.160316209041042,8.30865265458921,8.141003384888117,7.9898596823513355,7.827475625545695,8.141783507230151,7.792045739626108,8.19337862836548,8.141783507230151,8.122085025150415,8.091335926035002
gene_3_7,9.94262582875229,9.60795612737613,9.226407557992461,8.753322387751776,8.088865305374503,8.55533968632993,7.7942993669080485,7.617902666094816,7.319084208941406,7.083971618299202,7.057391589510683,6.865141664247812,7.285018057428826,6.783680041398421,7.168268595653119,7.139498026565961,7.134993167328903,7.189819919325977,7.55047488066304,7.498093924073555,8.007994751037092,8.06040498593082
gene_3_8,7.758750749416894,7.602869035305248,7.655126704899531,7.666787394626405,7.263580064129502,7.290781529406778,7.662916429187362,7.324644640499631,7.648585961937137,7.537279719708748,7.130466776733744,7.172618274165028,7.4996314369336,7.187686723233584,7.445902706429193,7.355551565065848,7.482579925494073,7.671924191354176,7.824209813899438,7.488816055552601,7.2025191638727915,7.6795775188757665
gene_3_9,8.13316661155114,8.144897586112485,8.001686903629203,7.842568915428456,7.725453521757623,7.929377360067522,7.649897729465499,7.630027839669657,7.541698566124822,7.600109821345235,7.74935611436091,7.587592897726768,7.831812595748824,7.693449973528213,8.00978930303215,7.746992821158419,8.380400612749334,8.21455523216808,8.078084170385418,8.12049130271174,8.072227703174116,8.544188797273899
gene_3_10,7.9006457614481596,7.97695528690425,7.839354827911995,7.770364484272937,7.744623615638595,7.88849704766105,8.019599011012138,7.697198366709954,8.017822969135812,7.867896313582922,7.768053103224542,7.482579925494073,7.74935611436091,7.684645590818522,8.002590601087457,7.840427402894856,8.126850163241048,7.884412595213131,7.8595288844113504,7.88849704766105,7.8065993576059105,7.788655211210515
gene_3_11,6.3309151172482006,6.163984203800018,5.953365217818816,6.468229753653837,6.712351380100888,6.580053574020208,6.071484074420142,6.6001229027919,6.538592082752741,7.251678786489799,6.783680041398421,6.948432083323219,7.710816920340108,7.320941316026763,7.556280895788692,7.65251582612406,8.221749078591735,8.0501524115161,8.403749016779066,8.164893266242167,9.219685629785893,8.99073821058059
gene_3_12,7.017347245850869,7.130466776733744,7.045058654562051,6.815845956205299,7.402655561099727,6.799899557245049,7.088725210930574,6.790201219991079,6.8031103903150925,7.52837968644825,6.615877659997247,6.928987982013889,6.970175801525861,6.733285036425404,7.292694918411077,6.486316480319906,6.7966778010117155,7.41449466148457,7.030043948206337,7.670642601930585,7.4523842510788025,6.942917242825737
