,gene,LLR_gpcounts,pval_gpcounts,qval_gpcounts,g,LLR_spatialde,pval_spatialde,qval_spatialde
0,Apc,79.5812034141711,0,0,Cpe,55.8759223809815,7.71605002114484E-14,1.14652787264191E-09
1,Apod,144.568899282087,0,0,Fabp7,41.9662286614716,9.28634946717466E-11,6.89929333663741E-07
2,Apoe,136.977085714595,0,0,Cck,37.5735837643063,8.8028606626267E-10,4.0715840121941E-06
3,Fabp7,175.133936663826,0,0,Kif5b,37.1460264571482,1.09605868825469E-09,4.0715840121941E-06
4,Fam50a,295.046422331956,0,0,Apod,36.6554083608513,1.40967371109468E-09,4.18926833463118E-06
5,Glul,71.6223515271872,0,0,Apoe,35.698016759089,2.30398444767133E-09,5.70581748465804E-06
6,Gng13,73.800091854866,0,0,Sparcl1,32.1771828729675,1.40733835696238E-08,2.98737723515772E-05
7,Igfbp5,103.324540257669,0,0,Apc,31.5435916234516,1.9501288806012E-08,3.62212062960665E-05
8,Kctd12,105.827657784893,0,0,Doc2g,30.6421541301708,3.10278740478509E-08,5.12270200530018E-05
9,Kif5b,122.983771162099,0,0,Marcks,30.4096449720426,3.4978467788882E-08,5.19745052874998E-05
10,Map1lc3b,98.6543789306348,0,0,Kctd12,29.8456034652301,4.67856613450834E-08,6.31989219933268E-05
11,Mcf2l,107.589255924029,0,0,Glul,28.8197309581803,7.94377078561226E-08,9.83637417528438E-05
12,Mrpl22,465.925563363636,0,0,Slc1a2,27.5792100889343,1.50790842146087E-07,0.000172353932573
13,Omp,100.948938104682,0,0,Ptn,27.4256589305463,1.63250745033317E-07,0.000173267344318
14,Pcp4,75.6155683204545,0,0,Mcf2l,27.1838366648925,1.84998857677421E-07,0.000183259868415
15,Ptgds,84.1280442258155,0,0,S100a5,26.4729447661439,2.6725507717984E-07,0.000248196449488
16,S100a5,108.849796779406,0,0,Cdr1,25.9745494263209,3.45948059088386E-07,0.000285580122777
17,Sash1,80.6559711107439,0,0,Omp,26.0532561429153,3.3212824535056E-07,0.000285580122777
18,Scd1,118.584287635272,0,0,Taf7l,25.8028009372782,3.78139323187199E-07,0.000295724852802
19,Sepp1,89.8775021533845,0,0,Cdhr1,25.4274369882657,4.59338551861421E-07,0.000341265577105
20,Sparcl1,78.7749702533797,0,0,Kcnh3,23.1324213008189,1.51219321042895E-06,0.001069984710179
21,Trak2,81.2935286701218,0,0,Mbp,22.9980167053753,1.62168611828051E-06,0.001095301546888
22,Mbp,67.1314100883278,2.22044604925031E-16,1.43450469E-13,Nrsn1,22.0858894603207,2.60719183642344E-06,0.001684359282496
23,Nrgn,63.861219979551,1.33226762955019E-15,8.24840196E-13,Scd1,21.5409902318272,3.46345994151065E-06,0.002144314636288
24,Nr2f2,63.1455877175214,1.88737914186277E-15,1.12178267E-12,Lpar1,20.8538784670639,4.95687512591658E-06,0.002880692831338
25,Cck,61.3391907890948,4.77395900588817E-15,2.72831757E-12,Trak2,20.8218043990092,5.04058238204319E-06,0.002880692831338
26,Vtn,59.0673231689137,1.52100554373646E-14,8.37060051E-12,Prokr2,20.5702236777977,5.74832880484433E-06,0.003163496952266
27,Frzb,58.7317938891453,1.80966353013901E-14,9.60349657E-12,Nrgn,19.4526132740833,1.03126643309359E-05,0.005472709974763
28,Sorbs1,58.3435813266981,2.19824158875781E-14,1.12633351E-11,4933405L10Rik,19.1506051758909,1.20799197007582E-05,0.005983184227786
29,Timp3,57.6816100403202,3.08642000845794E-14,1.52870383E-11,Gabra1,19.1513748184353,1.207504981382E-05,0.005983184227786
30,Ncdn,57.2227493060644,3.8968828164343E-14,1.86786393E-11,Igfbp5,18.8384444511339,1.42270394001276E-05,0.00681934124021
31,Gng4,57.1036559073137,4.13002965160558E-14,1.91775346E-11,Nr2f2,18.2710053557804,1.91601393131346E-05,0.008896890939183
32,Gpsm1,55.9511186615001,7.4273920347423E-14,3.34435207E-11,Ccnd1,17.905218642573,2.32183569178757E-05,0.010031960709312
33,Lpar1,55.1465126519657,1.11910480882216E-13,4.89081716E-11,Cplx1,17.9664906101832,2.24828131081267E-05,0.010031960709312
34,Calm2,55.0069761790646,1.20126131264442E-13,5.0998691E-11,Tubb2b,17.8717713011566,2.36300306094561E-05,0.010031960709312
35,Atf5,54.6301169008813,1.45439216225896E-13,6.00300365E-11,Unc13c,17.5871344189688,2.74438760410334E-05,0.011327459835937
36,Npy,53.2635075606637,2.91655588569029E-13,1.17127308E-10,Sepp1,17.3162031988942,3.16476779423924E-05,0.012709536393135
37,Camk2b,52.9049151240297,3.50053319664312E-13,1.3688006E-10,Pcp4,17.2299832067777,3.31168285407912E-05,0.012949551454937
38,Sez6,52.6267211875151,4.03344024846319E-13,1.53674073E-10,Atp1b1,17.1182771674167,3.51226762413948E-05,0.013381739647971
39,Marcks,52.432567875984,4.4531045517715E-13,1.65421701E-10,Sash1,16.9551212835914,3.82739319504388E-05,0.01387103304516
40,Ccnd1,52.2164890719431,4.97046848124683E-13,1.80137052E-10,Tspan7,16.974369351493,3.78878515209235E-05,0.01387103304516
41,Tubb2b,51.9373136644427,5.72986103009043E-13,2.02714298E-10,Igfbp2,16.8001800495434,4.15293623508006E-05,0.014692495123108
42,Cpe,50.3683861575535,1.27431398766475E-12,4.20778479E-10,Slc6a11,16.4846997427919,4.90442595132423E-05,0.016947643072262
43,Mest,50.4417937005582,1.22757359832804E-12,4.20778479E-10,Penk,16.0739763164732,6.09154166663073E-05,0.02057141309647
44,Penk,50.3939919440452,1.25777166459784E-12,4.20778479E-10,Aqp4,15.8647497823269,6.80341881241775E-05,0.021619731952511
45,Fmo1,49.9843988296502,1.54976032007426E-12,5.00606274E-10,Frzb,15.9253615301047,6.58898795882212E-05,0.021619731952511
46,Vim,49.5071362638757,1.97653005074017E-12,6.24877873E-10,Gpsm1,15.8550267466429,6.83846424233137E-05,0.021619731952511
47,Ahnak,49.2393807323282,2.26552110405009E-12,7.01320377E-10,Pbx1,15.3801964814106,8.79047599526839E-05,0.026656669961978
48,Ptn,48.9071457260993,2.68374211742639E-12,8.13831105E-10,Slc17a7,15.3954847726837,8.71963995988656E-05,0.026656669961978
49,Beta-s,48.3391619944387,3.58524321342202E-12,1.06546258E-09,Gng13,15.3246588537401,9.05270908950762E-05,0.026902840872199
50,Id3,47.0135823835675,7.04969416176482E-12,2.05394913E-09,Baiap2,15.2131417516971,9.60327895696E-05,0.027979435690484
51,Baiap2,46.7590445323669,8.02735655724973E-12,2.29381714E-09,Ptgds,14.9623007450073,0.000109680689227,0.030979766797029
52,Ncrna00085,45.8050585739315,1.30625510408322E-11,3.66219709E-09,Rbfox3,14.9482492744708,0.000110500547832,0.030979766797029
53,Atp1b1,44.961460392261,2.00950367457153E-11,5.52948428E-09,Gna14,14.8481519616035,0.000116522183005,0.031480056677767
54,Gja1,44.8724499929094,2.10296224878448E-11,5.68143928E-09,Olfr635,14.8481519616035,0.000116522183005,0.031480056677767
55,Cpne4,44.3055298516742,2.80921952366953E-11,7.45396302E-09,Sorbs1,14.7339689377023,0.000123795654587,0.032847850562523
56,Nrsn1,43.8942438955788,3.46607187395875E-11,9.0355021E-09,Foxd3,14.6277144361013,0.000130974199168,0.033554234921438
57,Ahcyl2,43.6244561679174,3.97836208421154E-11,1.01921521E-08,Rab3b,14.6308696594094,0.000130755111386,0.033554234921438
58,Kcnh3,43.4543555732421,4.33965086088506E-11,1.09293004E-08,Arhgap33,14.5806832399515,0.000134284041112,0.03381909435388
59,Vamp2,43.3528971611955,4.57058835223734E-11,1.13190621E-08,Igf1,14.5415523449614,0.000137101995194,0.033953309109714
60,Nudt4,42.7105329394896,6.34695629386783E-11,1.54605612E-08,Camk2b,14.2690701034042,0.000158447216784,0.037973664422432
61,Cldn5,41.7147360659124,1.05609965217468E-10,2.53106205E-08,Vtn,14.2692843071939,0.000158429185557,0.037973664422432
