,0.0,0.0.1,0.0.2,0.2,0.2.1,0.2.2,0.4,0.4.1,0.4.2,0.6,0.6.1,0.6.2,0.8,0.8.1,0.8.2,1.0,1.0.1,1.0.2
gene_4_1,3055.0,0.0,3968.0,918.0,3370.0,881.0,226.0,291.0,0.0,14.0,246.0,379.0,25.0,47.0,3066.0,274.0,355.0,1968.0
gene_4_2,3016.0,669.0,0.0,562.0,392.0,668.0,1946.0,793.0,162.0,419.0,359.0,551.0,181.0,4.0,1480.0,1.0,1731.0,88.0
gene_4_3,604.0,42.0,1470.0,2552.0,916.0,112.0,0.0,14973.0,156.0,330.0,0.0,34822.0,2659.0,241.0,1562.0,1765.0,108.0,1968.0
gene_4_4,381.0,35.0,1615.0,2311.0,36.0,211.0,195.0,29.0,132.0,442.0,0.0,5.0,288.0,0.0,80.0,49.0,3.0,255.0
gene_4_5,745.0,475.0,379.0,15405.0,1374.0,219.0,377.0,376.0,5446.0,100.0,1367.0,1937.0,4883.0,907.0,2164.0,74.0,749.0,2005.0
gene_4_6,19.0,233.0,12.0,25.0,12.0,18.0,20.0,61.0,98.0,116.0,331.0,117.0,470.0,280.0,1.0,116.0,34.0,5.0
gene_4_7,12544.0,70139.0,6111.0,3757.0,1616.0,1763.0,18435.0,9147.0,41470.0,2195.0,25085.0,8920.0,79.0,679.0,516.0,11.0,9.0,280.0
gene_4_8,18354.0,988.0,458.0,541.0,10538.0,7461.0,1055.0,162.0,7523.0,17567.0,390.0,25513.0,4241.0,15835.0,3267.0,2282.0,7383.0,10212.0
gene_4_9,559.0,706.0,239.0,5878.0,185.0,16722.0,5801.0,92894.0,99.0,23.0,13095.0,12711.0,2351.0,503.0,357.0,2815.0,4100.0,1073.0
gene_4_10,20209.0,8627.0,59030.0,59484.0,1471.0,20115.0,1718.0,6861.0,1657.0,2636.0,10680.0,13345.0,72976.0,2030.0,700.0,26.0,6784.0,7166.0
gene_4_11,810.0,0.0,195.0,3806.0,1516.0,1214.0,132.0,1379.0,2638.0,62.0,506.0,308.0,1982.0,6865.0,907.0,387.0,1827.0,1330.0
gene_4_12,78.0,321.0,25.0,96.0,173.0,130.0,619.0,208.0,280.0,336.0,100.0,7.0,25.0,185.0,339.0,113.0,31.0,1.0
gene_4_13,10.0,113.0,26.0,2982.0,1341.0,636.0,861.0,145.0,0.0,3927.0,1303.0,58.0,3824.0,984.0,2.0,54.0,2304.0,108.0
gene_4_14,8.0,140.0,254.0,27.0,223.0,182.0,100.0,58.0,0.0,62.0,0.0,82.0,2258.0,31.0,0.0,3.0,2.0,0.0
gene_4_15,444.0,570.0,587.0,363.0,1176.0,2934.0,997.0,7182.0,2061.0,1265.0,368.0,1377.0,21.0,363.0,330.0,24.0,208.0,1507.0
gene_4_16,137.0,286.0,246.0,141.0,778.0,227.0,53.0,23.0,147.0,1437.0,312.0,648.0,100.0,31.0,201.0,10.0,216.0,11.0
