,0.0,0.0.1,0.1,0.1.1,0.2,0.2.1,0.30000000000000004,0.30000000000000004.1,0.4,0.4.1,0.5,0.5.1,0.6000000000000001,0.6000000000000001.1,0.7000000000000001,0.7000000000000001.1,0.8,0.8.1,0.9,0.9.1,1.0,1.0.1
gene_4_1,21.0,63.0,0.0,85.0,89.0,283.0,178.0,90.0,81.0,262.0,183.0,6.0,189.0,23.0,846.0,43.0,4.0,22.0,2633.0,84.0,5013.0,2975.0
gene_4_2,566.0,936.0,2568.0,1015.0,0.0,108.0,121.0,732.0,210.0,977.0,2292.0,1998.0,5.0,167.0,0.0,1428.0,31.0,4011.0,1036.0,45.0,47.0,126.0
gene_4_3,9.0,78.0,623.0,927.0,104.0,292.0,69.0,325.0,663.0,1248.0,937.0,3096.0,999.0,2604.0,3364.0,2317.0,10.0,94.0,239.0,88.0,562.0,447.0
gene_4_4,1410.0,31.0,798.0,107.0,1061.0,612.0,444.0,513.0,728.0,520.0,322.0,579.0,967.0,879.0,181.0,1508.0,1281.0,647.0,193.0,9.0,5.0,76.0
gene_4_5,555.0,971.0,208.0,78.0,62.0,19.0,10.0,6.0,41.0,18.0,75.0,53.0,38.0,164.0,1095.0,278.0,3056.0,360.0,905.0,430.0,18891.0,3469.0
gene_4_6,91.0,175.0,89.0,352.0,149.0,144.0,11.0,410.0,124.0,72.0,96.0,27.0,0.0,1.0,25.0,150.0,138.0,178.0,6.0,47.0,24.0,83.0
gene_4_7,0.0,248.0,1.0,14347.0,1793.0,1.0,18.0,2743.0,33907.0,57208.0,12093.0,2.0,366639.0,101190.0,25351.0,2081.0,3495.0,38.0,1615.0,283.0,2406.0,70.0
gene_4_8,3197.0,10926.0,1910.0,3711.0,3967.0,14515.0,3278.0,698.0,18421.0,7468.0,169322.0,3443.0,84938.0,80747.0,0.0,17158.0,10548.0,680.0,2604.0,258.0,46.0,2118.0
gene_4_9,51.0,1757.0,897.0,1830.0,977.0,913.0,722.0,387.0,1867.0,5971.0,4629.0,3895.0,618.0,652.0,163.0,3.0,4.0,54.0,67.0,49.0,75.0,16.0
gene_4_10,278.0,15.0,1603.0,126.0,98.0,3017.0,37.0,558.0,1775.0,727.0,4947.0,5017.0,125.0,1709.0,156.0,589.0,150.0,232.0,896.0,1160.0,6081.0,168.0
gene_4_11,18119.0,28925.0,40.0,1774.0,1387.0,5.0,1963.0,42.0,390.0,296.0,18.0,226.0,454.0,4.0,84.0,483.0,273.0,1.0,853.0,231.0,517.0,730.0
gene_4_12,6.0,517.0,1472.0,1754.0,478.0,115.0,1781.0,215.0,1359.0,212.0,268.0,1246.0,1071.0,973.0,324.0,406.0,126.0,402.0,257.0,15.0,463.0,207.0
gene_4_13,12.0,6.0,22.0,101.0,139.0,12.0,112.0,80.0,50.0,368.0,986.0,2114.0,27771.0,3796.0,8083.0,727.0,9045.0,85.0,352.0,1006.0,180.0,14.0
gene_4_14,153.0,138.0,383.0,648.0,471.0,104.0,566.0,17.0,473.0,4.0,378.0,323.0,1009.0,103.0,73.0,7.0,11.0,907.0,1859.0,95.0,22.0,249.0
gene_4_15,1075.0,1447.0,2151.0,16.0,14089.0,0.0,8043.0,1757.0,5495.0,111.0,5225.0,1456.0,1073.0,2418.0,3264.0,9937.0,268.0,199.0,212.0,260.0,204.0,263.0
gene_4_16,1554.0,538.0,3736.0,1014.0,2434.0,836.0,3166.0,277.0,288.0,8.0,1176.0,3617.0,1952.0,356.0,1930.0,3021.0,1610.0,15628.0,606.0,0.0,1163.0,1951.0
