,0.0,0.0.1,0.0.2,0.2,0.2.1,0.2.2,0.4,0.4.1,0.4.2,0.6,0.6.1,0.6.2,0.8,0.8.1,0.8.2,1.0,1.0.1,1.0.2
gene_3_1,1692.0,1889.0,2032.0,577.0,237.0,679.0,305.0,339.0,255.0,377.0,275.0,556.0,1059.0,910.0,1022.0,2867.0,1863.0,3787.0
gene_3_2,73.0,122.0,161.0,142.0,143.0,90.0,75.0,161.0,118.0,53.0,80.0,61.0,83.0,101.0,110.0,96.0,143.0,67.0
gene_3_3,46362.0,70381.0,21661.0,13197.0,14198.0,11393.0,650.0,1197.0,710.0,78.0,55.0,36.0,45.0,33.0,27.0,186.0,237.0,129.0
gene_3_4,35600.0,31232.0,33918.0,28252.0,25629.0,29036.0,15334.0,26168.0,21356.0,29141.0,29049.0,31386.0,36014.0,34960.0,31583.0,31611.0,20958.0,25317.0
gene_3_5,7540.0,6888.0,6256.0,3057.0,2325.0,2313.0,472.0,479.0,449.0,147.0,185.0,169.0,304.0,283.0,312.0,1528.0,1924.0,1432.0
gene_3_6,1492.0,1575.0,1773.0,2005.0,1868.0,1886.0,1877.0,1635.0,2038.0,2176.0,1444.0,2296.0,1758.0,1431.0,1723.0,2225.0,2275.0,1649.0
gene_3_7,10394.0,10942.0,14489.0,6514.0,6260.0,4052.0,2693.0,1338.0,1902.0,751.0,505.0,567.0,205.0,230.0,244.0,113.0,98.0,82.0
gene_3_8,486.0,418.0,699.0,561.0,687.0,251.0,477.0,566.0,887.0,498.0,587.0,499.0,385.0,696.0,576.0,643.0,549.0,433.0
gene_3_9,577.0,756.0,985.0,427.0,935.0,513.0,363.0,655.0,458.0,206.0,400.0,469.0,370.0,285.0,215.0,426.0,323.0,223.0
gene_3_10,138.0,115.0,98.0,95.0,99.0,170.0,194.0,87.0,145.0,149.0,157.0,115.0,133.0,188.0,136.0,133.0,124.0,136.0
gene_3_11,1738.0,1430.0,1846.0,709.0,1298.0,1045.0,419.0,438.0,334.0,518.0,443.0,488.0,465.0,421.0,405.0,768.0,923.0,589.0
gene_3_12,288.0,189.0,201.0,280.0,283.0,349.0,234.0,166.0,261.0,259.0,206.0,267.0,358.0,303.0,169.0,265.0,212.0,214.0
gene_3_13,133.0,179.0,139.0,864.0,600.0,664.0,5916.0,4953.0,4759.0,4695.0,5112.0,4734.0,585.0,550.0,678.0,157.0,161.0,170.0
gene_3_14,83.0,107.0,93.0,125.0,95.0,98.0,110.0,125.0,124.0,101.0,113.0,118.0,99.0,114.0,123.0,106.0,139.0,122.0
gene_3_15,1603.0,1873.0,3024.0,2240.0,1273.0,1035.0,1025.0,884.0,1271.0,564.0,487.0,466.0,372.0,355.0,347.0,162.0,365.0,402.0
gene_3_16,1569.0,1943.0,2037.0,1075.0,1433.0,1404.0,1611.0,1292.0,1431.0,1873.0,1949.0,1069.0,1998.0,1533.0,1712.0,2255.0,1897.0,1303.0
gene_3_17,1293.0,1288.0,914.0,1495.0,654.0,895.0,603.0,656.0,1019.0,1007.0,771.0,1373.0,1102.0,849.0,952.0,915.0,1130.0,1412.0
gene_3_18,416.0,444.0,387.0,304.0,436.0,348.0,436.0,317.0,377.0,194.0,360.0,302.0,279.0,416.0,307.0,389.0,531.0,384.0
