,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
ENSMUSG00000000001,-644.6266480514979,-664.8947739659297,20.268125914431838,0:00:00.672594,0:00:00.672594
ENSMUSG00000000028,-530.1829175324492,-537.163378830265,6.9804612978157365,0:00:00.707086,0:00:00.707086
ENSMUSG00000000031,-220.3668687052539,-220.36686462987137,-4.075382548762718e-06,0:00:01.070641,0:00:01.070641
ENSMUSG00000000037,-371.0648206510828,-372.01351779716487,0.9486971460819972,0:00:00.813669,0:00:00.813669
ENSMUSG00000000049,-130.68846430861674,-131.85703295863541,1.168568650018642,0:00:00.796342,0:00:00.796342
ENSMUSG00000000056,-626.4519080701045,-637.9899737851679,11.538065715063341,0:00:00.657013,0:00:00.657013
ENSMUSG00000000058,-628.0448113685393,-648.4025083919993,20.357697023459988,0:00:00.676675,0:00:00.676675
ENSMUSG00000000078,-681.3983588469607,-685.5422300365352,4.143871189574611,0:00:00.611871,0:00:00.611871
ENSMUSG00000000085,-670.7511786871931,-670.7501973230255,-0.000981364167614629,0:00:00.748454,0:00:00.748454
ENSMUSG00000000088,-575.2336463874138,-582.7494650680686,7.515818680654888,0:00:00.593424,0:00:00.593424
ENSMUSG00000000120,-328.53425613416283,-328.9862150801735,0.4519589460106772,0:00:00.657164,0:00:00.657164
ENSMUSG00000000127,-663.9331581110773,-667.904469306726,3.9713111956488083,0:00:00.633156,0:00:00.633156
ENSMUSG00000000131,-654.8952852164505,-656.7328813740198,1.8375961575694648,0:00:00.608050,0:00:00.608050
ENSMUSG00000000134,-664.9612403336099,-673.4833647151426,8.522124381532535,0:00:00.620907,0:00:00.620907
ENSMUSG00000000142,-550.5882189006345,-549.3750309277933,-1.2131879728411832,0:00:00.630549,0:00:00.630549
ENSMUSG00000000148,-658.3828269724178,-658.9681266873571,0.5852997149394241,0:00:00.534886,0:00:00.534886
ENSMUSG00000000149,-574.045299165601,-574.9739103575627,0.9286111919617496,0:00:00.960407,0:00:00.960407
ENSMUSG00000000154,-129.22275340713884,-129.22275209137428,-1.3157645639694238e-06,0:00:00.953661,0:00:00.953661
ENSMUSG00000000157,-141.19503514484848,-141.19510615101166,7.100616318211905e-05,0:00:00.594322,0:00:00.594322
ENSMUSG00000000159,-548.6154971799136,-550.9602907042325,2.3447935243189018,0:00:00.616109,0:00:00.616109
ENSMUSG00000000167,-498.0752103041097,-502.5976648067863,4.5224545026766805,0:00:00.678508,0:00:00.678508
ENSMUSG00000000168,-687.5739844703622,-690.3872082635055,2.813223793143265,0:00:00.626582,0:00:00.626582
ENSMUSG00000000171,-423.8107134894571,-429.15548878477773,5.344775295320744,0:00:02.069395,0:00:02.069395
ENSMUSG00000000184,-365.3286834505018,-423.9333165479468,58.60463309744495,0:00:00.591487,0:00:00.591487
ENSMUSG00000000194,-667.8121163574161,-667.7226803842161,-0.08943597320001118,0:00:00.548893,0:00:00.548893
ENSMUSG00000000197,-666.5244015409943,-679.184012255865,12.65961071487061,0:00:00.555025,0:00:00.555025
ENSMUSG00000000202,-642.8639798277086,-644.2200982825641,1.3561184548555048,0:00:00.562344,0:00:00.562344
ENSMUSG00000000214,-476.55716338185374,-495.91014423254506,19.35298085069144,0:00:00.621428,0:00:00.621428
ENSMUSG00000000215,-747.8627368934503,-747.8627325564847,-4.336965616857924e-06,0:00:00.796933,0:00:00.796933
ENSMUSG00000000216,-304.0259544125333,-301.48824144178815,-2.537712970745133,0:00:01.438722,0:00:01.438722
ENSMUSG00000000223,-56.934217213085276,-59.85423086355389,2.9200136504686043,0:00:00.885414,0:00:00.885414
ENSMUSG00000000253,-687.9348293958802,-685.4820218245773,-2.4528075713029693,0:00:00.582082,0:00:00.582082
ENSMUSG00000000266,-584.3574205506551,-584.3809729415292,0.023552390874101548,0:00:00.631060,0:00:00.631060
ENSMUSG00000000275,-645.0976209224073,-648.225815235363,3.1281943129557703,0:00:00.571332,0:00:00.571332
ENSMUSG00000000276,-615.8399099810215,-620.4657489899673,4.625839008945718,0:00:00.615476,0:00:00.615476
ENSMUSG00000000278,-666.6968070425647,-668.4042548031832,1.7074477606186065,0:00:00.636188,0:00:00.636188
ENSMUSG00000000282,-629.152698696947,-632.8093368899839,3.6566381930368834,0:00:00.649253,0:00:00.649253
ENSMUSG00000000295,-596.7686175208263,-614.2574842286327,17.488866707806665,0:00:00.611073,0:00:00.611073
ENSMUSG00000000296,-568.7807790665961,-571.4870796123317,2.706300545735644,0:00:00.543895,0:00:00.543895
ENSMUSG00000000301,-519.0539865248946,-519.1617577279028,0.10777120300815568,0:00:00.731820,0:00:00.731820
ENSMUSG00000000303,-681.016616186092,-685.4612427394508,4.444626553358604,0:00:00.719381,0:00:00.719381
ENSMUSG00000000305,-448.87245852189517,-457.5540198384425,8.681561316547402,0:00:00.609057,0:00:00.609057
ENSMUSG00000000308,-663.3669207138056,-663.4425929716809,0.0756722578754534,0:00:00.581984,0:00:00.581984
ENSMUSG00000000317,-609.6558102358978,-610.5690996714634,0.9132894355657301,0:00:00.644550,0:00:00.644550
ENSMUSG00000000320,-190.97771122334527,-190.9917505317156,0.014039308370399795,0:00:00.833388,0:00:00.833388
ENSMUSG00000000325,-685.8602063563837,-704.6462133342609,18.78600697787715,0:00:00.580236,0:00:00.580236
ENSMUSG00000000326,-475.0579596820823,-479.40592318684526,4.347963504762959,0:00:00.641199,0:00:00.641199
ENSMUSG00000000339,-625.3795985082617,-631.8615234914425,6.4819249831809875,0:00:00.598238,0:00:00.598238
ENSMUSG00000000340,-602.9742362837724,-603.9932339727421,1.0189976889697618,0:00:00.668696,0:00:00.668696
ENSMUSG00000000346,-552.5186140852869,-562.9487629938101,10.430148908523163,0:00:00.598036,0:00:00.598036
ENSMUSG00000000355,-636.6874508031412,-636.94433232447,0.25688152132875075,0:00:00.748749,0:00:00.748749
ENSMUSG00000000365,-208.3995889221791,-208.39929342465643,-0.0002954975226430179,0:00:00.782726,0:00:00.782726
ENSMUSG00000000374,-606.3228747620233,-608.8854764695093,2.5626017074858964,0:00:00.579322,0:00:00.579322
ENSMUSG00000000378,-632.2965706794078,-641.5752263498208,9.278655670412943,0:00:00.571818,0:00:00.571818
ENSMUSG00000000384,-605.741288220069,-608.878707518174,3.1374192981049878,0:00:00.590838,0:00:00.590838
ENSMUSG00000000385,-239.3895633250414,-241.89432861915446,2.5047652941130707,0:00:01.317497,0:00:01.317497
ENSMUSG00000000386,-275.12652250609017,-283.4825731757592,8.35605066966906,0:00:00.697936,0:00:00.697936
ENSMUSG00000000392,-537.8219643305232,-570.6428878522745,32.82092352175141,0:00:00.542089,0:00:00.542089
ENSMUSG00000000394,-134.5550655893901,-367.598794533291,233.0437289439009,0:00:00.669615,0:00:00.669615
ENSMUSG00000000399,-635.2232475194827,-642.5652704381096,7.342022918626982,0:00:00.616897,0:00:00.616897
ENSMUSG00000000402,-298.81324513481064,-298.8138576885675,0.0006125537568664187,0:00:00.607228,0:00:00.607228
ENSMUSG00000000409,-647.4868003150964,-659.8700722599791,12.383271944882722,0:00:00.589911,0:00:00.589911
ENSMUSG00000000411,-111.67490215222358,-111.67493583112837,3.367890479921698e-05,0:00:00.570318,0:00:00.570318
ENSMUSG00000000416,-312.80412012251526,-312.80386405489736,-0.000256067617840472,0:00:00.880405,0:00:00.880405
ENSMUSG00000000420,-668.2343763442556,-672.0906691492584,3.856292805002795,0:00:00.623618,0:00:00.623618
ENSMUSG00000000439,-625.8366221577883,-627.8391197582314,2.0024976004432347,0:00:00.564421,0:00:00.564421
ENSMUSG00000000441,-640.3916557426587,-644.918163024721,4.526507282062198,0:00:00.640123,0:00:00.640123
ENSMUSG00000000486,-123.43493727827627,-124.87613823419446,1.4412009559181909,0:00:01.387246,0:00:01.387246
ENSMUSG00000000489,80.58180236132944,80.58180216016694,2.0116249288548715e-07,0:00:00.634680,0:00:00.634680
ENSMUSG00000000531,-461.3842510121016,-465.4609992355822,4.0767482234805925,0:00:00.662533,0:00:00.662533
ENSMUSG00000000532,-606.6538246176624,-610.2967301623523,3.6429055446900516,0:00:00.653877,0:00:00.653877
ENSMUSG00000000538,-688.3420883274397,-688.3420012546567,-8.707278300335021e-05,0:00:00.894892,0:00:00.894892
ENSMUSG00000000544,-548.4206875625998,-632.795108444229,84.37442088162912,0:00:00.661133,0:00:00.661133
ENSMUSG00000000552,-314.7179880425867,-314.7181487835892,0.00016074100244622969,0:00:01.600389,0:00:01.600389
ENSMUSG00000000555,48.059510646446476,48.670671115150974,-0.6111604687044974,0:00:03.502028,0:00:03.502028
ENSMUSG00000000560,-5.786531979934808,-6.535852479757239,0.7493204998224314,0:00:00.811644,0:00:00.811644
ENSMUSG00000000561,-706.8508717059187,-710.3073431469281,3.4564714410093984,0:00:00.578851,0:00:00.578851
ENSMUSG00000000562,-168.49491371678528,-168.49522511243754,0.00031139565226112614,0:00:00.640683,0:00:00.640683
ENSMUSG00000000563,-357.36080978657134,-367.663370635232,10.302560848660676,0:00:00.616753,0:00:00.616753
ENSMUSG00000000567,-427.03355894422026,-434.3338066913688,7.300247747148433,0:00:00.646508,0:00:00.646508
ENSMUSG00000000568,-606.2674815637846,-619.3382616324759,13.070780068691304,0:00:00.605724,0:00:00.605724
ENSMUSG00000000579,-440.429547033277,-440.42950776161683,-3.927166022776874e-05,0:00:03.634925,0:00:03.634925
ENSMUSG00000000581,-618.0622833862624,-632.9248309121309,14.862547525868536,0:00:00.608741,0:00:00.608741
ENSMUSG00000000594,-554.9392413853392,-554.9398614266898,0.0006200413506576298,0:00:00.781793,0:00:00.781793
ENSMUSG00000000600,-668.7147702866026,-668.9471952552304,0.2324249686278108,0:00:00.615270,0:00:00.615270
ENSMUSG00000000605,-677.3060702115374,-677.372326416948,0.06625620541058197,0:00:00.617437,0:00:00.617437
ENSMUSG00000000627,-528.8833775351425,-536.4786670859089,7.595289550766437,0:00:00.713675,0:00:00.713675
ENSMUSG00000000628,-178.41460478221646,-178.41402089022048,-0.0005838919959160194,0:00:00.658957,0:00:00.658957
ENSMUSG00000000631,-617.2288549576216,-630.4293351303145,13.200480172692892,0:00:00.547633,0:00:00.547633
ENSMUSG00000000632,-452.3275585542356,-462.94270423771997,10.61514568348423,0:00:00.580098,0:00:00.580098
ENSMUSG00000000673,-52.63557975435207,-52.633133687059505,-0.002446067292567023,0:00:00.731800,0:00:00.731800
ENSMUSG00000000682,21.55050963431819,21.56466357880436,-0.014153944486167804,0:00:03.524371,0:00:03.524371
ENSMUSG00000000686,-572.3282816031318,-582.1601840065788,9.831902403446747,0:00:00.634950,0:00:00.634950
ENSMUSG00000000693,-325.12687968969936,-325.1268784565279,-1.2331714742686015e-06,0:00:01.056885,0:00:01.056885
ENSMUSG00000000708,-644.1993377450331,-644.1993343165337,-3.428499326219025e-06,0:00:00.955535,0:00:00.955535
ENSMUSG00000000711,-623.2632521031861,-623.265149735324,0.0018976321379113872,0:00:00.891055,0:00:00.891055
ENSMUSG00000000724,-56.60333311819239,-56.704335499410035,0.10100238121765416,0:00:00.841416,0:00:00.841416
ENSMUSG00000000731,-52.381903937386596,-52.381420013723975,-0.00048392366261396086,0:00:02.832501,0:00:02.832501
ENSMUSG00000000732,-99.21644932157507,-124.73050961039196,25.51406028881689,0:00:00.736622,0:00:00.736622
ENSMUSG00000000738,-661.9927456690739,-663.8562357348627,1.863490065788824,0:00:00.635681,0:00:00.635681
