,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_3_1,39.81458144700497,32.08699969689437,7.727581750110602
gene_3_2,43.39657661435277,42.840534434123114,0.5560421802296531
gene_3_3,51.642478653655324,20.882453294533207,30.760025359122118
gene_3_4,59.08390363278339,59.08414492072488,-0.0002412879414919189
gene_3_5,35.88641417777587,33.23396458476971,2.6524495930061605
gene_3_6,47.983498085529625,47.9837400855201,-0.0002419999904716974
gene_3_7,40.29801000549446,15.365062309706403,24.93294769578806
gene_3_8,44.134679960898,44.134708377320884,-2.8416422885868542e-05
gene_3_9,45.24641160652938,39.82934935291543,5.417062253613949
gene_3_10,53.61720820081716,53.61750832444639,-0.00030012362923059754
gene_3_11,33.42737813808519,12.371538089608666,21.055840048476522
gene_3_12,34.84174593024538,34.84566964856162,-0.003923718316237057
gene_3_13,54.74332660655415,42.26436463734386,12.478961969210289
gene_3_14,56.058989908523294,57.04579371261519,-0.9868038040918989
gene_3_15,37.81726364989139,27.15459412038434,10.662669529507049
gene_3_16,46.20835517508345,46.21056328990423,-0.002208114820781759
gene_3_17,36.88805027786173,30.415002400422274,6.4730478774394555
gene_3_18,35.57381037334596,35.573957473414794,-0.00014710006883689175
gene_3_19,36.48773386814333,15.154256720845119,21.33347714729821
gene_3_20,47.27370359724807,47.273729872097206,-2.6274849133756106e-05
gene_3_21,32.43898647542837,31.156590334112714,1.2823961413156582
gene_3_22,42.43984154762103,44.44861480579621,-2.0087732581751823
gene_3_23,37.833015804633,15.138725068825238,22.694290735807762
gene_3_24,52.75650565540286,52.75666477977461,-0.00015912437174847582
gene_3_25,34.84402702253385,31.56722498410871,3.276802038425142
gene_3_26,38.44803591703248,38.39332879840193,0.05470711863054589
gene_3_27,44.85555718838041,8.240253591110449,36.61530359726996
gene_3_28,50.9880195643111,50.988036838365275,-1.7274054172844444e-05
gene_3_29,42.704110814347686,42.722914193371594,-0.018803379023907496
gene_3_30,49.42616374353672,49.42627256306771,-0.00010881953099328712
gene_3_31,33.127045201439536,7.518374611120617,25.60867059031892
gene_3_32,32.188126275662924,32.18825184546031,-0.00012556979738320706
gene_3_33,36.00389801769889,35.634874738505545,0.36902327919334255
gene_3_34,41.46327457999738,41.4632907941834,-1.6214186018714827e-05
gene_3_35,43.2827897014455,9.460816893746895,33.82197280769861
gene_3_36,55.079573655697274,55.07985565597271,-0.00028200027543334727
gene_3_37,41.88515154798778,32.65155356110331,9.233597986884469
gene_3_38,41.421530055910644,41.42166818090354,-0.00013812499289400648
gene_3_39,34.9978220671412,16.127177080356986,18.870644986784214
gene_3_40,36.485966053882166,36.48616300415741,-0.0001969502752459107
gene_3_41,49.11680430337765,34.7084220483064,14.408382255071245
gene_3_42,55.50830115720635,54.9656401681234,0.5426609890829468
gene_3_43,43.969576166446444,11.660488452428403,32.30908771401804
gene_3_44,39.553260682993084,39.55326193922879,-1.2562357056822293e-06
gene_3_45,33.5898643534528,28.029449835014937,5.560414518437867
gene_3_46,37.42281898341452,37.24421331879475,0.17860566461977356
gene_3_47,48.59683821185723,14.98889431308421,33.60794389877302
gene_3_48,60.52728609568701,60.52730115988283,-1.506419582142371e-05
gene_3_49,40.775074003495064,38.80251822684298,1.9725557766520865
gene_3_50,41.693044368012764,41.69309585163373,-5.148362096463188e-05
gene_3_51,46.59677086576153,13.357471148082364,33.23929971767916
gene_3_52,41.92345123002865,41.92345178973665,-5.59708006164783e-07
gene_3_53,36.42424746162362,28.021150087970657,8.403097373652965
gene_3_54,51.98137284157826,51.937035112545615,0.0443377290326481
gene_3_55,39.53955087688584,7.2256032798082686,32.31394759707757
gene_3_56,39.777342318314396,39.77735086477955,-8.54646515335844e-06
gene_3_57,38.540664106616326,36.09044369709963,2.450220409516696
gene_3_58,37.521756077644746,37.521975728687416,-0.00021965104266996605
gene_3_59,37.508974373986334,13.047087673210203,24.46188670077613
gene_3_60,36.554789438582034,37.447631100642354,-0.8928416620603201
gene_3_61,38.68486961562378,35.63753925162664,3.0473303639971405
gene_3_62,46.41838300996838,46.387968714328196,0.03041429564018472
gene_3_63,33.91881820892292,8.310249810461944,25.608568398460978
gene_3_64,40.401408873028686,40.40141528568648,-6.412657796772692e-06
gene_3_65,42.663061650026144,37.22219940287145,5.440862247154691
gene_3_66,38.79027501461082,38.790422222453,-0.000147207842182695
gene_3_67,38.328270880207924,8.37871414320059,29.949556737007335
gene_3_68,47.990551010072636,47.99055424807406,-3.2380014260979806e-06
gene_3_69,35.66712693319694,28.844475119227567,6.822651813969372
gene_3_70,43.09049731410819,43.07528154771926,0.015215766388934071
gene_3_71,31.927066863506454,7.002087690100765,24.92497917340569
gene_3_72,44.31685675561755,44.316859183691655,-2.428074104443567e-06
gene_3_73,26.92354380167811,24.68862277730146,2.23492102437665
gene_3_74,39.687406682723235,39.68839934334353,-0.0009926606202910193
gene_3_75,35.752536473660186,18.905752865115243,16.846783608544943
gene_3_76,39.29836634407557,39.29848248609483,-0.00011614201925880252
gene_3_77,38.743056681731126,32.67711839301107,6.065938288720055
gene_3_78,40.70838488810438,40.70851378438533,-0.00012889628094825412
gene_3_79,41.45119036114544,14.154808612651202,27.29638174849424
gene_3_80,49.22559433868493,46.54121555717988,2.684378781505046
gene_3_81,35.825716816416254,35.42129378148422,0.40442303493203013
gene_3_82,39.08486266475721,39.08486320946401,-5.447068005537403e-07
gene_3_83,38.41336768098219,13.17884606804315,25.23452161293904
gene_3_84,47.659585378297166,47.6598493677153,-0.00026398941813710053
gene_3_85,38.14151057102513,31.533827868123975,6.607682702901155
gene_3_86,58.351808553976895,58.32201652961518,0.029792024361711356
gene_3_87,40.8872154298806,18.89494957810741,21.992265851773187
gene_3_88,42.91373390040864,42.913743968243885,-1.0067835248150914e-05
gene_3_89,31.560021868943785,30.26145507668829,1.298566792255496
gene_3_90,38.4139523844698,38.413957013187996,-4.628718194510384e-06
gene_3_91,30.38422811126052,12.754599042515775,17.629629068744745
gene_3_92,35.52551602049462,35.357993326813784,0.16752269368083716
gene_3_93,39.302851035604235,36.78218213771512,2.5206688978891165
gene_3_94,36.23366012873136,36.23379495209016,-0.00013482335879899665
gene_3_95,42.75239031469748,10.385520369269301,32.36686994542818
gene_3_96,42.47549735764862,42.475618716363535,-0.00012135871491381067
gene_3_97,39.144115683214906,33.693723532319,5.450392150895908
gene_3_98,57.8625034049929,57.58361247943743,0.2788909255554728
gene_3_99,50.64376856058045,23.975545923216757,26.66822263736369
gene_3_100,59.68426305871807,61.57976513640949,-1.8955020776914253
gene_3_101,34.52845901850419,30.109941341272883,4.418517677231311
gene_3_102,44.251840469855566,44.25218509388945,-0.0003446240338860207
gene_3_103,30.074614302358555,14.830462136692049,15.244152165666506
gene_3_104,40.94296527568882,40.942989988809174,-2.4713120353681006e-05
gene_3_105,36.37578627265317,30.824890059474463,5.55089621317871
gene_3_106,42.004903220470126,42.00513230518061,-0.0002290847104831073
gene_3_107,48.95044986814008,7.042137005025907,41.908312863114176
gene_3_108,55.212807503399304,55.212808630169185,-1.1267698809547255e-06
gene_3_109,38.11924957147812,34.267218211356536,3.852031360121586
gene_3_110,46.662968690338424,46.60395206510334,0.05901662523508122
gene_3_111,34.32504386546426,6.9817893344622455,27.343254531002014
gene_3_112,39.536688191379106,39.53676754522175,-7.935384264357026e-05
gene_3_113,52.50249862509952,42.77946189994053,9.723036725158991
gene_3_114,50.33559372826524,50.33579812515302,-0.00020439688778139953
gene_3_115,32.86270444127738,7.528189746635867,25.334514694641513
gene_3_116,34.86043355267699,34.86043406396852,-5.112915317795341e-07
gene_3_117,44.108518001888115,40.63163962410955,3.4768783777785615
gene_3_118,50.15478870066464,50.15502296721698,-0.00023426655234004556
gene_3_119,39.04686544469588,21.919132478721753,17.12773296597413
gene_3_120,47.532941483426924,47.532942270668336,-7.872414116150139e-07
gene_3_121,29.70736560078111,27.535782253501864,2.1715833472792454
gene_3_122,40.225390818306856,38.985969326232706,1.2394214920741504
gene_3_123,42.91250668752778,8.200752137779617,34.711754549748164
gene_3_124,56.98095750276269,56.980968094791436,-1.0592028743872106e-05
gene_3_125,42.76339106839772,29.671324171808436,13.092066896589287
gene_3_126,51.32930218713764,51.32942045446794,-0.00011826733030062542
gene_3_127,47.06684586306035,15.962227817905347,31.104618045155004
gene_3_128,60.386805093989416,60.2972072125614,0.08959788142801273
gene_3_129,40.82257108070984,41.99784199376287,-1.1752709130530263
gene_3_130,45.72014158250835,45.720145926768474,-4.344260126742938e-06
gene_3_131,32.609343541605824,15.714620290598283,16.89472325100754
gene_3_132,43.20687329682004,40.62672439637519,2.580148900444854
gene_3_133,39.2547870755249,30.68698399553011,8.567803079994793
gene_3_134,44.15720642946995,44.15747670362298,-0.00027027415303138014
gene_3_135,40.71497097014023,23.513762267768207,17.20120870237202
gene_3_136,39.68010343202372,39.68010416479789,-7.327741684548528e-07
gene_3_137,32.09780022108224,26.8974157018541,5.2003845192281375
gene_3_138,38.36825111378995,38.368252618860616,-1.505070663654351e-06
gene_3_139,31.065856181952427,12.49634009386552,18.569516088086907
gene_3_140,41.9741496927876,41.97443379879398,-0.0002841060063829559
gene_3_141,40.00504231398183,26.830222036022132,13.1748202779597
gene_3_142,47.49963413937805,47.499701430551404,-6.729117335169121e-05
gene_3_143,46.21724141651005,22.709497715807856,23.507743700702193
gene_3_144,57.189014803740015,57.18925025864574,-0.00023545490572729477
gene_3_145,32.13297198493955,31.03690286906082,1.0960691158787306
gene_3_146,33.34642389838193,34.723554122147284,-1.3771302237653558
gene_3_147,42.413307519286526,14.0436877517999,28.369619767486626
gene_3_148,55.55535572496875,55.555256875787016,9.884918173241886e-05
gene_3_149,46.01605915618814,27.83010443996254,18.185954716225602
gene_3_150,49.04040204320114,48.94937290607426,0.09102913712688121
gene_3_151,42.48166742833459,7.929009594473385,34.552657833861204
gene_3_152,45.470266660202945,45.47055321499266,-0.000286554789717286
gene_3_153,46.748675057020364,36.548954016753214,10.19972104026715
gene_3_154,56.02237352257546,55.4547636144714,0.5676099081040533
gene_3_155,54.59322429424472,18.14488146921304,36.44834282503168
gene_3_156,56.755307395132036,55.96510166698819,0.7902057281438459
gene_3_157,32.209028549181916,32.20251276401359,0.006515785168325294
gene_3_158,37.86144516622382,37.86164753435886,-0.00020236813504226348
gene_3_159,39.508404510724034,11.34342159609978,28.164982914624254
gene_3_160,47.253949756093554,47.25418332276581,-0.00023356667225726824
gene_3_161,39.24450480810166,34.13482417583663,5.109680632265032
gene_3_162,41.35563810925259,41.364072357847675,-0.008434248595087013
gene_3_163,42.99772371305374,13.359818132044499,29.63790558100924
gene_3_164,53.078869058984424,53.07887339412774,-4.3351433163252295e-06
gene_3_165,55.99538210398631,51.086713464957434,4.908668639028875
gene_3_166,59.2224531486927,58.006300060721664,1.216153087971037
gene_3_167,37.384102659345565,10.78940699430158,26.594695665043986
gene_3_168,42.55864955246167,42.55865197118189,-2.4187202214420722e-06
gene_3_169,43.18116518403466,39.80632532788008,3.37483985615458
gene_3_170,47.64842662650497,47.64847953916112,-5.2912656151704596e-05
gene_3_171,37.42289086445594,7.40060184078607,30.022289023669867
gene_3_172,42.475654868175994,42.47577891254762,-0.0001240443716241657
gene_3_173,36.65866542202212,32.87812099223101,3.7805444297911066
gene_3_174,48.26267522912017,48.26267757791166,-2.3487914901920703e-06
gene_3_175,38.37097041782133,13.409762177884943,24.96120823993639
gene_3_176,47.98148502162504,47.98150027607717,-1.5254452129909168e-05
gene_3_177,34.179063774117964,32.56032443313053,1.6187393409874318
gene_3_178,44.723485697704504,44.72357485352978,-8.91558252789082e-05
gene_3_179,46.3023409859143,12.392675463549033,33.909665522365266
gene_3_180,51.61274914806644,51.61789131177108,-0.005142163704640268
gene_3_181,49.06465856857164,37.35009899573641,11.714559572835228
gene_3_182,52.53462102225827,52.5346637835097,-4.276125142865794e-05
gene_3_183,36.49033323602187,15.96619817646879,20.52413505955308
gene_3_184,44.569231121733374,44.56941819293593,-0.00018707120255356813
gene_3_185,34.31617907683539,31.420574068120686,2.8956050087147034
gene_3_186,46.147149701494804,46.147169812265936,-2.0110771131953697e-05
gene_3_187,28.311786272639704,12.150629148788408,16.161157123851297
gene_3_188,34.94718471887811,34.9473241159124,-0.0001393970342888906
gene_3_189,40.851396996959764,36.63385101812693,4.217545978832831
