,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_2_1,-15.550686696338666,-16.397316190268683,0.846629493930017
gene_2_2,-18.633241757272728,-18.633241532881705,-2.2439102309590453e-07
gene_2_3,-14.5345509838309,-14.268898130712508,-0.26565285311839304
gene_2_4,-12.42092361184222,-13.203453941210892,0.7825303293686723
gene_2_5,-14.26568744299805,-13.021282278371142,-1.244405164626908
gene_2_6,-11.595866028821572,-11.595865950319105,-7.850246674934169e-08
gene_2_7,-13.996702536603483,-13.0021836662305,-0.9945188703729819
gene_2_8,-12.167620446873759,-11.5627619754593,-0.6048584714144596
gene_2_9,-10.883640458033703,-10.883641859579491,1.4015457878713278e-06
gene_2_10,-7.9969067978287995,-7.996904720379526,-2.0774492739406014e-06
gene_2_11,-16.72700258140423,-17.007548021422764,0.28054544001853543
gene_2_12,-16.968227235495974,-16.96822716370242,-7.179355421271794e-08
gene_2_13,-15.894250602447434,-16.2751820528132,0.38093145036576637
gene_2_14,-12.54971815496814,-12.549662490216516,-5.566475162410711e-05
gene_2_15,-16.803190171042978,-17.056996492775937,0.25380632173295936
gene_2_16,-13.607452142202675,-14.281548969266264,0.6740968270635896
gene_2_17,-15.374110069516785,-15.374110005438702,-6.407808328390274e-08
gene_2_18,-17.524919588666016,-17.524913908330078,-5.680335938507142e-06
gene_2_19,-16.62702838344801,-17.41396752302392,0.7869391395759102
gene_2_20,-11.478106805126316,-11.47809635104872,-1.0454077596477873e-05
gene_2_21,-14.972716158045635,-15.254866442838555,0.2821502847929196
gene_2_22,-12.54967112057394,-12.549662490216516,-8.630357424266322e-06
gene_2_23,-14.30106756986375,-14.3028156159168,0.0017480460530485686
gene_2_24,-11.286366332577675,-11.286365566537274,-7.660404008902333e-07
gene_2_25,-10.975487191342914,-16.000229213734173,5.0247420223912584
gene_2_26,-15.910527946167445,-15.91044572393221,-8.22222352354629e-05
gene_2_27,-15.352681467484556,-15.020158098415369,-0.3325233690691878
gene_2_28,-12.568926826382597,-12.568710137925194,-0.0002166884574030803
gene_2_29,-13.012352067663336,-15.336230667015322,2.3238785993519855
gene_2_30,-15.732174454987879,-15.73217409470908,-3.6027879879441116e-07
gene_2_31,-1.4118815471041266,-11.439206553664366,10.02732500656024
gene_2_32,-13.372314690000962,-14.3028156159168,0.9305009259158368
gene_2_33,-15.42084061385509,-16.283180261209004,0.8623396473539149
gene_2_34,-14.026008760938726,-14.025561649285326,-0.00044711165340061143
gene_2_35,-15.967473084313227,-16.844104472158868,0.8766313878456415
gene_2_36,-10.70143082054516,-10.701080801761325,-0.0003500187838341162
gene_2_37,-11.259764486574692,-13.645181420539249,2.3854169339645566
gene_2_38,-13.453708521015841,-14.989261874398998,1.5355533533831576
gene_2_39,-17.881723739482464,-18.02933229545105,0.1476085559685849
gene_2_40,-16.250513904030008,-16.250471172877358,-4.273115265007732e-05
gene_2_41,-17.06822769544933,-16.39550459022381,-0.672723105225522
gene_2_42,-10.56266405961744,-10.562663877728735,-1.8188870498647702e-07
gene_2_43,-11.877551791336995,-14.438997127045752,2.5614453357087577
gene_2_44,-13.021282382929737,-13.021282278371142,-1.0455859467128903e-07
gene_2_45,-9.277665198725114,-9.755659286874298,0.47799408814918465
gene_2_46,-6.901827051977776,-6.901826374317487,-6.776602887725858e-07
gene_2_47,-13.065599860790801,-13.482746624244836,0.4171467634540349
gene_2_48,-11.497761047815743,-11.5627619754593,0.06500092764355614
gene_2_49,-11.522559003020188,-11.52255890965705,-9.336313766539206e-08
gene_2_50,-12.865457974665862,-12.865456391503479,-1.5831623834117181e-06
gene_2_51,-12.364123278467979,-12.85866065271652,0.49453737424854083
gene_2_52,-13.201119939057051,-13.203453941210896,0.0023340021538444944
gene_2_53,-15.537792579243119,-13.636229859862162,-1.9015627193809568
gene_2_54,-13.985241699852399,-13.98523813596002,-3.563892377655975e-06
gene_2_55,-14.46065757444418,-13.000596298583268,-1.4600612758609124
gene_2_56,-9.755659977094169,-9.755659286874298,-6.902198705915907e-07
gene_2_57,-11.17656604465824,-14.302815615916803,3.126249571258562
