,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
gene_1,-14.981055250739841,-18.881929698558224,3.900874447818383,0:00:00.269795,0:00:00.269795
gene_2,46.76804703546084,46.76803058320485,1.645225599133937e-05,0:00:01.517925,0:00:01.517925
gene_3,-15.640604411021844,-15.640582781038777,0.0,0:00:00.247147,0:00:00.247147
gene_4,59.89129144408983,59.89131451112327,0.0,0:00:01.414799,0:00:01.414799
gene_5,-12.480471418546038,-16.776247523208827,4.295776104662789,0:00:00.228618,0:00:00.228618
gene_6,56.38243362737437,56.38346725495269,0.0,0:00:01.412108,0:00:01.412108
gene_7,-17.558598679446924,-19.874664856242216,2.3160661767952924,0:00:00.223973,0:00:00.223973
gene_8,49.48079025512327,49.480793525038614,0.0,0:00:01.377564,0:00:01.377564
gene_9,-17.168919436973336,-18.292030092165206,1.1231106551918693,0:00:00.227921,0:00:00.227921
gene_10,49.525946160299256,49.527239953412256,0.0,0:00:01.406202,0:00:01.406202
gene_11,4.376927553980785,-1.1418994327180805,5.5188269866988655,0:00:01.311283,0:00:01.311283
gene_12,56.9190168265798,56.88086529417981,0.038151532399986365,0:00:01.380658,0:00:01.380658
gene_13,-17.68987288290807,-20.608757541512162,2.9188846586040924,0:00:00.230273,0:00:00.230273
gene_14,46.23217559098709,46.23219874000555,0.0,0:00:01.408419,0:00:01.408419
gene_15,-13.730975590453191,-19.593320527270862,5.862344936817671,0:00:00.230875,0:00:00.230875
gene_16,53.25025505680307,53.2528996862019,0.0,0:00:01.408434,0:00:01.408434
gene_17,-13.65467915230879,-16.98730225400207,3.3326231016932812,0:00:00.229694,0:00:00.229694
gene_18,58.84024116684306,58.840368718697015,0.0,0:00:01.375481,0:00:01.375481
gene_19,-20.245173786618583,-19.695668643850198,0.0,0:00:00.222225,0:00:00.222225
gene_20,54.11201817638538,50.875519530215556,3.236498646169821,0:00:01.333632,0:00:01.333632
gene_21,-13.717993360716036,-13.717992801954402,0.0,0:00:00.249118,0:00:00.249118
gene_22,55.12158680218591,54.610785767391526,0.5108010347943832,0:00:01.320502,0:00:01.320502
gene_23,-11.860728139317764,-13.80176121576538,1.9410330764476154,0:00:00.233440,0:00:00.233440
gene_24,61.50238908030805,60.024061894178715,1.4783271861293343,0:00:01.347602,0:00:01.347602
gene_25,-18.234106691469133,-18.98102594936376,0.7469192578946284,0:00:00.229685,0:00:00.229685
gene_26,51.80975408928055,51.80984655017238,0.0,0:00:01.460273,0:00:01.460273
gene_27,-19.866570859503724,-19.268021482511717,0.0,0:00:00.223280,0:00:00.223280
gene_28,60.24495812352626,60.244964365619396,0.0,0:00:01.404633,0:00:01.404633
gene_29,-11.26663515520063,-16.48778105655736,5.22114590135673,0:00:00.231478,0:00:00.231478
gene_30,62.456382069444714,62.456413814357454,0.0,0:00:01.433028,0:00:01.433028
gene_31,-19.21208301329972,-19.233237659390653,0.021154646090934648,0:00:00.228492,0:00:00.228492
gene_32,42.029096707548135,42.02924531843284,0.0,0:00:01.424593,0:00:01.424593
gene_33,-16.995963388361908,-17.157092168543254,0.1611287801813468,0:00:00.246985,0:00:00.246985
gene_34,47.85349339418393,47.74946768942076,0.10402570476316697,0:00:01.354993,0:00:01.354993
gene_35,-13.280911112473941,-14.201973291507755,0.9210621790338145,0:00:00.234102,0:00:00.234102
gene_36,52.87513672206025,52.87514974609171,0.0,0:00:01.418431,0:00:01.418431
gene_37,-18.493614677005862,-18.832304046651867,0.33868936964600493,0:00:00.220927,0:00:00.220927
gene_38,48.150826545111684,48.150833322387264,0.0,0:00:01.402822,0:00:01.402822
gene_39,-16.54261514470923,-19.1246723868689,2.582057242159671,0:00:00.225799,0:00:00.225799
gene_40,58.84061828666006,58.84062161415584,0.0,0:00:01.404424,0:00:01.404424
gene_41,1.6448201597569039,-19.07273711566462,20.717557275421523,0:00:01.309380,0:00:01.309380
gene_42,56.07255823662689,55.99441860085923,0.0781396357676627,0:00:01.358196,0:00:01.358196
gene_43,-17.797495348731573,-19.152633136842734,1.3551377881111613,0:00:00.231994,0:00:00.231994
gene_44,43.541280976609926,43.502878697531045,0.0384022790788805,0:00:01.327583,0:00:01.327583
gene_45,-19.148230142772732,-19.14822952887353,0.0,0:00:00.239318,0:00:00.239318
gene_46,47.834763042637135,47.65731640195525,0.17744664068188598,0:00:01.318755,0:00:01.318755
gene_47,-14.789323244787177,-17.867539938309424,3.078216693522247,0:00:00.224781,0:00:00.224781
gene_48,55.13943362316746,55.13536924760251,0.004064375564951206,0:00:01.345495,0:00:01.345495
