,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1_1,-16.103510667728735,-16.111209377066757,0.007698709338022525
gene_1_2,-17.69336139441463,-18.028093441909824,0.33473204749519425
gene_1_3,-16.776602851091127,-17.040738312818416,0.26413546172728886
gene_1_4,-19.761329850174356,-19.709156725181046,-0.05217312499330973
gene_1_5,-12.329885008965096,-13.320850637682984,0.9909656287178876
gene_1_6,-13.869982884157562,-14.015960406638328,0.14597752248076645
gene_1_7,-18.72054205968961,-18.667837672381197,-0.0527043873084132
gene_1_8,-21.254683282966383,-20.397320545551455,-0.8573627374149275
gene_1_9,-15.598998375960612,-17.198337340784704,1.599338964824092
gene_1_10,-9.68033183957527,-9.899995175902816,0.21966333632754598
gene_1_11,-12.135739172419022,-12.157685176418038,0.02194600399901603
gene_1_12,-15.956546116095382,-16.049181883874077,0.09263576777869531
gene_1_13,-22.705071578600624,-22.77290435376995,0.06783277516932529
gene_1_14,-19.78569876214161,-19.786015956139188,0.00031719399757790256
gene_1_15,-16.092813947489898,-16.148987060788865,0.05617311329896779
gene_1_16,-15.544477747746562,-15.67081779660458,0.12634004885801708
gene_1_17,-19.31448144634031,-19.386357158751217,0.07187571241090751
gene_1_18,-23.549262772103265,-18.696564052888135,-4.85269871921513
gene_1_19,-19.719828429486427,-20.93621665636038,1.2163882268739528
gene_1_20,-20.735221980524653,-20.73881906156747,0.003597081042816086
gene_1_21,-9.824223861572015,-9.824197469223517,-2.6392348498660567e-05
gene_1_22,-10.74106513260326,-10.741063956865105,-1.1757381557231383e-06
gene_1_23,-20.93148511605044,-20.931484596925625,-5.19124814246652e-07
gene_1_24,-16.6335292641119,-17.00544424560038,0.3719149814884801
gene_1_25,-5.635851156164346,-8.155559197626228,2.5197080414618824
gene_1_26,-16.975018981119494,-16.97484023427625,-0.0001787468432432604
gene_1_27,-5.905730659164849,-11.733968002673379,5.82823734350853
gene_1_28,-17.094533907808675,-16.436975993554153,-0.6575579142545216
gene_1_29,-14.344295788137583,-14.58614590341104,0.2418501152734578
gene_1_30,-8.516497933008331,-8.51645951314189,-3.8419866442040984e-05
gene_1_31,-15.646795327408634,-16.00800362188732,0.3612082944786845
gene_1_32,-18.90814977209208,-18.908148691255754,-1.0808363271053167e-06
gene_1_33,-21.641801523938792,-21.41936651922526,-0.22243500471353173
gene_1_34,-18.006221942011482,-18.086047514885635,0.07982557287415304
gene_1_35,-15.812426967199078,-15.89698853903431,0.08456157183523239
gene_1_36,-15.126195064601703,-15.126195006831509,-5.777019396191463e-08
gene_1_37,-21.744799938084103,-23.285573764182125,1.5407738260980217
gene_1_38,-16.843929437226116,-16.843929279293768,-1.5793234808825218e-07
gene_1_39,-21.08660881127974,-21.086604880858758,-3.930420980680083e-06
gene_1_40,-20.963247637539812,-20.963247361180322,-2.763594899590771e-07
gene_1_41,-14.206751197281672,-17.743392965948278,3.5366417686666054
gene_1_42,-18.413054798956377,-18.412981721677,-7.307727937799768e-05
gene_1_43,-16.708875916717822,-19.060812548093885,2.351936631376063
gene_1_44,5.65655960408726,5.692621953894886,-0.03606234980762579
gene_1_45,-21.36300084910058,-21.90684783461385,0.5438469855132695
gene_1_46,-19.54424614673099,-19.544181665903196,-6.448082779542119e-05
gene_1_47,-22.139013611584932,-21.7439130797299,-0.39510053185503224
gene_1_48,-21.357104042861387,-19.297750577884777,-2.05935346497661
gene_1_49,-19.76038714466117,-19.76023381746605,-0.00015332719511818027
gene_1_50,-20.843046608596616,-20.65679177653942,-0.18625483205719462
gene_1_51,2.4211066997800472,1.8941090066998747,0.5269976930801725
gene_1_52,1.6424211160207776,0.647215115519387,0.9952060005013905
gene_1_53,-17.196091544374134,-17.40049939340483,0.20440784903069442
gene_1_54,-20.11114851976808,-20.111098409142784,-5.0110625295474165e-05
gene_1_55,-21.315275287703003,-21.31515470440454,-0.00012058329846098559
gene_1_56,-19.693951344678634,-20.648675811092602,0.9547244664139676
gene_1_57,-20.357446629372156,-20.959878347648456,0.6024317182762999
gene_1_58,-21.034019761185686,-21.033808934123577,-0.00021082706210862057
gene_1_59,-21.70723811104929,-24.401677292333744,2.694439181284455
gene_1_60,-15.569526843697025,-19.25944358770753,3.689916744010505
gene_1_61,-16.731113272790214,-16.057925452023667,-0.6731878207665467
gene_1_62,-16.416098577342392,-16.41609840553234,-1.7181005418365203e-07
gene_1_63,-19.70693127616537,-21.57716796103753,1.870236684872161
gene_1_64,-20.605394449269212,-20.755418622714984,0.15002417344577168
gene_1_65,-17.039547351015255,-20.202735746483647,3.163188395468392
gene_1_66,-23.104851890425003,-23.104838637370875,-1.325305412791522e-05
gene_1_67,-14.797321397324193,-14.797319908465603,-1.4888585901928764e-06
gene_1_68,-8.317408222459612,-8.31740751480367,-7.07655942733254e-07
gene_1_69,-12.610559582522612,-14.667744026045582,2.0571844435229707
gene_1_70,-10.119431323835894,-9.940198098159598,-0.1792332256762954
gene_1_71,-10.23662676337688,-13.140966052547792,2.904339289170913
gene_1_72,-11.407911191034593,-11.407889101305884,-2.2089728709318024e-05
gene_1_73,-22.72801988446953,-22.727827242282515,-0.00019264218701309233
gene_1_74,-17.134566046084856,-18.526607870140772,1.3920418240559158
gene_1_75,7.772857721705947,7.444282119559965,0.3285756021459818
gene_1_76,-12.292589159966763,-12.410537393429486,0.1179482334627231
gene_1_77,-22.984601000239586,-23.689430664883332,0.7048296646437464
gene_1_78,-19.2244050724021,-19.224404319774784,-7.526273151370333e-07
gene_1_79,-16.65614255860533,-13.815058977580463,-2.8410835810248685
gene_1_80,-19.39100768967641,-19.43755489065027,0.04654720097385834
gene_1_81,-23.061475390624615,-23.155020642640487,0.09354525201587194
gene_1_82,-20.874333572916,-20.874243499137688,-9.007377831338204e-05
gene_1_83,-17.320274099212213,-17.320258308434497,-1.5790777716517823e-05
gene_1_84,6.392246186471624,6.392279359218172,-3.317274654790481e-05
gene_1_85,-21.137576318045326,-20.937125257769857,-0.20045106027546922
gene_1_86,-14.601131520564586,-14.601126985343338,-4.5352212474369935e-06
gene_1_87,-15.367724322002248,-15.36772353364886,-7.883533879038396e-07
gene_1_88,-21.78493439729383,-21.78493432826572,-6.902811122699859e-08
gene_1_89,-20.790422185137547,-20.790370549810817,-5.16353267308034e-05
gene_1_90,-20.02341463263381,-20.023412165213106,-2.467420703311518e-06
gene_1_91,-9.392872015236613,-9.679626413088535,0.28675439785192225
gene_1_92,-21.10213379947565,-21.102100740977242,-3.305849840629094e-05
gene_1_93,-22.894118470856984,-25.226675644536108,2.332557173679124
gene_1_94,-8.818735066237736,-8.81844477780638,-0.00029028843135492366
gene_1_95,4.230411099114292,2.150686072714052,2.07972502640024
gene_1_96,-10.707555392319165,-10.741014227682683,0.03345883536351835
gene_1_97,-20.62679401913753,-23.207607493768595,2.5808134746310643
gene_1_98,-20.41108555267158,-20.703021181980986,0.29193562930940686
gene_1_99,-17.019575658358136,-20.046016556888592,3.0264408985304563
