,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_4_1,-48.75407683093472,-49.56614761529282,0.8120707843580988
gene_4_2,-52.77779091591251,-52.777765958083315,-2.4957829197091996e-05
gene_4_3,-45.60452692666041,-45.1560349027765,-0.4484920238839152
gene_4_4,-40.89843544587568,-43.71668792065938,2.818252474783705
gene_4_5,-38.65996787603457,-49.28271918480583,10.622751308771257
gene_4_6,-46.02037484141033,-43.487763647113255,-2.5326111942970755
gene_4_7,-61.929102651285035,-62.813453787017174,0.884351135732139
gene_4_8,-54.87575998883582,-55.013909990350335,0.13815000151451784
gene_4_9,-45.51699361754686,-50.43918442265246,4.9221908051056005
gene_4_10,-44.746537436014144,-44.79109454969032,0.044557113676177096
gene_4_11,-52.98973021985268,-53.02074910882402,0.031018888971338754
gene_4_12,-42.106490642560125,-41.65814763176834,-0.4483430107917883
gene_4_13,-45.073071105287404,-52.32935834452982,7.256287239242418
gene_4_14,-45.01630646806595,-45.01614378409468,-0.00016268397126850687
gene_4_15,-51.56167617831312,-51.561666480726444,-9.697586676793435e-06
gene_4_16,-49.93118797800331,-49.93109212410589,-9.585389742028383e-05
gene_4_17,-51.65444775060928,-51.65441020989258,-3.7540716697037624e-05
gene_4_18,-50.67444578795542,-50.67444413434444,-1.6536109797016252e-06
gene_4_19,-57.85789567998925,-57.85789427933461,-1.4006546393829922e-06
gene_4_20,-54.33794028414295,-54.337936160110495,-4.124032457752946e-06
gene_4_21,-47.556478461021925,-49.820826822622436,2.2643483616005113
gene_4_22,-36.44288389105958,-36.44275292062949,-0.00013097043009224762
gene_4_23,-53.16664243383707,-52.87652612221714,-0.2901163116199257
gene_4_24,-41.69482632568165,-41.69482431725374,-2.0084279128695925e-06
gene_4_25,-54.58004463957007,-54.69111375717047,0.11106911760040106
gene_4_26,-45.77407128064042,-45.77407058192673,-6.987136913494396e-07
gene_4_27,-47.46233186738782,-47.51218977112751,0.04985790373969223
gene_4_28,-55.44219511510324,-55.44649052119481,0.004295406091571863
gene_4_29,-44.137877602155115,-49.30122024767724,5.163342645522128
gene_4_30,-42.16525671024078,-42.00187009998761,-0.1633866102531698
gene_4_31,-53.04390457123826,-55.232635872780826,2.1887313015425676
gene_4_32,-45.08523990318791,-45.54043764766529,0.45519774447738115
gene_4_33,-56.292667331448015,-57.749735040390945,1.4570677089429296
gene_4_34,-44.830931943457315,-44.83091623319127,-1.5710266048074573e-05
gene_4_35,-47.900443471338484,-48.15938234740609,0.258938876067603
gene_4_36,-49.898468744847854,-49.89833235290014,-0.0001363919477128661
gene_4_37,-48.63129297427085,-52.364119056558025,3.7328260822871755
gene_4_38,-47.55077710021328,-47.550623753896076,-0.0001533463172052052
gene_4_39,-54.35297725187968,-54.352963913470305,-1.3338409374341609e-05
gene_4_40,-51.36845691985161,-51.36844082299568,-1.609685592995902e-05
gene_4_41,-47.32119260935612,-52.31815749911598,4.996964889759866
gene_4_42,-48.80674684216983,-48.85726476829829,0.05051792612846384
gene_4_43,-55.597818680712265,-55.60524737561724,0.007428694904973554
gene_4_44,-68.14223427362307,-62.60056773292028,-5.541666540702792
gene_4_45,-52.45875863428428,-54.56422834900633,2.105469714722048
gene_4_46,-50.97354640853524,-51.18088213855367,0.20733573001842842
gene_4_47,-55.206155382418075,-57.33284708887058,2.1266917064525046
gene_4_48,-43.09405991924429,-43.09403520893946,-2.4710304828090557e-05
gene_4_49,-52.33608851275581,-53.683892444790416,1.3478039320346085
gene_4_50,-53.11513144185137,-53.34829980768464,0.23316836583327216
gene_4_51,-45.617556167810484,-47.62659295941235,2.009036791601865
gene_4_52,-42.76016393918545,-42.760307273327825,0.00014333414237199804
gene_4_53,-49.92527654435323,-53.020977953986716,3.0957014096334845
gene_4_54,-39.375328878386526,-39.37670424329432,0.0013753649077941077
gene_4_55,-57.33187534119051,-58.28950081996067,0.9576254787701615
gene_4_56,-53.61873170976877,-53.61956091360049,0.0008292038317208039
gene_4_57,-43.11932816197095,-45.351697614543035,2.2323694525720867
gene_4_58,-49.45783404803021,-49.457830059425646,-3.988604561300235e-06
gene_4_59,-48.02575049207016,-48.58684722843556,0.5610967363653998
gene_4_60,-44.22947594987568,-45.488707580809574,1.259231630933897
gene_4_61,-56.85439533806574,-56.854382281528274,-1.3056537468969509e-05
gene_4_62,-54.4633901654075,-52.961697122858396,-1.5016930425491068
gene_4_63,-46.107810689274714,-58.05993239124185,11.952121701967137
gene_4_64,-49.78113450628338,-49.78110350677353,-3.0999509846196815e-05
gene_4_65,-43.021051556100176,-43.021028555370286,-2.3000729889588456e-05
gene_4_66,-45.997463764057876,-45.99744866420505,-1.509985282410753e-05
gene_4_67,-49.40142236602091,-49.82947054905232,0.42804818303140735
gene_4_68,-51.84948182826612,-51.84940616621296,-7.566205316322794e-05
gene_4_69,-53.80290975303602,-44.5422018866895,-9.260707866346522
gene_4_70,-47.31161251157882,-47.311263739067655,-0.0003487725111668283
gene_4_71,-51.338991281000304,-53.101579111113224,1.7625878301129205
gene_4_72,-50.72968546368187,-50.729679700575375,-5.763106493361647e-06
gene_4_73,-38.371083811335,-43.74962670396116,5.3785428926261645
gene_4_74,-45.05862046753941,-45.98355397144039,0.9249335039009736
gene_4_75,-45.914282255031274,-45.91426044885798,-2.1806173293725806e-05
gene_4_76,-48.14324702369974,-48.14324001236112,-7.011338624351993e-06
gene_4_77,-46.39012080737321,-45.74788972955566,-0.6422310778175486
gene_4_78,-37.01213025278887,-37.01804380972041,0.0059135569315387215
gene_4_79,-46.182342906395355,-53.93650900657377,7.754166100178416
gene_4_80,-39.621596825931796,-39.62156295859734,-3.38673344586482e-05
gene_4_81,-47.96194993119783,-50.72725250123802,2.765302570040191
gene_4_82,-46.13721895859885,-46.13721560483156,-3.3537672905481486e-06
gene_4_83,-51.192564460561414,-52.299664053087355,1.107099592525941
gene_4_84,-45.06324688863765,-45.06319713162977,-4.9757007879236426e-05
gene_4_85,-51.59174249214576,-54.066249480294616,2.4745069881488533
gene_4_86,-47.262322239545114,-48.12918354950913,0.8668613099640154
gene_4_87,-55.57540869514152,-55.47925661226381,-0.09615208287770827
gene_4_88,-54.59487847230983,-54.59487628754417,-2.1847656626050593e-06
gene_4_89,-39.98085838004228,-47.99599918721721,8.01514080717493
gene_4_90,-40.23932710385621,-40.23926177362892,-6.533022729371396e-05
gene_4_91,-46.18882423862428,-46.52380719600199,0.33498295737771144
gene_4_92,-41.963568938964954,-41.96351887505782,-5.006390713191422e-05
gene_4_93,-53.92949114473876,-53.9294906051657,-5.395730653390274e-07
gene_4_94,-57.03842591093621,-57.49795232144126,0.45952641050504894
gene_4_95,-42.899838671609885,-43.35992713747282,0.4600884658629383
gene_4_96,-42.95486984101423,-43.12048512948766,0.16561528847343254
gene_4_97,-41.50221800698225,-52.906388106530905,11.404170099548658
gene_4_98,-40.75476088938983,-40.806239901431546,0.051479012041717453
gene_4_99,-54.47137649728076,-54.494106943983006,0.022730446702247775
gene_4_100,-53.64877640155368,-53.64877330603285,-3.095520831664089e-06
gene_4_101,-50.54226563297921,-57.96171246480194,7.419446831822732
gene_4_102,-46.75684138448218,-46.756770161848564,-7.122263361480918e-05
gene_4_103,-46.30756043619286,-51.755666955727676,5.448106519534818
gene_4_104,-41.27991899519011,-41.55104380785628,0.27112481266617294
gene_4_105,-47.62467772841228,-55.39565010088725,7.770972372474972
gene_4_106,-53.92048962785954,-53.920489087696424,-5.401631142376573e-07
gene_4_107,-54.85971155459225,-57.201304554146326,2.3415929995540736
gene_4_108,-50.635277964434266,-50.965925177113746,0.33064721267948016
gene_4_109,-53.09495693169994,-53.993593947526705,0.8986370158267647
gene_4_110,-42.12714717211804,-42.12713436236129,-1.2809756753995316e-05
gene_4_111,-50.115265221664814,-50.61710641342412,0.5018411917593042
gene_4_112,-46.24156346883625,-46.241562579529386,-8.893068610404953e-07
gene_4_113,-50.69386759627257,-50.693766294393406,-0.00010130187916246314
gene_4_114,-51.5814349892208,-51.58143460963801,-3.795827936414753e-07
gene_4_115,-52.70993587820995,-52.7093427516041,-0.0005931266058496476
gene_4_116,-57.77816518425145,-57.77814503098225,-2.015326919746485e-05
gene_4_117,-50.118569820896,-52.78338873093799,2.664818910041994
gene_4_118,-51.3929447448032,-51.39287122074536,-7.352405783933591e-05
gene_4_119,-53.883018808201854,-54.45257063024292,0.5695518220410634
gene_4_120,-48.82086610262398,-49.223981153392906,0.40311505076892473
gene_4_121,-52.61764675248086,-53.64938610669958,1.0317393542187219
gene_4_122,-44.44568081942972,-44.48721528577478,0.041534466345062526
gene_4_123,-51.771656170679634,-52.42730281220052,0.6556466415208888
gene_4_124,-38.51734046307085,-38.82684754448319,0.30950708141234173
gene_4_125,-46.751369417237534,-50.135752492509724,3.38438307527219
gene_4_126,-43.07180930190173,-43.07180729277245,-2.009129282498634e-06
gene_4_127,-47.710179630714514,-48.89354717470225,1.1833675439877354
gene_4_128,-51.40028767286054,-51.930483774086184,0.5301961012256413
gene_4_129,-49.99243264998438,-51.15376279955295,1.1613301495685704
gene_4_130,-46.71095662825884,-46.19247572356359,-0.5184809046952523
gene_4_131,-52.42100153642397,-52.93185330963635,0.5108517732123801
gene_4_132,-43.11190992717097,-43.249510919476734,0.13760099230576373
gene_4_133,-52.96533099699376,-54.06123341280106,1.095902415807302
gene_4_134,-42.5064887525221,-42.750705664921924,0.24421691239982124
gene_4_135,-48.824097579320146,-50.47089706884954,1.6467994895293927
gene_4_136,-51.89110273397803,-51.891039838809505,-6.289516852575616e-05
gene_4_137,-50.9151908282776,-58.493658368742395,7.578467540464793
gene_4_138,-44.2370859326643,-44.23703591541913,-5.0017245172284674e-05
gene_4_139,-51.164970042169244,-52.85598215691292,1.6910121147436783
gene_4_140,-55.252639282847035,-55.3193251518092,0.06668586896216766
gene_4_141,-51.69963692932501,-54.959358465996644,3.259721536671634
gene_4_142,-50.184319909345234,-45.14843820441951,-5.035881704925721
gene_4_143,-45.191505016256855,-50.676552398514524,5.485047382257669
gene_4_144,-53.23810124788908,-47.41009509838996,-5.828006149499117
gene_4_145,-44.82820924148169,-54.63373112247517,9.805521880993481
gene_4_146,-45.44510810167336,-45.445081406637435,-2.669503592755973e-05
gene_4_147,-43.519500224050546,-46.223691288074086,2.70419106402354
gene_4_148,-47.57918149212104,-47.683281936025516,0.10410044390447837
