,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_3_1,-15.26250379501199,-26.90948255384299,11.646978758831002
gene_3_2,-10.072917158973366,-10.112919516739204,0.040002357765837715
gene_3_3,-19.364142278227785,-46.0846899194169,26.720547641189118
gene_3_4,-3.414573159169187,-3.4145149479496872,0.0
gene_3_5,-2.918873708940499,-33.790095113894935,30.871221404954436
gene_3_6,2.899357971390412,2.8993807255480313,0.0
gene_3_7,-7.163734828252181,-38.48176664314359,31.318031814891405
gene_3_8,-7.133409772306528,-7.1333645460195605,0.0
gene_3_9,-10.823594959775225,-15.730338895033933,4.906743935258708
gene_3_10,-3.279550524267183,-3.3520638999475736,0.07251337568039062
gene_3_11,-9.65536094254372,-18.617608523149052,8.962247580605332
gene_3_12,-3.322857039863841,-3.3228366519605714,0.0
gene_3_13,-6.406150406264967,-35.41462328816898,29.008472881904016
gene_3_14,7.485947546102459,6.087834457721147,1.3981130883813115
gene_3_15,-10.32738493464244,-24.937710140840657,14.610325206198217
gene_3_16,-3.1314090834279753,-3.131156652860586,0.0
gene_3_17,-6.849743667348189,-6.849712796631749,0.0
gene_3_18,-3.508185976095209,-3.5081657137963873,0.0
