,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_3_1,-8.00862809763851,-16.037521904828118,8.028893807189608
gene_3_2,-5.474387589331442,-6.027212772735986,0.5528251834045435
gene_3_3,5.947399618812938,-25.357613439836243,31.30501305864918
gene_3_4,11.593651962651407,11.593659720082702,-7.757431294663775e-06
gene_3_5,-8.759697053843606,-15.316551088163605,6.556854034319999
gene_3_6,-0.6265202165823496,-0.6265169799355768,-3.2366467728195403e-06
gene_3_7,-7.3774854245535515,-33.504786577270906,26.127301152717354
gene_3_8,-2.91806900365599,-2.918068461779118,-5.418768722620371e-07
gene_3_9,-2.1235670261769535,-8.539009595488174,6.415442569311221
gene_3_10,5.637525789301044,5.637549879848692,-2.4090547647404037e-05
gene_3_11,-12.266538271828065,-34.545617255598366,22.2790789837703
gene_3_12,-11.202122410389386,-11.200937179779409,-0.001185230609976884
gene_3_13,6.563686683460567,-5.9765113097316345,12.540197993192201
gene_3_14,8.382336457529817,8.830653088008994,-0.4483166304791766
gene_3_15,-13.113472057067835,-23.977829380591665,10.86435732352383
gene_3_16,-5.559095306622634,-5.558997322133717,-9.798448891729095e-05
gene_3_17,-10.382694607219364,-17.110354830817595,6.727660223598232
gene_3_18,-12.162206774179335,-12.16215309092032,-5.3683259015002704e-05
gene_3_19,-11.910386037223635,-34.02771466382322,22.117328626599583
gene_3_20,-0.36765129817276687,-0.3676338952523963,-1.740292037055724e-05
gene_3_21,-18.271540744196777,-17.4513011583498,-0.8202395858469771
gene_3_22,-4.378643453863088,-4.378493081198869,-0.00015037266421913387
gene_3_23,-11.639905582302408,-34.631553694523056,22.99164811222065
gene_3_24,2.0491657927119924,2.0492166934798064,-5.090076781399944e-05
gene_3_25,-13.051861647377542,-16.436456924395117,3.3845952770175742
gene_3_26,-8.936788481710604,-8.989731622929984,0.05294314121938015
gene_3_27,-3.6861209869086906,-40.06801808395739,36.3818970970487
gene_3_28,2.5520914107051027,2.552094124388958,-2.7136838554042697e-06
gene_3_29,-5.673951475967918,-6.1885990222070895,0.5146475462391713
gene_3_30,-0.04630116124069872,-0.046282507294240105,-1.865394645861329e-05
gene_3_31,-12.279679342712896,-39.94961676690311,27.669937424190216
gene_3_32,-13.437249790177436,-13.437199886684354,-4.990349308187092e-05
gene_3_33,-11.97617955903738,-13.008763001572294,1.0325834425349143
gene_3_34,-7.595125604520842,-7.594594262737047,-0.0005313417837946588
gene_3_35,-6.017704060884562,-39.4887708810524,33.47106682016784
gene_3_36,4.509991786879073,4.510291447279457,-0.000299660400383317
gene_3_37,-6.325736471506911,-15.812800118022933,9.487063646516022
gene_3_38,-7.049051904870552,-7.049033885931355,-1.80189391976171e-05
gene_3_39,-15.227466100199866,-33.82953747516419,18.60207137496432
gene_3_40,-15.154652016887319,-15.15449318745154,-0.00015882943577949504
gene_3_41,2.642418106219342,-13.816313567085064,16.458731673304406
gene_3_42,7.292673607042115,6.7336876796060885,0.5589859274360265
gene_3_43,-2.6512007616362325,-35.640109491766616,32.98890873013038
gene_3_44,-6.686184750876333,-6.686172618877489,-1.2131998843756264e-05
gene_3_45,-15.068691844510873,-20.743996033430182,5.675304188919309
gene_3_46,-11.586335458170883,-11.763180902395138,0.17684544422425574
gene_3_47,1.6936946935190562,-32.612567467234655,34.30626216075371
gene_3_48,11.061094283386268,11.061099484931013,-5.201544745148112e-06
gene_3_49,-7.6535336360475945,-10.054663324829601,2.4011296887820066
