,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_2_1,-33.97653858972086,-33.9165636209411,0.0
gene_2_2,-37.199331294963166,-37.20533863268884,0.0060073377256770755
gene_2_3,-26.732733188782824,-26.719720715179356,0.0
gene_2_4,-29.493292443156943,-29.892760968643216,0.39946852548627376
gene_2_5,-32.65968695690092,-31.40736045109543,0.0
gene_2_6,-32.09340575350796,-32.46035348053414,0.3669477270261794
gene_2_7,-31.13691376935973,-30.264423012542938,0.0
gene_2_8,-22.028438941823,-21.427102825951877,0.0
gene_2_9,-23.990566047060007,-24.035233227203577,0.04466718014356985
gene_2_10,-17.44154046069523,-17.441540360530816,0.0
gene_2_11,-39.49848021462118,-38.87694456788636,0.0
gene_2_12,-38.92715772982321,-38.9270950827333,0.0
gene_2_13,-30.533323151471457,-32.86229097999668,2.328967828525222
gene_2_14,-28.01469713625248,-28.014663669734652,0.0
gene_2_15,-36.50918204565588,-36.947192303750676,0.438010258094792
gene_2_16,-36.46381893204672,-37.05682656565831,0.5930076336115917
gene_2_17,-32.530073770646744,-32.53004728588761,0.0
gene_2_18,-37.3210235050712,-37.32102092908013,0.0
gene_2_19,-34.81464603479547,-34.867149982875446,0.052503948079973384
gene_2_20,-24.467436092588883,-24.51757216363621,0.050136071047326425
gene_2_21,-31.752756247809568,-33.766456639069986,2.013700391260418
gene_2_22,-25.752691757452236,-25.75269084582277,0.0
gene_2_23,-28.78587318882518,-29.62055615106358,0.8346829622384
gene_2_24,-22.923334564091995,-22.923334492886944,0.0
gene_2_25,-26.008235930115287,-33.52445283652823,7.5162169064129465
gene_2_26,-30.219855423310225,-30.219843017109206,0.0
gene_2_27,-26.989909664007065,-26.720767436139187,0.0
gene_2_28,-25.21538663790631,-25.215239338070784,0.0
gene_2_29,-35.63442830691852,-37.166275863256665,1.5318475563381426
gene_2_30,-33.751647802953364,-33.75163414369666,0.0
gene_2_31,-29.9007809969091,-37.37119639746649,7.470415400557393
gene_2_32,-32.93326709234498,-33.04783362970039,0.11456653735541522
gene_2_33,-32.108608194179084,-34.32320483681542,2.2145966426363373
gene_2_34,-29.15088129182788,-29.15084716630073,0.0
gene_2_35,-38.50400049132688,-40.03059318766359,1.5265926963367136
gene_2_36,-38.212132189357874,-38.212131497870324,0.0
gene_2_37,-29.329193553725304,-30.986379359194437,1.6571858054691333
gene_2_38,-34.82273413309066,-36.12385881649152,1.3011246834008574
gene_2_39,-39.676162265320066,-40.85622427695098,1.1800620116309162
gene_2_40,-36.09436115042918,-34.90887489191472,0.0
gene_2_41,-32.722503724126945,-33.385283164458784,0.662779440331839
gene_2_42,-26.52964653089867,-24.1346119385852,0.0
gene_2_43,-30.501025271631764,-31.38253090186623,0.8815056302344644
gene_2_44,-28.53186484175319,-28.531862025651833,0.0
gene_2_45,-18.986627751371593,-19.152481175280293,0.1658534239087004
gene_2_46,-9.933067448859024,-9.503206955541945,0.0
gene_2_47,-31.841937217643185,-33.041591892090196,1.199654674447011
gene_2_48,-24.244728074573455,-23.704949475434823,0.0
gene_2_49,-20.918213296322303,-20.052058115109652,0.0
gene_2_50,-24.50103746854701,-24.501037380914553,0.0
gene_2_51,-27.352430757739167,-26.063456001841043,0.0
gene_2_52,-26.574237329576597,-26.574218204155677,0.0
gene_2_53,-32.013367503630455,-30.851956542112067,0.0
gene_2_54,-35.88678188274338,-35.99949350411751,0.11271162137413171
gene_2_55,-25.783216642666602,-24.549285601601277,0.0
gene_2_56,-18.991499769834064,-18.99149917051909,0.0
gene_2_57,-23.83642882532009,-27.903883365340707,4.067454540020616
gene_2_58,-26.24734467454065,-27.140918716569935,0.8935740420292859
gene_2_59,-24.084646627721643,-24.75337396376607,0.6687273360444266
gene_2_60,-17.28450046317421,-15.66408299588354,0.0
