,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1_1,-18.01051490810613,-18.319144360737837,0.30862945263170616
gene_1_2,-25.145717348843696,-22.278976970862598,0.0
gene_1_3,-19.61759284478237,-19.41940033025637,0.0
gene_1_4,-22.199503472422737,-23.067893307047896,0.8683898346251588
gene_1_5,-13.784162156158576,-16.37322827025718,2.5890661140986033
gene_1_6,-18.536053114874363,-18.568294824232712,0.03224170935834891
gene_1_7,-16.331963605763146,-16.33196309527184,0.0
gene_1_8,-17.84629377357993,-17.665515709070668,0.0
gene_1_9,-16.65584778378307,-19.891014662455948,3.235166878672878
gene_1_10,-17.694863322585775,-18.022016898984546,0.3271535763987714
gene_1_11,-23.222708041567948,-23.92224227718839,0.6995342356204404
gene_1_12,-22.713382153930212,-22.713380618488323,0.0
gene_1_13,-23.18370258313996,-23.481445544985696,0.297742961845735
gene_1_14,-12.846970920667644,-12.846956300421724,0.0
gene_1_15,-22.042077289337264,-23.447932100742108,1.4058548114048435
gene_1_16,-23.645056371461365,-20.622887386098768,0.0
gene_1_17,-20.00256425587382,-18.6521011686015,0.0
gene_1_18,-20.754007362595694,-16.233301349054504,0.0
gene_1_19,-16.73954121200772,-17.793376940919448,1.0538357289117286
gene_1_20,-17.05701328181992,-17.056996492775937,0.0
gene_1_21,-18.22924980360472,-18.257849777547428,0.028599973942707635
gene_1_22,-21.468003168448583,-21.467969123461884,0.0
gene_1_23,-16.65742904589787,-16.65742107251991,0.0
gene_1_24,-14.980300610466777,-15.117626692823201,0.13732608235642374
gene_1_25,-12.22756013513266,-14.793846312179483,2.5662861770468233
gene_1_26,-18.466240535753766,-18.470131941161544,0.0038914054077778815
gene_1_27,-13.508387616040782,-22.15897836752167,8.650590751480888
gene_1_28,-22.988042408663702,-23.118311379568134,0.13026897090443157
gene_1_29,-22.4889145576684,-20.314266174454744,0.0
gene_1_30,-15.423941156523698,-15.42389188181441,0.0
gene_1_31,-17.283750860867272,-17.51104387008856,0.22729300922128814
gene_1_32,-19.444183598457563,-19.465987009083012,0.02180341062544855
gene_1_33,-20.959292921378527,-22.036652197996958,1.0773592766184308
gene_1_34,-22.47273294092534,-17.854387079006067,0.0
gene_1_35,-16.233497204532135,-21.697928889242295,5.46443168471016
gene_1_36,-20.061295744105266,-20.061106855564883,0.0
gene_1_37,-24.095726332843473,-24.998189690526857,0.9024633576833843
gene_1_38,-18.26616887390167,-18.319905088507333,0.05373621460566369
gene_1_39,-16.67357661964199,-16.673570480552453,0.0
gene_1_40,-16.35317834577313,-16.35313879805415,0.0
gene_1_41,-16.115911999851,-21.700598945487368,5.584686945636367
gene_1_42,-18.68999334889927,-18.79240598864842,0.10241263974914716
gene_1_43,-18.831748282570125,-24.615016006950082,5.783267724379957
gene_1_44,-13.06560495339383,-13.375287091787136,0.30968213839330616
gene_1_45,-21.89124011200377,-20.103541313664508,0.0
gene_1_46,-18.426226029328475,-15.67613376636322,0.0
gene_1_47,-23.062177412138627,-25.303204469795805,2.2410270576571776
gene_1_48,-18.365980214776226,-15.121727612461555,0.0
gene_1_49,-19.842622837817096,-19.85199622854096,0.00937339072386223
gene_1_50,-17.60649167226375,-17.606491504739417,0.0
gene_1_51,-16.832504603310237,-17.30752663979161,0.47502203648137353
gene_1_52,-18.19585656551794,-19.123256851611366,0.9274002860934267
gene_1_53,-17.160347475108196,-20.353955097015522,3.1936076219073257
gene_1_54,-17.999252079386842,-17.99924751550888,0.0
gene_1_55,-17.459071352522656,-17.45902550648152,0.0
gene_1_56,-15.115849779871837,-16.000229213734176,0.884379433862339
gene_1_57,-22.598519845524642,-24.479451202353754,1.8809313568291124
gene_1_58,-20.83594343897046,-21.23328935982954,0.39734592085908105
gene_1_59,-20.980313106312153,-26.79438914965924,5.814076043347086
gene_1_60,-13.951053483678944,-16.136284547745962,2.1852310640670183
gene_1_61,-14.44439691683668,-16.582494106824104,2.1380971899874233
gene_1_62,-17.15447500419713,-17.15443904567754,0.0
gene_1_63,-20.156043139650457,-22.008457360552246,1.8524142209017889
gene_1_64,-15.211688959720288,-15.242114984080363,0.030426024360075132
gene_1_65,-15.192333664808992,-17.723407556406762,2.531073891597771
gene_1_66,-21.55097432238323,-21.550830855456297,0.0
gene_1_67,-25.516688154737118,-20.460474520498547,0.0
gene_1_68,-14.807211447446637,-14.819776310770084,0.01256486332344764
