,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_4_1,-147.9425645202904,-153.47958055158477,5.537016031294371
gene_4_2,-165.6048874002825,-165.63081410112014,0.025926700837629824
gene_4_3,-173.82211343373453,-173.16411926341422,0.0
gene_4_4,-166.92688562074792,-165.9819791426322,0.0
gene_4_5,-154.69554778817863,-170.45772128198232,15.762173493803687
gene_4_6,-127.91010549153738,-128.2567004177985,0.346594926261119
gene_4_7,-205.55767224919737,-207.51001929194473,1.9523470427473626
gene_4_8,-229.20470861135874,-230.95283537629678,1.7481267649380356
gene_4_9,-168.9477609672147,-174.79201862463887,5.84425765742418
gene_4_10,-181.9420850317034,-181.95866647988302,0.016581448179607605
gene_4_11,-171.6406150677714,-178.24621282675304,6.605597758981645
gene_4_12,-166.9935807717889,-167.38636202397552,0.39278125218660875
gene_4_13,-167.13597832294113,-178.6206814415683,11.48470311862718
gene_4_14,-153.8729962796686,-153.8883438656222,0.015347585953605858
gene_4_15,-192.6058757701226,-193.47200552000115,0.866129749878553
gene_4_16,-192.1606645944511,-192.1569024414802,0.0
gene_4_17,-156.93717061547395,-157.16244962840366,0.2252790129297182
gene_4_18,-140.0436469828886,-140.04363363327695,0.0
gene_4_19,-188.65290884948755,-188.65290076414874,0.0
gene_4_20,-196.50695594815372,-196.54627905682472,0.03932310867099886
gene_4_21,-156.47409672815317,-162.7102397387699,6.236143010616729
gene_4_22,-158.00444885630668,-158.0030731648125,0.0
gene_4_23,-153.17942867504445,-153.17941731826082,0.0
gene_4_24,-165.40550740452693,-165.41604724920285,0.010539844675918175
gene_4_25,-188.22896648654196,-187.856322796048,0.0
gene_4_26,-195.77796589406955,-195.7692860131107,0.0
gene_4_27,-231.05196405311457,-232.01098313708957,0.9590190839749937
gene_4_28,-212.38108794892287,-212.41868571765553,0.037597768732666736
gene_4_29,-154.63885059874394,-160.90949128291902,6.270640684175078
gene_4_30,-153.64736697595256,-153.37879761477575,0.0
gene_4_31,-165.92972169442666,-171.14512671688954,5.215405022462875
gene_4_32,-149.20085107649498,-149.3204438432309,0.1195927667359058
gene_4_33,-165.04019346361773,-168.17275951924157,3.1325660556238404
gene_4_34,-185.11486575053524,-185.10105512905182,0.0
gene_4_35,-204.5148409423396,-208.87964098724325,4.36480004490366
