,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_4_1,-147.9425621276188,-153.47958068963132,5.53701856201252
gene_4_2,-165.60472166017215,-165.63081410596732,0.02609244579517167
gene_4_3,-173.82212815284547,-173.1641192550082,-0.6580088978372771
gene_4_4,-166.926891310468,-165.98197915652676,-0.9449121539412317
gene_4_5,-154.6964133135418,-170.45773231842742,15.761319004885621
gene_4_6,-127.91010527028368,-128.25669940797326,0.3465941376895785
gene_4_7,-205.5674158096049,-207.51001916479834,1.9426033551934268
gene_4_8,-229.29279207583124,-230.9528276576305,1.6600355817992636
gene_4_9,-168.94754641592516,-174.7920205671065,5.844474151181345
gene_4_10,-181.94206112119008,-181.9586664817875,0.016605360597424124
gene_4_11,-171.64062111345424,-178.24621257785589,6.605591464401641
gene_4_12,-166.99357367982418,-167.38636202547679,0.3927883456526047
gene_4_13,-167.1360430749395,-178.62068151846336,11.484638443523863
gene_4_14,-153.873035076409,-153.8883438694425,0.015308793033511847
gene_4_15,-192.60587702000643,-193.47200552005626,0.8661285000498253
gene_4_16,-192.16072427737856,-192.15690244121356,-0.0038218361650024235
gene_4_17,-156.93717061551226,-157.1624496283941,0.22527901288185603
gene_4_18,-140.04364061878687,-140.04363363345487,-6.985331992837018e-06
gene_4_19,-188.65290427458166,-188.65290072248777,-3.552093886582952e-06
gene_4_20,-196.5069571041404,-196.54627904388292,0.039321939742507084
gene_4_21,-156.4740883382307,-162.71023974308656,6.23615140485586
gene_4_22,-158.0044354196596,-158.00307316863697,-0.0013622510226127815
gene_4_23,-153.17942183113075,-153.17941624844877,-5.582681978921755e-06
gene_4_24,-165.427046295971,-165.41604723233056,-0.010999063640440454
gene_4_25,-188.22896835100258,-187.85632279962934,-0.37264555137323896
gene_4_26,-195.77808698620075,-195.7692860082907,-0.008800977910055963
gene_4_27,-231.0518768399925,-232.01098318259258,0.9591063426000801
gene_4_28,-212.42318004311306,-212.41868572101936,-0.004494322093705705
gene_4_29,-154.63885019322814,-160.90949128007185,6.27064108684371
gene_4_30,-153.64736943405381,-153.37879763935052,-0.2685717947032913
gene_4_31,-165.9297243181607,-171.14512755649454,5.215403238333835
gene_4_32,-149.2008415477658,-149.32044407834945,0.11960253058364856
gene_4_33,-165.04019440902812,-168.1727583294939,3.1325639204657705
gene_4_34,-185.1135214255551,-185.1010551273766,-0.012466298178480884
gene_4_35,-204.51488394568878,-208.87964098712592,4.364757041437144
gene_4_36,-195.88053624707217,-196.20178882912583,0.3212525820536598
gene_4_37,-162.77074590447586,-168.36394038623604,5.593194481760179
gene_4_38,-176.03392345685555,-176.0226399998116,-0.011283457043958833
gene_4_39,-207.38487802916552,-207.79908579757426,0.41420776840874396
gene_4_40,-204.32692334273253,-203.18176859615895,-1.1451547465735814
gene_4_41,-159.79125393739167,-165.65807914286066,5.8668252054689844
gene_4_42,-162.9861531514018,-163.24940378113882,0.26325062973702984
gene_4_43,-236.2603730801127,-237.39723862081408,1.1368655407013648
gene_4_44,-215.0764868148339,-215.068354767972,-0.008132046861902609
gene_4_45,-157.90044951902078,-164.01151434808028,6.111064829059501
gene_4_46,-146.16748603624083,-146.16747964514477,-6.391096064817248e-06
gene_4_47,-223.60211113762062,-226.44000146877818,2.8378903311575527
gene_4_48,-202.82010509682436,-202.81085647332296,-0.009248623501406428
gene_4_49,-162.25589044107048,-166.46270612817344,4.20681568710296
gene_4_50,-154.65273427797933,-154.65273567843926,1.4004599222516845e-06
gene_4_51,-221.56847620845517,-224.98389165032074,3.4154154418655764
gene_4_52,-195.31124561344802,-195.30652079404717,-0.004724819400848901
gene_4_53,-168.44151084200251,-175.17098432071768,6.729473478715164
gene_4_54,-164.99886811252688,-164.98411546758075,-0.014752644946128157
gene_4_55,-192.58179039372055,-195.5551761234487,2.973385729728136
gene_4_56,-218.4168069420637,-218.41227109856078,-0.004535843502907255
gene_4_57,-159.75652044633122,-164.83287559792157,5.076355151590349
gene_4_58,-128.93745967722663,-128.93738281256702,-7.686465960432542e-05
gene_4_59,-244.02520675878725,-245.105496514408,1.080289755620754
gene_4_60,-224.40399382447177,-225.75404464457418,1.3500508201024104
gene_4_61,-203.7810091091423,-203.8145375480142,0.03352843887188328
gene_4_62,-226.37664200629942,-226.37193753182217,-0.004704474477250642
gene_4_63,-140.4933516105608,-151.24695019574293,10.753598585182118
gene_4_64,-139.58469000608855,-139.58467627978487,-1.3726303677685792e-05
gene_4_65,-188.23208557715265,-188.2239764842394,-0.008109092913258564
gene_4_66,-188.2693658153047,-188.26205750555363,-0.007308309751067554
gene_4_67,-200.47597558825086,-200.45986796646812,-0.01610762178273717
gene_4_68,-198.83769705865024,-200.02704263018794,1.1893455715377002
gene_4_69,-213.48504485715895,-212.52048970804012,-0.9645551491188371
gene_4_70,-177.51727961730364,-177.5324732013475,0.015193584043856845
gene_4_71,-147.45481458527254,-152.05371275850962,4.598898173237075
gene_4_72,-141.28741477614906,-141.34121123217608,0.05379645602701544
gene_4_73,-241.54549228953474,-244.48648714983102,2.9409948602962857
gene_4_74,-239.49010630777292,-239.52890074308294,0.0387944353100238
gene_4_75,-197.6954547904468,-201.09020608395053,3.394751293503731
gene_4_76,-186.19689309567786,-186.1875097110016,-0.009383384676254991
gene_4_77,-230.462054135719,-232.7938497408914,2.3317956051724025
gene_4_78,-208.41723735743588,-208.42549759360017,0.008260236164289836
gene_4_79,-152.55279051528177,-160.15945642827973,7.606665912997954
gene_4_80,-159.22297944391923,-159.22787558312154,0.004896139202315908
gene_4_81,-165.8221123418019,-177.27289415947334,11.45078181767144
gene_4_82,-130.63866384872742,-130.63865568674598,-8.161981440935051e-06
gene_4_83,-181.77977733296132,-182.8143917199586,1.0346143869972764
