,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_3_1,-148.11876310959394,-148.12386947915272,0.005106369558774304
gene_3_2,-92.93749646616321,-92.98216121953591,0.04466475337270026
gene_3_3,-138.09663092771908,-167.758255762841,29.661624835121927
gene_3_4,-187.36348551902526,-187.1155210270682,0.0
gene_3_5,-126.5747947126201,-175.9448714891943,49.370076776574194
gene_3_6,-132.3446251843588,-132.25233421808508,0.0
gene_3_7,-133.3061331539334,-165.33047280976223,32.02433965582884
gene_3_8,-119.83702129104887,-119.68180083337396,0.0
gene_3_9,-120.04531173281795,-125.32952327471284,5.284211541894891
gene_3_10,-91.22479255977588,-91.23719153199961,0.012398972223735427
gene_3_11,-134.65639498697178,-137.15579773146936,2.499402744497587
gene_3_12,-102.4185977261331,-102.36191655274118,0.0
gene_3_13,-126.84652042432981,-157.07589412558093,30.22937370125112
gene_3_14,-77.23932870156857,-78.54725563344614,1.3079269318775744
gene_3_15,-129.62952622735247,-144.49509855801477,14.865572330662303
gene_3_16,-135.8493202501662,-135.7509957467765,0.0
gene_3_17,-130.96734766816076,-130.82775486592107,0.0
gene_3_18,-109.07324877006198,-109.00143800298514,0.0
