,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_2_1,-38.4510249385636,-38.09289150134161,0.0
gene_2_2,-52.30123915319763,-52.502101231936265,0.2008620787386377
gene_2_3,-64.946560111117,-64.94555858690728,0.0
gene_2_4,-50.801318059135134,-52.39545328853815,1.5941352294030153
gene_2_5,-73.84831668259288,-88.19879755253842,14.350480869945542
gene_2_6,-82.22695494583388,-82.22694029091056,0.0
gene_2_7,-89.56538851872742,-92.61169646458507,3.0463079458576487
gene_2_8,-82.76817269934931,-83.0408847459578,0.2727120466084898
gene_2_9,-54.37879086188111,-54.37878711406261,0.0
gene_2_10,-53.85866278387738,-53.858658639303854,0.0
gene_2_11,-79.59124883629863,-80.00866757780223,0.4174187415035959
gene_2_12,-63.59791314915091,-63.59775514276959,0.0
gene_2_13,-64.78212236369498,-65.2691099488603,0.48698758516532337
gene_2_14,-58.10922386661039,-57.58634875269311,0.0
gene_2_15,-63.314320191386905,-68.25518755860008,4.94086736721318
gene_2_16,-78.24239777041375,-78.36211837573316,0.11972060531941509
gene_2_17,-63.0628965240267,-66.33586923732311,3.2729727132964115
gene_2_18,-65.30729187823945,-65.94783468685819,0.6405428086187328
gene_2_19,-71.21966430694062,-77.27413505042291,6.054470743482298
gene_2_20,-73.20592052341114,-73.20526438630839,0.0
