,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-29.202691025973568,-34.343357710645776,5.140666684672208
gene_2,-48.444029400725455,-49.27352597289373,0.8294965721682743
gene_3,-36.73773185995584,-38.648037872937486,1.9103060129816498
gene_4,-48.08885861002357,-48.08883163211724,0.0
gene_5,-43.860750467633316,-48.995994477777884,5.135244010144568
gene_6,-45.17868515241991,-43.8928646826607,0.0
gene_7,-38.441928122163404,-39.80658302511398,1.3646549029505763
gene_8,-48.074586960969725,-48.08368699467384,0.009100033704115162
gene_9,-34.26340097526088,-40.07483769293916,5.8114367176782835
gene_10,-59.17314165668546,-47.307332698513605,0.0
gene_11,-40.26068828560794,-42.607077218907776,2.346388933299835
gene_12,-45.751230458503,-43.625385987981204,0.0
gene_13,-26.16916163957719,-26.931249767614354,0.7620881280371634
gene_14,-56.751674181497656,-56.75166009183088,0.0
gene_15,-31.3737248551321,-33.08867219567712,1.7149473405450202
gene_16,-47.586193622653866,-48.20928599659199,0.6230923739381211
gene_17,-23.84969145916067,-23.849691559322054,1.0016138318746926e-07
gene_18,-41.04065554705588,-41.16455840996858,0.12390286291270058
gene_19,-30.423834877254144,-31.817989831474833,1.3941549542206886
gene_20,-42.7317238592369,-42.73171927146048,0.0
gene_21,-31.74226276172576,-32.03627915081851,0.2940163890927501
gene_22,-36.45101230289909,-36.45013757420328,0.0
gene_23,-32.03599445935675,-70.0639369889882,38.02794252963145
gene_24,-40.76520722301148,-40.81253910021368,0.04733187720219689
gene_25,-40.49766626996827,-41.80634598566361,1.308679715695341
gene_26,-43.53420934249202,-46.782483432835534,3.2482740903435143
gene_27,-37.83446462196496,-40.057859023036215,2.2233944010712534
gene_28,-36.881321056252816,-36.4501628343951,0.0
gene_29,-31.070749440661167,-56.856612742116795,25.785863301455628
gene_30,-40.46466378322722,-40.51489172112473,0.05022793789750324
gene_31,-40.271676799296756,-44.06503702728638,3.7933602279896235
gene_32,-44.51317434185076,-44.513171898694395,0.0
gene_33,-41.600006282407776,-43.0971757431639,1.4971694607561261
gene_34,-40.41471283417778,-40.4102627617189,0.0
gene_35,-42.10548449106595,-41.7283203343189,0.0
gene_36,-28.72213637148699,-0.2406302676360097,0.0
gene_37,-32.809971582415294,-35.50125708804279,2.691285505627498
gene_38,-43.28919754837387,-44.041815187859015,0.7526176394851447
gene_39,-37.02493934918492,-43.12171296092509,6.0967736117401685
gene_40,-38.555071703337454,-37.49608330876937,0.0
gene_41,-35.745054364161604,-43.04269495693704,7.297640592775437
gene_42,-43.95889148176549,-47.76134261498423,3.8024511332187387
gene_43,-57.39110712408984,-61.996716454308135,4.605609330218293
gene_44,-49.51045044482139,-48.82214993975041,0.0
gene_45,-50.317002944085566,-61.890621253444415,11.57361830935885
gene_46,-41.455593571925,-41.45558833007761,0.0
gene_47,-54.613720947725184,-61.17686287769053,6.563141929965347
gene_48,-36.19640248025503,-36.56280609335231,0.3664036130972761
gene_49,-42.465334328226774,-45.96650267810557,3.501168349878796
gene_50,-53.54968567368266,-55.63108201560672,2.081396341924062
gene_51,-47.086867683375395,-50.5573011109783,3.470433427602906
gene_52,-42.121074773599965,-44.2633420294043,2.1422672558043345
gene_53,-51.30873020625221,-52.06696605295793,0.7582358467057233
gene_54,-38.35351402522403,-39.185609654334435,0.8320956291104054
gene_55,-37.36912274823072,-40.421261456270464,3.0521387080397417
gene_56,-32.68592888197681,-33.47520612722116,0.7892772452443566
gene_57,-46.20596367322934,-49.09655148912097,2.890587815891628
gene_58,-31.062258225548288,-31.022081340035516,0.0
