,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_301,-15680.503261360276,-38960.92013135076,23280.416869990484
gene_302,-10833.522968312662,-16150.34098178846,5316.818013475799
gene_303,-4926.112397704156,-18369.144692472626,13443.032294768469
gene_304,-10409.201693366014,-16481.441125455378,6072.239432089364
gene_305,-2484.6916786492493,-10242.104442196176,7757.412763546927
gene_306,-4028.799501478503,-7307.954440461431,3279.154938982928
gene_307,-5099.348779042734,-14578.152255180596,9478.803476137862
gene_308,-37366.6149187878,-63966.77426880187,26600.159350014066
gene_309,-4920.09283788549,-14561.539749649777,9641.446911764288
gene_310,-17406.420197352927,-24795.14725412039,7388.727056767464
gene_311,-3051.516117817194,-9260.17476627823,6208.658648461037
gene_312,-12834.233942473911,-18596.271220970473,5762.037278496562
gene_313,-8936.860245535714,-29346.59799235267,20409.737746816954
gene_314,-31073.45567843917,-54059.54416448015,22986.088486040975
gene_315,-12938.945675971194,-33927.82052818703,20988.87485221584
gene_316,-13151.37731960524,-25846.49432831531,12695.11700871007
gene_317,-9051.222943168315,-17484.048540372678,8432.825597204363
gene_318,-8447.550547143823,-17904.92920029266,9457.378653148837
gene_319,-2045.5946560394773,-14306.911568671701,12261.316912632225
gene_320,-4376.975485929849,-8365.610973581763,3988.6354876519135
gene_321,-17497.499083739534,-31201.789014074428,13704.289930334893
gene_322,-7252.784751370811,-9621.991407147696,2369.206655776885
gene_323,-8968.322592190658,-17299.147433407918,8330.82484121726
gene_324,-5003.157322267426,-5575.131670781571,571.9743485141453
gene_325,-14578.696343774982,-36794.98957952041,22216.293235745427
gene_326,-16548.793856730168,-32730.056931131043,16181.263074400875
gene_327,-9767.594803023836,-54566.027690973744,44798.43288794991
gene_328,-9309.782518080334,-18409.176314943772,9099.393796863438
gene_329,-7731.157693581457,-33605.51392507249,25874.35623149103
gene_330,-10028.096107698866,-27892.63754542787,17864.541437729007
gene_331,-1134.200482279949,-3190.968448600225,2056.767966320276
gene_332,-12133.075219337594,-14460.432249484476,2327.3570301468826
gene_333,-954.7971273573103,-2024.692514903227,1069.8953875459167
gene_334,-5942.04968742197,-6880.253017321175,938.2033298992055
gene_335,-1045.2755726056816,-1961.0634927043702,915.7879200986886
gene_336,-10603.529075527904,-16130.30356960972,5526.774494081816
gene_337,-6004.180394831583,-36916.196671375554,30912.01627654397
gene_338,-5167.706929934911,-7941.390586969494,2773.683657034582
gene_339,-3147.694538034425,-25861.21135070725,22713.516812672824
gene_340,-12600.528046096757,-17587.464803174676,4986.9367570779195
