,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_4_1,-38716.94059805605,-17239.739820703908,-21477.20077735214
gene_4_2,-5406.650256792712,-12746.451390043796,7339.801133251084
gene_4_3,-1585.0794276262607,-11486.636209143815,9901.556781517555
gene_4_4,-2246.1552107454268,-4372.113368863229,2125.958158117802
gene_4_5,-7630.696588379946,-49563.66843586374,41932.9718474838
gene_4_6,-561.2352572206319,-1086.996127348929,525.760870128297
gene_4_7,-105855.46546936677,-986699.971248931,880844.5057795643
gene_4_8,-125143.74206842274,-4847802.484918754,4722658.742850331
gene_4_9,-2673.6866025962436,-19890.247190593807,17216.560587997563
gene_4_10,-7779.912834854479,-21157.016410353786,13377.103575499306
gene_4_11,-5488.689229681718,-94509.4379860717,89020.74875638998
gene_4_12,-2373.0162839893565,-5475.893091071841,3102.8768070824844
gene_4_13,-20372.479477313453,-82066.44295257567,61693.96347526222
gene_4_14,-3045.403980803695,-4782.592899465988,1737.188918662293
gene_4_15,-19969.91777597941,-44213.11613501035,24243.19835903094
gene_4_16,-11686.767462259388,-30052.360061120802,18365.592598861414
gene_4_17,-1702.5383600921318,-41032.226541834636,39329.6881817425
gene_4_18,-3274.8025977516545,-5143.553144595426,1868.7505468437712
gene_4_19,-48478.04562339053,-80327.56408676872,31849.51846337819
gene_4_20,-43754.25362328133,-100726.70661366924,56972.452990387916
gene_4_21,-6973.85839857457,-27731.500331389514,20757.641932814942
gene_4_22,-1894.633572048515,-3042.1025990640533,1147.4690270155384
gene_4_23,-8516.995215358258,-15642.777169315772,7125.781953957514
gene_4_24,-4330.742986378019,-8224.951946856465,3894.208960478446
gene_4_25,-15110.91736555278,-47380.45480474659,32269.53743919381
gene_4_26,-18852.894144046593,-28133.148639222647,9280.254495176054
gene_4_27,-164500.18573864148,-378116.84198489407,213616.6562462526
gene_4_28,-95208.28545157758,-191729.74370898432,96521.45825740673
gene_4_29,-1073.5417093441918,-10186.919869121508,9113.378159777316
gene_4_30,-1888.577645462648,-3456.568657968115,1567.991012505467
gene_4_31,-14201.50741769749,-98630.5747492456,84429.06733154811
gene_4_32,-2121.197077612606,-4022.0914933509202,1900.8944157383144
gene_4_33,-21132.463846340757,-48728.61556627544,27596.15171993468
gene_4_34,-6446.802630590479,-17440.210798890515,10993.408168300037
gene_4_35,-20130.80290404564,-98648.4707393353,78517.66783528967
gene_4_36,-19726.993493700338,-47793.67383069141,28066.680336991074
gene_4_37,-6190.799187988007,-39903.65761625729,33712.85842826928
gene_4_38,-6352.705988888328,-7622.364357993328,1269.658369105
gene_4_39,-75041.30139876966,-125252.36460952117,50211.06321075151
gene_4_40,-40093.38525163392,-104277.8528213764,64184.467569742475
gene_4_41,-5443.586563468085,-18034.402493215093,12590.815929747008
gene_4_42,-5023.292236398629,-8718.799429362705,3695.5071929640762
gene_4_43,-223493.027471789,-6447026.019558853,6223532.992087063
gene_4_44,-106545.9636813272,-4098941.8495447827,3992395.8858634555
gene_4_45,-8453.668624581587,-51060.00435590259,42606.335731321
gene_4_46,-3316.212200066997,-6512.47320010398,3196.261000036983
gene_4_47,-55173.57252537136,-314552.25337716314,259378.68085179178
gene_4_48,-13190.69587141043,-33354.20533430456,20163.509462894133
gene_4_49,-10638.24294680274,-28497.972867178265,17859.729920375525
gene_4_50,-5461.894620826191,-11929.899669200571,6468.00504837438
gene_4_51,-33364.9917550571,-133419.41152274466,100054.41976768756
gene_4_52,-8145.855638834888,-19432.974491569068,11287.11885273418
gene_4_53,-21605.074185278456,-60614.96583542458,39009.89165014612
gene_4_54,-4431.664913052983,-5317.049423895086,885.3845108421028
gene_4_55,-63742.06060682537,-196386.27255146977,132644.2119446444
gene_4_56,-52291.877471344545,-116648.58911528796,64356.71164394342
gene_4_57,-43096.29915059052,-17780.861062197364,-25315.43808839316
gene_4_58,-1416.954267510728,-3401.2108693493547,1984.2566018386267
