,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_3_1,-632.1227430619731,-6861.88991670043,6229.767173638457
gene_3_2,-140.8290990627232,-161.80552274703473,20.976423684311527
gene_3_3,-883.920860631282,-27744.380810530372,26860.45994989909
gene_3_4,-104.79655338678909,-101.60749030716745,0.0
gene_3_5,-637.8550307460721,-4903.02225003739,4265.167219291318
gene_3_6,-211.36935121864948,-223.5349047262024,12.165553507552914
gene_3_7,-263.90696203476034,-4218.779450859899,3954.8724888251386
gene_3_8,-631.500348839339,-693.2085601626992,61.70821132336016
gene_3_9,-1162.4392233432866,-16316.124261260817,15153.68503791753
gene_3_10,-128.0207979171359,-133.86462664398323,5.843828726847335
gene_3_11,-250.47518098155388,-13753.080151751505,13502.604970769951
gene_3_12,-987.233953699844,-1101.148718747845,113.91476504800085
gene_3_13,-312.340450021821,-395.04848056157186,82.70803053975084
gene_3_14,-264.73949183031516,-296.2342491253259,31.494757295010743
gene_3_15,-665.273787861792,-191938.96594795142,191273.69216008962
gene_3_16,-9420.941524281812,-10661.085092155825,1240.1435678740127
gene_3_17,-13843.469023332376,-256411.41780470876,242567.94878137638
gene_3_18,-1160.5357701318665,-1868.2116755768081,707.6759054449417
gene_3_19,-3355.900590428454,-86660.74107667638,83304.84048624792
gene_3_20,-485.1603215057308,-577.8188544846502,92.65853297891937
gene_3_21,-3953.447041666552,-121347.03130237474,117393.58426070819
gene_3_22,-343.82961873181716,-348.6100238158183,4.780405084001131
gene_3_23,-386.535510256273,-6006.8768088580355,5620.341298601763
gene_3_24,-281.8939616468004,-314.7259752222293,32.8320135754289
gene_3_25,-390.4928312118752,-600.4226368983749,209.92980568649966
gene_3_26,-218.05976208990148,-233.2532757030196,15.193513613118114
gene_3_27,-105.2979416891771,-1338.8334190311175,1233.5354773419404
gene_3_28,-116.0522569858772,-123.60630305838528,7.554046072508086
gene_3_29,-6688.3896997487645,-256665.5444978184,249977.15479806962
gene_3_30,-234.46482414255104,-396.6090208774918,162.14419673494075
gene_3_31,-211.4840045009695,-9115.355882764916,8903.871878263946
gene_3_32,-114.03952671464246,-120.55572482984047,6.516198115198009
gene_3_33,-378.883410734985,-3993.6174003488436,3614.7339896138587
gene_3_34,-232.70282926532676,-266.12304846057043,33.420219195243675
gene_3_35,-348.69333500114067,-5949.5861548585635,5600.892819857423
gene_3_36,-474.67420204723834,-1215.7286764260066,741.0544743787682
gene_3_37,-602.4374109334176,-11792.010649010235,11189.573238076817
gene_3_38,-235.33418725507357,-267.9831027909171,32.648915535843514
