,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_3_1,-629.7476699303568,-1857.0353461466657,1227.287676216309
gene_3_2,-646.8174523509243,-983.506445866908,336.6889935159837
gene_3_3,-170.17273909827867,-2039.7927456177702,1869.6200065194914
gene_3_4,-25787.97505518025,-191.34468518333247,-25596.630369996918
gene_3_5,-439.2645042047475,-2184.873936590205,1745.6094323854577
gene_3_6,-275.50233529391767,-579.2674668405957,303.76513154667805
gene_3_7,-665.4497001484702,-18954.704111229046,18289.254411080576
gene_3_8,-248.86462162748848,-402.07301262012186,153.20839099263338
gene_3_9,-293.18582102302645,-1046.1682625316685,752.9824415086421
gene_3_10,-225.69757983952846,-298.99185735160165,73.2942775120732
gene_3_11,-328.43710410491667,-8896.023268002227,8567.586163897311
gene_3_12,-461.8768317154597,-574.4575854233799,112.58075370792022
gene_3_13,-54032.92689565007,-776.300793360338,-53256.62610228973
gene_3_14,-208.14219076024608,-263.3175406008934,55.1753498406473
gene_3_15,-2256.2121837027594,-14726.575736714205,12470.363553011446
gene_3_16,-1381.2971134463917,-3390.4325978939414,2009.1354844475497
gene_3_17,-404.9391679604294,-1607.1824984492848,1202.2433304888555
gene_3_18,-34370.12964842239,-1130.1082922586475,-33240.02135616374
gene_3_19,-369.3222530341916,-22869.940077931868,22500.617824897676
gene_3_20,-364.9792662604565,-403.61400348098624,38.63473722052976
gene_3_21,-948.1786423547507,-2581.7367300149,1633.5580876601493
gene_3_22,-383.4110308842918,-868.2934827774723,484.8824518931805
gene_3_23,-1107.4638392969123,-24316.355215229887,23208.891375932973
gene_3_24,-756.7189289169617,-1049.178258432758,292.4593295157963
gene_3_25,-690.9243185920847,-1861.2191592293939,1170.2948406373093
gene_3_26,-390.81615929451124,-725.8048432976622,334.9886840031509
gene_3_27,-696.3017242808086,-27880.88772264636,27184.58599836555
gene_3_28,-305.7478249915839,-424.26512728429805,118.51730229271413
gene_3_29,-455.2593029552223,-1004.8016363825071,549.5423334272848
gene_3_30,-659.0885436210681,-771.5612720272924,112.47272840622429
gene_3_31,-276.18947920327554,-22303.364957120342,22027.175477917066
gene_3_32,-286.26498507861396,-576.0898297152575,289.8248446366435
gene_3_33,-730.338824528465,-1716.340974975893,986.002150447428
gene_3_34,-725.721865410313,-1253.3260346969714,527.6041692866585
gene_3_35,-331.12461837865646,-27864.888034115975,27533.763415737318
gene_3_36,-484.7144133935023,-807.3686323245596,322.6542189310573
gene_3_37,-360.79094439576295,-2094.2254323981174,1733.4344880023546
gene_3_38,-778.9006807569676,-914.3643882346391,135.4637074776715
gene_3_39,-3390.6797206237584,-23661.596586087755,20270.916865463998
gene_3_40,-1394.2893559534898,-8594.187507467706,7199.898151514217
gene_3_41,-195.524769066383,-1727.8545355497263,1532.3297664833433
gene_3_42,-228.1036721754291,-297.8332112616464,69.7295390862173
gene_3_43,-183.72782624915857,-11821.941925576879,11638.21409932772
gene_3_44,-305.4803876212954,-433.3833512212379,127.9029635999425
