,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_101,-26.306074219159207,-37.99282333734001,11.686749118180806
gene_102,-45.08971990963455,-45.44683882349911,0.35711891386455363
gene_103,-45.28617401411681,-55.00831815980202,9.722144145685213
gene_104,-64.9255031056301,-67.6497104559828,2.7242073503526996
gene_105,-66.30621977361875,-183.28614031823358,116.97992054461483
gene_106,-57.65056718283566,-62.83821906054172,5.18765187770606
gene_107,-89.77639786094898,-178.82631630322464,89.04991844227567
gene_108,-42.601417872225035,-42.84327440310615,0.24185653088111536
gene_109,-56.79319115122163,-112.42297190370286,55.62978075248123
gene_110,-40.960300881708655,-40.968625420709905,0.008324539001250741
gene_111,-55.06158761741441,-79.73528402035645,24.673696402942035
gene_112,-34.81586866955496,-34.815866814202835,0.0
gene_113,-41.62081969416644,-53.15807720677032,11.53725751260388
gene_114,-49.42310333698518,-60.451334346844526,11.028231009859347
gene_115,-28.11646990996328,-31.068564661851003,2.9520947518877243
gene_116,-48.193906295916776,-46.44998594562407,0.0
gene_117,-21.865849410166277,-21.871201545803665,0.005352135637387789
gene_118,-39.55779942404581,-39.557780042301545,0.0
gene_119,-20.65265818888526,-22.741099044868562,2.088440855983304
gene_120,-54.218953328587375,-71.55084239351473,17.331889064927353
gene_121,-24.591956814532303,-25.965536652750874,1.3735798382185713
gene_122,-65.07587234250165,-61.60206191475908,0.0
gene_123,-36.51360935784489,-60.48909076466107,23.97548140681618
gene_124,-51.674800484280084,-48.671637360280755,0.0
gene_125,-35.61709429256561,-101.70495784792233,66.08786355535672
gene_126,-106.89498895851597,-125.83215252169306,18.937163563177094
gene_127,-34.04230427466303,-59.69839212002588,25.656087845362848
gene_128,-74.48925999365224,-76.75704402349317,2.267784029840925
gene_129,-30.89405727789452,-43.60977625124046,12.71571897334594
gene_130,-57.50530860367206,-57.63170519483331,0.1263965911612459
gene_131,-56.08045249932003,-177.8738589899217,121.79340649060167
gene_132,-61.11038655290996,-95.20328302488922,34.09289647197926
gene_133,-47.89141011492507,-95.17849051778961,47.28708040286454
gene_134,-52.09781914377037,-55.07991436402639,2.9820952202560207
gene_135,-44.583448938690935,-61.569712198985044,16.98626326029411
gene_136,-50.492666499415336,-52.39596237877174,1.9032958793564063
gene_137,-45.95999097681548,-65.43012401302377,19.47013303620829
gene_138,-42.53155092931283,-44.86257799110756,2.331027061794728
gene_139,-31.223767580706806,-41.1032411435057,9.879473562798893
gene_140,-43.97238740169999,-42.664758918651486,0.0
gene_141,-34.364663076217774,-42.00366600315504,7.639002926937266
gene_142,-39.68348320115356,-39.683481092990306,0.0
gene_143,-61.973426652527955,-102.4853945190029,40.51196786647494
gene_144,-44.505153666043235,-54.039247664401046,9.534093998357811
gene_145,-53.088618115726135,-97.06661973262177,43.97800161689564
gene_146,-54.39306833905236,-56.68600649507209,2.29293815601973
gene_147,-58.33414561144522,-81.55372369222526,23.21957808078004
gene_148,-47.4387297221858,-49.43464093118618,1.9959112090003828
gene_149,-39.475420499911415,-62.18015659484529,22.704736094933878
gene_150,-75.09994694683742,-99.60445638512816,24.50450943829074
gene_151,-48.82323438862675,-63.64639659466855,14.8231622060418
gene_152,-60.634931255714406,-65.14556505283501,4.5106337971206045
gene_153,-58.03924450070147,-85.26092098183773,27.221676481136257
gene_154,-58.35256503357434,-59.98806798873245,1.6355029551581097
gene_155,-51.27479969114739,-72.43496458656911,21.160164895421715
gene_156,-46.650718838761215,-49.081568566887874,2.4308497281266597
gene_157,-50.96497441494259,-123.93404725004169,72.9690728350991
gene_158,-35.132995508549186,-34.98260503858643,0.0
gene_159,-46.39002619687729,-83.19791560903543,36.80788941215815
gene_160,-37.804808578387714,-37.095412809280035,0.0
gene_161,-40.613945474858006,-100.1433590571984,59.52941358234039
gene_162,-36.38055364798793,-37.00788468214733,0.627331034159397
gene_163,-34.903416208887286,-62.307465586601154,27.404049377713868
gene_164,-69.60249857086693,-72.09647449408344,2.49397592321651
gene_165,-34.07474163359057,-74.85846579828291,40.78372416469234
gene_166,-58.60826153295003,-57.962186811545315,0.0
gene_167,-37.81557016236843,-61.197494147941626,23.381923985573195
gene_168,-61.23497975071761,-92.33374252619006,31.09876277547245
gene_169,-68.54068721559153,-91.34626602871595,22.805578813124413
gene_170,-49.34458478312948,-56.52692110854911,7.182336325419634
gene_171,-61.20438644192467,-71.37104299661289,10.166656554688217
gene_172,-43.4946925705094,-45.48800415246362,1.9933115819542166
gene_173,-41.68969144169276,-73.57316787099838,31.883476429305617
gene_174,-68.4950758228567,-68.92043398486564,0.4253581620089335
gene_175,-46.36153747360625,-60.355395690845384,13.993858217239136
gene_176,-52.24229609368328,-52.24227656363997,0.0
gene_177,-41.0738215785421,-46.101199131415555,5.027377552873453
