,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1_1,-36.935660578426265,-37.806813356731034,0.8711527783047686
gene_1_2,-46.38555487681498,-46.560217372532854,0.1746624957178753
gene_1_3,-40.0009422953935,-40.65212992350711,0.6511876281136111
gene_1_4,-42.551958946653535,-45.879349932627164,3.3273909859736293
gene_1_5,-35.42825468554149,-37.25177999437582,1.8235253088343342
gene_1_6,-40.41230709381131,-40.44194511955851,0.029638025747203756
gene_1_7,-30.361836554089514,-30.432561333823777,0.07072477973426317
gene_1_8,-30.63914879942523,-31.076420567786187,0.43727176836095794
gene_1_9,-39.00547114222637,-43.315632564083664,4.310161421857295
gene_1_10,-43.70834980722532,-43.74690561612012,0.038555808894798815
gene_1_11,-55.04330939927742,-60.788443509921585,5.745134110644166
gene_1_12,-52.23212169175285,-51.81618146820501,0.0
gene_1_13,-41.53210504620705,-42.083471475990606,0.5513664297835561
gene_1_14,-23.48951921734512,-23.489519040325003,0.0
gene_1_15,-47.2429293489558,-51.117792836312056,3.874863487356258
gene_1_16,-49.14863425168019,-46.777686772775866,0.0
gene_1_17,-33.36241077745707,-34.410988050555005,1.0485772730979335
gene_1_18,-30.119548464972105,-30.14488026182931,0.025331796857205546
gene_1_19,-29.73878060449863,-29.74240256794499,0.0036219634463598993
gene_1_20,-28.64379180275027,-28.64379182399069,2.124042097761958e-08
gene_1_21,-45.393831229195555,-45.96024538971931,0.566414160523756
gene_1_22,-50.8449483990282,-51.75887082239804,0.91392242336984
gene_1_23,-27.257497977224375,-27.257497924006355,0.0
gene_1_24,-30.314968917042656,-30.383273420350516,0.06830450330786064
gene_1_25,-35.2672932877054,-36.740955371232786,1.4736620835273868
gene_1_26,-38.16082439359945,-38.162703016750605,0.001878623151156944
gene_1_27,-45.40600298337066,-56.431470224219424,11.025467240848762
gene_1_28,-52.58054341906215,-52.34523642622348,0.0
gene_1_29,-42.72031812554421,-43.52975290279043,0.8094347772462172
gene_1_30,-38.427048241734795,-38.42704709766632,0.0
gene_1_31,-35.77139015748806,-35.94073536629037,0.16934520880231219
gene_1_32,-38.16313748647169,-37.88063016520925,0.0
gene_1_33,-36.714370346193604,-41.35236443281582,4.637994086622214
gene_1_34,-34.8201152661326,-34.69773727339454,0.0
gene_1_35,-48.55375478706725,-48.38711864834587,0.0
gene_1_36,-44.14427925599007,-44.1458357612493,0.0015565052592307893
gene_1_37,-38.391713606370665,-45.2899711184393,6.898257512068632
gene_1_38,-37.93465944066081,-37.98732902189376,0.05266958123294785
gene_1_39,-26.276648822613325,-25.974421689634042,0.0
gene_1_40,-26.56434889947353,-26.557563815056376,0.0
gene_1_41,-38.62263646119318,-45.035667211876955,6.413030750683774
gene_1_42,-35.782387807163644,-36.12305792310451,0.34067011594086694
gene_1_43,-44.15176235102864,-54.546466759286375,10.394704408257738
gene_1_44,-45.61567193842813,-45.653929203461765,0.03825726503363569
gene_1_45,-31.547512103920916,-33.14359247946794,1.5960803755470252
gene_1_46,-27.950645629658922,-27.95064567377182,4.411289822314757e-08
gene_1_47,-43.71025887533876,-49.97545372253958,6.265194847200817
gene_1_48,-27.257498900992616,-27.257499040546428,1.3955381206187667e-07
gene_1_49,-35.458717738526765,-37.847609226805545,2.38889148827878
gene_1_50,-29.454720004400198,-29.454720003179105,0.0
gene_1_51,-50.02183834651546,-50.36611613583721,0.344277789321751
gene_1_52,-52.39913010314213,-54.033133273712856,1.634003170570729
gene_1_53,-38.91476812670936,-42.33481131126419,3.420043184554828
gene_1_54,-31.53415915285337,-31.531171620041036,0.0
gene_1_55,-27.950642865589465,-27.95064260953974,0.0
gene_1_56,-26.564351249015484,-26.564351244513396,0.0
gene_1_57,-41.80763999959994,-51.279494316737505,9.471854317137563
gene_1_58,-35.27971181179584,-38.430799882423415,3.151088070627573
gene_1_59,-33.23114886857882,-51.67904324968048,18.447894381101662
gene_1_60,-20.444847806912527,-24.28752522886895,3.8426774219564237
gene_1_61,-33.516325379203835,-35.098772158912695,1.5824467797088602
gene_1_62,-36.37655672624644,-36.37655576844686,0.0
gene_1_63,-32.63214734802497,-40.451223761628675,7.819076413603703
gene_1_64,-25.028923747317375,-25.072727454618317,0.04380370730094185
gene_1_65,-28.84924321030239,-30.3710062274,1.5217630170976086
gene_1_66,-33.36294150461739,-33.4436975729785,0.08075606836111149
gene_1_67,-46.5299810444812,-44.837455778353544,0.0
gene_1_68,-37.53955617106073,-37.54307801407355,0.0035218430128196587
gene_1_69,-38.95947840923266,-42.82256075475884,3.8630823455261805
gene_1_70,-44.1986041132504,-44.19860260745967,0.0
gene_1_71,-53.81366433447416,-64.50622285041923,10.692558515945073
gene_1_72,-57.04616959477172,-57.04613827038843,0.0
gene_1_73,-39.46959325180309,-41.431839838361306,1.9622465865582157
gene_1_74,-36.434275547073966,-35.974239893029875,0.0
gene_1_75,-51.93249204883582,-51.92799096535814,0.0
gene_1_76,-71.42759611906195,-70.33719600777414,0.0
gene_1_77,-43.04202821158883,-48.253013383058914,5.210985171470085
gene_1_78,-27.950644114989046,-27.950644097528926,0.0
gene_1_79,-38.331813943348244,-43.1173560924761,4.785542149127856
gene_1_80,-33.496136262271484,-33.494700318731375,0.0
gene_1_81,-46.50060476625182,-50.326187392670505,3.8255826264186865
gene_1_82,-27.662962069345603,-27.662962031478315,0.0
gene_1_83,-63.92448310582426,-60.21497105435354,0.0
gene_1_84,-48.82786999903273,-48.8278524978699,0.0
gene_1_85,-39.6449336727368,-41.34611589567613,1.7011822229393303
gene_1_86,-42.4350265319555,-42.43502201566402,0.0
gene_1_87,-33.32643508428687,-32.95549064145702,0.0
gene_1_88,-29.454717086372582,-29.45471702815636,0.0
gene_1_89,-40.87333684774886,-42.16071246765375,1.2873756199048927
gene_1_90,-32.632180781685015,-32.629780913023,0.0
gene_1_91,-44.847095853169186,-46.48713967977284,1.6400438266036517
gene_1_92,-46.94648422398956,-45.224586975704895,0.0
gene_1_93,-45.55742241504097,-50.340099837212186,4.7826774221712185
gene_1_94,-38.489882655799725,-38.49179317619331,0.0019105203935865234
gene_1_95,-47.47607834819604,-49.85812801357592,2.3820496653798813
gene_1_96,-53.470853936226675,-50.82095515800981,0.0
gene_1_97,-37.29168484469237,-38.83626699053989,1.5445821458475208
gene_1_98,-33.5932358495499,-33.70167730576152,0.10844145621162227
gene_1_99,-40.843055991785974,-45.998905195496874,5.1558492037109005
gene_1_100,-36.214783420989384,-36.21478228865179,0.0
gene_1_101,-37.17278189011263,-39.5216641216461,2.348882231533466
gene_1_102,-33.232692494262835,-33.23269230777978,0.0
gene_1_103,-49.751976148636636,-50.79533852601709,1.0433623773804541
gene_1_104,-48.050523306307426,-48.55995335897201,0.5094300526645839
gene_1_105,-41.6220832694901,-43.205925110457116,1.5838418409670183
gene_1_106,-45.28527116420381,-45.28526504413592,0.0
gene_1_107,-42.781879244890234,-42.78187728389408,0.0
gene_1_108,-37.79444751529782,-37.79444717990297,0.0
gene_1_109,-40.040831952846425,-40.42346277820882,0.3826308253623978
gene_1_110,-30.014831614974824,-31.53415655467225,1.5193249396974267
gene_1_111,-54.006365228090914,-53.16703641873473,0.0
gene_1_112,-51.06021912772286,-51.60857180472257,0.5483526769997127
gene_1_113,-37.45545796462441,-41.88878073577318,4.433322771148774
gene_1_114,-38.80660844538012,-38.60898521138719,0.0
gene_1_115,-49.326294305845934,-49.986789717292964,0.6604954114470303
gene_1_116,-46.314825276792085,-45.857957407943246,0.0
gene_1_117,-36.94910604849057,-44.335472781557264,7.386366733066694
gene_1_118,-29.624622056449496,-29.572346170853614,0.0
gene_1_119,-41.46616906794708,-42.42258817084439,0.9564191028973141
gene_1_120,-42.079170793078774,-39.58981437212441,0.0
gene_1_121,-40.632506977817144,-43.136713315861456,2.5042063380443125
gene_1_122,-46.815206567073105,-49.14136275380666,2.326156186733556
gene_1_123,-41.58207993384943,-41.60509592814179,0.023015994292364894
gene_1_124,-47.02054903343628,-45.30154401643979,0.0
gene_1_125,-40.95325181378683,-41.7107580674569,0.7575062536700727
gene_1_126,-38.169936518136495,-38.43720936367181,0.2672728455353166
gene_1_127,-55.19978834083665,-60.014831861159045,4.815043520322398
gene_1_128,-48.68391649807018,-48.68388254939112,0.0
gene_1_129,-38.90773134297002,-39.46826741722992,0.5605360742599004
gene_1_130,-42.354081582072034,-42.354080279293214,0.0
gene_1_131,-35.777364048366096,-42.585536645703556,6.80817259733746
gene_1_132,-31.99644908749384,-32.17502985636462,0.178580768870777
gene_1_133,-41.81496421599952,-41.81496147648747,0.0
gene_1_134,-49.214417063431846,-52.32714946806989,3.112732404638045
gene_1_135,-55.79861713518673,-63.77619022020608,7.977573085019351
gene_1_136,-53.34984807479906,-53.36937289280812,0.01952481800906014
gene_1_137,-48.89818669068432,-48.277459847760404,0.0
gene_1_138,-38.551550632734276,-37.316319516374854,0.0
gene_1_139,-43.64249998504747,-51.18955689551966,7.547056910472186
gene_1_140,-44.5712508801291,-44.57124965596355,0.0
gene_1_141,-38.24321930668193,-42.86945779758311,4.62623849090118
gene_1_142,-44.15884425889959,-44.15884228484874,0.0
gene_1_143,-26.969814878979022,-26.969814842066107,0.0
gene_1_144,-31.128693554231997,-31.128693447491635,0.0
gene_1_145,-41.30836594190482,-43.615154062810404,2.306788120905587
gene_1_146,-36.40815607379618,-36.408155818450176,0.0
gene_1_147,-54.8625206473931,-61.838388595441785,6.975867948048688
gene_1_148,-47.991707776072836,-47.99472098440853,0.003013208335694628
gene_1_149,-25.465720419639773,-25.45895450358462,0.0
gene_1_150,-25.864421568201234,-25.86441861204567,0.0
gene_1_151,-27.485294255248895,-32.45044450169373,4.965150246444836
gene_1_152,-25.35294258008606,-25.4589545035816,0.10601192349554012
gene_1_153,-39.319065549405266,-44.390867506214065,5.071801956808798
gene_1_154,-31.392258238496133,-31.531172619506897,0.13891438101076403
gene_1_155,-35.17521008795564,-43.41918605075505,8.24397596279941
gene_1_156,-36.22583395669693,-36.22583325570512,0.0
