,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
ENSMUSG00000000001,-1878.6049065743061,-1886.426344591636,7.8214380173299105
ENSMUSG00000000028,-310.96066897447594,-312.4919481786945,1.531279204218606
ENSMUSG00000000031,-128.68627069163344,-128.68585980342263,0.0
ENSMUSG00000000037,-164.35220254963448,-164.35220220968668,0.0
ENSMUSG00000000049,-45.23538264749124,-45.714518902064626,0.4791362545733762
ENSMUSG00000000056,-715.8647113629538,-716.7688012293794,0.9040898664256928
ENSMUSG00000000058,-569.8666584363133,-586.461275109854,16.594616673540827
ENSMUSG00000000078,-1128.8484588185831,-1128.8474701390849,0.0
ENSMUSG00000000085,-1202.1460327434593,-1202.1459702895904,0.0
ENSMUSG00000000088,-1311.4207754226313,-1312.6970899997552,1.2763145771239124
ENSMUSG00000000120,-163.48302462990807,-163.48301394114606,0.0
ENSMUSG00000000127,-1079.7189397959926,-1079.716307440861,0.0
ENSMUSG00000000131,-1459.7520644500244,-1459.7667447149286,0.014680264903972784
ENSMUSG00000000134,-1524.4858677355426,-1524.7363191837626,0.25045144821979193
ENSMUSG00000000142,-590.676935182527,-588.7608481924873,0.0
ENSMUSG00000000148,-860.4033614571533,-860.3932970225757,0.0
ENSMUSG00000000149,-581.9541915087589,-581.9540786267853,0.0
ENSMUSG00000000154,-41.27167733061717,-41.271681398986416,4.068369250376236e-06
ENSMUSG00000000157,-83.39136785194384,-83.39137233296157,4.481017725765923e-06
ENSMUSG00000000159,-432.78366871367086,-432.7836335650566,0.0
ENSMUSG00000000167,-370.67930552562933,-370.68259221850406,0.003286692874553409
ENSMUSG00000000168,-1511.7646919404008,-1511.7853303383613,0.0206383979605107
ENSMUSG00000000171,-1985.1811257738746,-1995.292978820022,10.111853046147644
ENSMUSG00000000184,-2499.912878340864,-2560.8960451568187,60.98316681595498
ENSMUSG00000000194,-1341.6794706725038,-1341.6786208879214,0.0
ENSMUSG00000000197,-1243.2954550033128,-1250.3521188127083,7.056663809395559
ENSMUSG00000000202,-984.6475377122437,-984.6444616207413,0.0
ENSMUSG00000000214,-277.2193657600181,-279.8155211379451,2.5961553779269484
ENSMUSG00000000215,-1611.045753943626,-1611.1354529799105,0.08969903628440079
ENSMUSG00000000216,-87.14368767881598,-87.14368781239382,1.3357785633161257e-07
ENSMUSG00000000223,-59.02375622036105,-60.50312271840159,1.4793664980405412
ENSMUSG00000000253,-1521.0657945707885,-1521.0653790028734,0.0
ENSMUSG00000000266,-516.3068279987257,-516.3067367705096,0.0
ENSMUSG00000000275,-1125.8843618878466,-1125.8836293140685,0.0
ENSMUSG00000000276,-1153.0352576109913,-1153.0315601336756,0.0
ENSMUSG00000000278,-1711.5574958084949,-1712.0997553021218,0.5422594936271707
ENSMUSG00000000282,-947.0586649248984,-947.1973591657204,0.13869424082224668
ENSMUSG00000000295,-634.8273925260775,-635.8006817246072,0.973289198529642
ENSMUSG00000000296,-502.36625523753065,-502.3662469677368,0.0
ENSMUSG00000000301,-413.2263607251741,-413.22634424595583,0.0
ENSMUSG00000000303,-1727.6658817342084,-1727.5966953001985,0.0
ENSMUSG00000000305,-259.9695462207944,-262.43985371661523,2.4703074958208053
ENSMUSG00000000308,-832.8012973816848,-832.7935612951962,0.0
