,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
ENSMUSG00000000001,-647.8556436840142,-668.0115495837633,20.155905899749087
ENSMUSG00000000028,-529.1178231062703,-535.9824793162136,6.864656209943178
ENSMUSG00000000031,-205.8616738131149,-205.86144665676983,0.0
ENSMUSG00000000037,-368.7600934629619,-369.6725060694767,0.9124126065148062
ENSMUSG00000000049,-127.92146225014388,-128.98824159017045,1.0667793400265708
ENSMUSG00000000056,-627.8053810957407,-638.3591077704934,10.553726674752623
ENSMUSG00000000058,-627.7859556919259,-647.8844058235893,20.098450131663405
ENSMUSG00000000078,-687.0436929315379,-690.8008565251242,3.7571635935863696
ENSMUSG00000000085,-674.8059965284798,-674.8036249725074,0.0
ENSMUSG00000000088,-578.6227441101537,-586.0282133621223,7.405469251968497
ENSMUSG00000000120,-322.90981712504623,-323.0898386846684,0.1800215596221051
ENSMUSG00000000127,-664.7606605819348,-668.4398014584037,3.6791408764689777
ENSMUSG00000000131,-657.6548514136433,-659.4627152010756,1.8078637874324384
ENSMUSG00000000134,-668.1707871898581,-676.5747447195536,8.403957529695504
ENSMUSG00000000142,-549.1491052813609,-547.6030860538608,0.0
ENSMUSG00000000148,-658.9102854401348,-659.8265737181587,0.9162882780240124
ENSMUSG00000000149,-572.726141466381,-573.6403035218983,0.9141620555171812
ENSMUSG00000000154,-124.23392683809023,-124.23391797985269,0.0
ENSMUSG00000000157,-131.6109719835465,-131.61328264951132,0.002310665964813552
ENSMUSG00000000159,-547.0233874969388,-549.2574034173933,2.2340159204545667
ENSMUSG00000000167,-496.6898001225928,-500.49608767541605,3.806287552823221
ENSMUSG00000000168,-689.6430493666959,-692.5400705248263,2.897021158130542
ENSMUSG00000000171,-425.3487824927816,-430.69617959505655,5.347397102274955
ENSMUSG00000000184,-378.757762194,-434.5294570069382,55.77169481293822
ENSMUSG00000000194,-679.1789345140093,-678.9537558750576,0.0
ENSMUSG00000000197,-669.2716453149662,-681.5660524054052,12.294407090438993
ENSMUSG00000000202,-643.4268895899384,-644.5964796832644,1.1695900933261782
ENSMUSG00000000214,-475.75500216723344,-494.86271938576317,19.10771721852973
ENSMUSG00000000215,-750.6823059558017,-750.6821586173379,0.0
ENSMUSG00000000216,-298.2276455340991,-298.9597158386812,0.7320703045820665
ENSMUSG00000000223,-11.75898958761681,-11.758985830049312,0.0
ENSMUSG00000000253,-687.9895701852417,-685.4093623940627,0.0
ENSMUSG00000000266,-584.2855727949238,-584.3436156851242,0.05804289020034047
ENSMUSG00000000275,-646.9417043943442,-650.0702872349779,3.128582840633612
ENSMUSG00000000276,-632.0066679828627,-635.9942337955089,3.98756581264604
ENSMUSG00000000278,-670.7171604410787,-672.4989107498774,1.7817503087986781
ENSMUSG00000000282,-630.0710210691318,-633.4021908546648,3.331169785533234
ENSMUSG00000000295,-595.6379911917185,-612.8235253466291,17.18553415491067
ENSMUSG00000000296,-566.945796010202,-569.6153862750157,2.669590264813792
ENSMUSG00000000301,-516.9988134517292,-517.0672340347046,0.06842058297525
ENSMUSG00000000303,-683.4505255538082,-687.8681787783094,4.417653224500897
ENSMUSG00000000305,-446.45783090687013,-454.4603168977882,8.002485990918046
ENSMUSG00000000308,-663.0703570017139,-663.1201271600272,0.0497701583133221
ENSMUSG00000000317,-608.807382591968,-609.8207113950888,1.0133288031207712
ENSMUSG00000000320,-143.5085223411615,-143.5084650374592,0.0
ENSMUSG00000000325,-687.768189533112,-706.3560864851628,18.587896952050873
ENSMUSG00000000326,-488.1776313741892,-492.49610339109495,4.318472016905616
ENSMUSG00000000339,-624.4404232006373,-630.659924545036,6.21950134439885
ENSMUSG00000000340,-603.9575499180794,-604.7168941376893,0.7593442196099431
ENSMUSG00000000346,-556.5168152664353,-566.9478392649962,10.431023998560931
ENSMUSG00000000355,-640.4868958770743,-640.6758300414905,0.18893416441619595
ENSMUSG00000000365,-205.49573764161102,-205.4957229185492,0.0
ENSMUSG00000000374,-605.3648988379609,-607.7284293447888,2.363530506827715
ENSMUSG00000000378,-631.6670246509505,-640.8105019107303,9.143477259779845
ENSMUSG00000000384,-609.7336701888206,-612.2616685993638,2.5279984105430917
ENSMUSG00000000385,-237.26293301495488,-239.74641531291888,2.4834822979640307
ENSMUSG00000000386,-245.7505899926628,-255.66692679675253,9.916336804089779
ENSMUSG00000000392,-537.2496173065471,-569.6198440329463,32.37022672639921
ENSMUSG00000000394,-134.7312433400075,-367.59988203226396,232.86863869225638
ENSMUSG00000000399,-638.0801421012293,-645.1377267106826,7.057584609453442
ENSMUSG00000000402,-289.61767840946686,-289.61764416244,0.0
ENSMUSG00000000409,-647.3148277272837,-659.4795287788702,12.164701051586464
ENSMUSG00000000411,-106.3752583430149,-106.3752547561223,0.0
ENSMUSG00000000416,-310.2647134416838,-310.26463986372625,0.0
ENSMUSG00000000420,-670.4897972653575,-674.2621091267151,3.7723118613575934
ENSMUSG00000000439,-624.7592845432955,-626.6727240689328,1.913439525637159
ENSMUSG00000000441,-642.7702766404236,-647.3855090703297,4.615232429906087
ENSMUSG00000000486,-112.16828753481064,-113.46224341244272,1.2939558776320723
ENSMUSG00000000489,83.12855209624503,83.12855935520757,0.0
ENSMUSG00000000531,-458.9563476253478,-462.0291085681907,3.0727609428428764
ENSMUSG00000000532,-606.8781568644353,-609.9977279781242,3.1195711136890623
ENSMUSG00000000538,-692.3305899182243,-692.3305613623637,0.0
ENSMUSG00000000544,-549.47398023557,-632.583369792496,83.10938955692599
ENSMUSG00000000552,-301.73439428719985,-301.80188458622104,0.0674902990211308
ENSMUSG00000000555,64.10719667317278,64.10719845900093,0.0
ENSMUSG00000000560,20.50989782469204,19.621009963425305,0.8888878612667312
ENSMUSG00000000561,-711.4768372713803,-714.9706350321494,3.4937977607689845
ENSMUSG00000000562,-155.8285518885464,-155.84282956671476,0.014277678168355125
ENSMUSG00000000563,-367.88332945602446,-377.83523457335286,9.951905117328351
ENSMUSG00000000567,-425.6013245136664,-432.6613323489016,7.060007835235241
ENSMUSG00000000568,-608.1971005890772,-621.0273443480544,12.830243758977304
ENSMUSG00000000579,-450.75960505632935,-450.7596034257017,0.0
ENSMUSG00000000581,-624.6265206734929,-639.1427986392367,14.51627796574394
ENSMUSG00000000594,-557.971939780301,-557.9718995198301,0.0
ENSMUSG00000000600,-670.3074208951863,-670.4614035203608,0.1539826251747627
ENSMUSG00000000605,-681.8174515602201,-681.8582376458163,0.0407860855960962
ENSMUSG00000000627,-527.5558219558847,-535.3800319098725,7.824209953987862
ENSMUSG00000000628,-172.96569947134117,-172.96558695201315,0.0
ENSMUSG00000000631,-628.0447095860849,-640.191272343301,12.146562757216088
ENSMUSG00000000632,-453.82306984261567,-461.087968164316,7.2648983217002865
ENSMUSG00000000673,-46.320616765425385,-46.32061657593256,0.0
ENSMUSG00000000682,25.01858820239169,25.018589475819077,0.0
ENSMUSG00000000686,-577.9047471321057,-587.7005481423813,9.795801010275682
ENSMUSG00000000693,-322.64067543223285,-322.64065846013216,0.0
ENSMUSG00000000708,-645.5652219973181,-645.5652150276253,0.0
ENSMUSG00000000711,-626.8407605859314,-626.8437437913293,0.002983205397868005
ENSMUSG00000000724,36.068432781626335,36.40387765259902,0.0
ENSMUSG00000000731,-26.564345395543672,-26.564294993035478,0.0
ENSMUSG00000000732,-115.05619380217856,-116.69103347003572,1.6348396678571646
ENSMUSG00000000738,-663.6192617554482,-665.5003239590757,1.88106220362738
ENSMUSG00000000739,86.41431037914394,86.41431342814299,0.0
ENSMUSG00000000740,-30.78732710376789,-109.16120157477415,78.37387447100627
ENSMUSG00000000743,-627.9809909394643,-640.7103388377358,12.729347898271612
ENSMUSG00000000751,-699.3833992092337,-711.2621665658357,11.878767356602
ENSMUSG00000000753,-193.39182947675158,-193.74011152901176,0.3482820522601457
ENSMUSG00000000759,-699.8241726176857,-700.0685791097369,0.2444064920514393
ENSMUSG00000000766,-137.88329794417663,-139.8216019125742,1.9383039683975485
ENSMUSG00000000776,-655.0447367106228,-657.9195632350893,2.8748265244664712
ENSMUSG00000000782,-39.908998243314656,-40.180931555956725,0.2719333126420622
ENSMUSG00000000787,-612.2374545487602,-623.4916052817863,11.254150733026336
ENSMUSG00000000791,-141.18815897759976,-141.18309436905272,0.0
ENSMUSG00000000792,-202.73352818390762,-206.69553466492962,3.9620064810220015
ENSMUSG00000000794,-643.5948230803227,-688.3502170497087,44.75539396938598
ENSMUSG00000000804,-649.1241263168736,-654.3949286966564,5.270802379782822
ENSMUSG00000000811,-545.4451293690207,-545.6882979218348,0.2431685528140406
ENSMUSG00000000823,-653.0673529867877,-664.9976516726132,11.930298685825393
ENSMUSG00000000826,-655.6455756564162,-657.8342900069763,2.1887143505598488
ENSMUSG00000000827,-648.1583860960174,-652.3152429949754,4.15685689895804
ENSMUSG00000000838,-678.5511736584759,-684.5791149087244,6.027941250248432
ENSMUSG00000000861,-656.0484905163316,-655.5284404523829,0.0
ENSMUSG00000000869,-101.13216141403437,-101.13215443662213,0.0
