,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
ENSMUSG00000000001,-647.8556129901029,-668.0115404412602,20.15592745115714
ENSMUSG00000000028,-529.1172939956205,-535.9824591017423,6.865165106121823
ENSMUSG00000000031,-205.86131109460428,-205.86129575941754,0.0
ENSMUSG00000000037,-368.7598890179275,-369.6724504412484,0.9125614233209376
ENSMUSG00000000049,-127.91406509810264,-128.98800157006522,1.0739364719625542
ENSMUSG00000000056,-627.8052639279496,-638.3590969015987,10.553832973649264
ENSMUSG00000000058,-627.7576002682277,-647.8843955799367,20.12679531170897
ENSMUSG00000000078,-687.0435720989092,-690.8008486101397,3.7572765112304296
ENSMUSG00000000085,-674.8038792998898,-674.8036162393669,0.0
ENSMUSG00000000088,-578.6227021373822,-586.028198313955,7.405496176572798
ENSMUSG00000000120,-322.9096486289623,-323.0897648388073,0.18011620984503907
ENSMUSG00000000127,-664.7606378953542,-668.4397923860007,3.679154490646511
ENSMUSG00000000131,-657.6503874913309,-659.4627055906765,1.812318099345589
ENSMUSG00000000134,-668.1707624924187,-676.5747360608793,8.403973568460515
ENSMUSG00000000142,-548.939154380792,-547.6030671572687,0.0
ENSMUSG00000000148,-658.9102591758158,-659.8265641723374,0.9163049965216032
ENSMUSG00000000149,-572.7261039799611,-573.6402874032054,0.9141834232444808
ENSMUSG00000000154,-124.23367746221425,-124.23367083589373,0.0
ENSMUSG00000000157,-131.61054230366784,-131.6130456500812,0.002503346413334384
ENSMUSG00000000159,-547.0233323003429,-549.2573847435697,2.2340524432268007
ENSMUSG00000000167,-496.6889120652749,-500.4960625469653,3.807150481690485
ENSMUSG00000000168,-689.6430321636882,-692.5400626725274,2.8970305088390664
ENSMUSG00000000171,-425.348706163396,-430.6961405074863,5.3474343440902885
ENSMUSG00000000184,-378.7577083516117,-434.52941875837683,55.771710406765116
ENSMUSG00000000194,-678.7365653779539,-678.9537473528233,0.2171819748693906
ENSMUSG00000000197,-669.2714035901247,-681.5660440231029,12.294640432978213
ENSMUSG00000000202,-643.4268590775871,-644.5964691950755,1.169610117488446
ENSMUSG00000000214,-475.75334973830087,-494.86269341266336,19.10934367436243
ENSMUSG00000000215,-750.6821596559108,-750.6821531158482,0.0
ENSMUSG00000000216,-298.0555283375931,-298.95963046663263,0.9041021290395292
ENSMUSG00000000223,-11.75860163756469,-11.758494825196559,0.0
ENSMUSG00000000253,-687.8467107646617,-685.4093541909917,0.0
ENSMUSG00000000266,-584.2855397435171,-584.3436005977411,0.05806085422398155
ENSMUSG00000000275,-646.9416674019046,-650.0702770820873,3.128609680182535
ENSMUSG00000000276,-634.469724406684,-635.9942227314119,1.5244983247279151
ENSMUSG00000000278,-670.7171437506547,-672.4989018628735,1.781758112218654
ENSMUSG00000000282,-630.0709893478677,-633.4021796278088,3.3311902799410973
ENSMUSG00000000295,-599.0979799833074,-612.8235126497715,13.725532666464119
ENSMUSG00000000296,-566.9457331581223,-569.615369767703,2.6696366095808344
ENSMUSG00000000301,-516.9987703283721,-517.0672113087189,0.06844098034684976
ENSMUSG00000000303,-683.4505083059971,-687.8681706884635,4.417662382466347
ENSMUSG00000000305,-446.45760840912516,-454.4602836771914,8.002675268066298
ENSMUSG00000000308,-663.0703407782419,-663.120117805928,0.0497770276861047
ENSMUSG00000000317,-608.8073329919533,-609.8206984747774,1.0133654828241558
ENSMUSG00000000320,-143.5084824008098,-143.50824334357833,0.0
ENSMUSG00000000325,-687.7203749776259,-706.3560792781258,18.63570430049981
ENSMUSG00000000326,-488.1775131045378,-492.49607664783247,4.318563543294658
ENSMUSG00000000339,-624.4339570969328,-630.6599131274677,6.225956030534802
ENSMUSG00000000340,-603.9574928405799,-604.7168807916229,0.7593879510429815
ENSMUSG00000000346,-556.5167661394289,-566.9478222830962,10.43105614366732
ENSMUSG00000000355,-640.4868857491224,-640.6758192521596,0.18893350303721945
ENSMUSG00000000365,-205.4955836953721,-205.49557202209598,0.0
ENSMUSG00000000374,-605.3648674150583,-607.7284162366639,2.3635488216056046
ENSMUSG00000000378,-631.6669709491291,-640.8104911970387,9.143520247909693
ENSMUSG00000000384,-609.7336309236846,-612.261655844591,2.5280249209064323
ENSMUSG00000000385,-237.2622546646444,-239.74629286577076,2.4840382011263387
ENSMUSG00000000386,-245.74532981576743,-255.66681478818344,9.921484972415982
ENSMUSG00000000392,-537.248824522987,-569.6198275311326,32.371003008145635
ENSMUSG00000000394,-134.55742903411738,-367.5998242142305,233.04239518011312
ENSMUSG00000000399,-638.0787695134187,-645.1377162039145,7.058946690495644
ENSMUSG00000000402,-289.61765779442806,-289.6175536450798,0.0
ENSMUSG00000000409,-647.1956441179125,-659.4795192187344,12.283875100821886
ENSMUSG00000000411,-106.37502038729292,-106.3749792031554,0.0
ENSMUSG00000000416,-310.2646078689753,-310.2645601369594,0.0
ENSMUSG00000000420,-670.4897774170408,-674.2621003581477,3.7723229411067214
ENSMUSG00000000439,-624.7592503450325,-626.6727123939838,1.9134620489514875
ENSMUSG00000000441,-642.7702458845145,-647.3854987083192,4.615252823804782
ENSMUSG00000000486,-111.24101557191004,-113.4619786038442,2.2209630319341613
ENSMUSG00000000489,83.12855941478868,83.12855938828727,2.6501425054448188e-08
ENSMUSG00000000531,-458.31797102053116,-462.0290768142869,3.711105793755849
ENSMUSG00000000532,-606.8781214728202,-609.9977150488412,3.119593576020975
ENSMUSG00000000538,-692.3305592633291,-692.3305535004782,0.0
ENSMUSG00000000544,-549.4725481244024,-632.5833585240605,83.11081039965812
ENSMUSG00000000552,-301.7342392779621,-301.80180032029045,0.06756104232835014
ENSMUSG00000000555,64.10782551244407,64.10797532391521,0.0
ENSMUSG00000000560,20.511830736944408,19.621604269487488,0.8902264674569158
