,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
ENSMUSG00000000001,-1878.8498305558303,-1886.426344574604,7.5765140187736515
ENSMUSG00000000028,-310.96070503583087,-312.4919485098775,1.5312434740466188
ENSMUSG00000000031,-128.68586342728585,-128.68586115785823,0.0
ENSMUSG00000000037,-164.35232628136112,-164.35220219019138,0.0
ENSMUSG00000000049,-110.03146571981917,-45.71452358549222,0.0
ENSMUSG00000000056,-715.8647599060102,-716.7688012117062,0.9040413056960688
ENSMUSG00000000058,-604.8889164167995,-586.4612319644892,0.0
ENSMUSG00000000078,-1128.8568432364868,-1128.8474703158788,0.0
ENSMUSG00000000085,-1202.1480775626876,-1202.1459620049295,0.0
ENSMUSG00000000088,-1311.4206953338708,-1312.6970899097532,1.2763945758824775
ENSMUSG00000000120,-163.4830242129595,-163.48301392114422,0.0
ENSMUSG00000000127,-1079.7230316859282,-1079.7163073290124,0.0
ENSMUSG00000000131,-1459.7552366193838,-1459.766744637034,0.01150801764993048
ENSMUSG00000000134,-1524.4868105986395,-1524.7363191688723,0.2495085702330471
ENSMUSG00000000142,-588.7612779845778,-588.7608479667052,0.0
ENSMUSG00000000148,-860.3935594497791,-860.3932915720372,0.0
ENSMUSG00000000149,-581.9545661110859,-581.9540784767926,0.0
ENSMUSG00000000154,-41.271677410351984,-41.27168139918773,3.9888357505901695e-06
ENSMUSG00000000157,-83.39180144675025,-83.39137194143501,0.0
ENSMUSG00000000159,-432.783740575112,-432.78363529573164,0.0
ENSMUSG00000000167,-370.6801169218869,-370.6825899166615,0.0024729947745640857
ENSMUSG00000000168,-1511.7641897103733,-1511.7853303073514,0.02114059697828452
ENSMUSG00000000171,-1985.1819557090173,-1995.2929792655,10.111023556482449
ENSMUSG00000000184,-2499.9562138939973,-2560.89604529663,60.93983140263207
ENSMUSG00000000194,-1341.6789871262936,-1341.7147323601173,0.03574523382371808
ENSMUSG00000000197,-1243.4079499262716,-1250.3521180085293,6.944168082257647
ENSMUSG00000000202,-984.6587416090288,-984.6444614028533,0.0
ENSMUSG00000000214,-277.2194055488851,-279.81552117124215,2.596115622357047
ENSMUSG00000000215,-1611.412842115127,-1611.135454431582,0.0
