,0.0,0.0.1,0.0.2,0.2,0.2.1,0.2.2,0.4,0.4.1,0.4.2,0.6,0.6.1,0.6.2,0.8,0.8.1,0.8.2,1.0,1.0.1,1.0.2
gene_1_1,12.0,7.0,17.0,2.0,4.0,7.0,1.0,3.0,1.0,1.0,2.0,4.0,4.0,7.0,3.0,26.0,37.0,31.0
gene_1_2,10.0,11.0,11.0,7.0,9.0,10.0,6.0,12.0,12.0,17.0,3.0,4.0,8.0,9.0,4.0,10.0,3.0,10.0
gene_1_3,12.0,14.0,6.0,8.0,10.0,6.0,22.0,17.0,21.0,34.0,23.0,29.0,30.0,13.0,28.0,27.0,13.0,39.0
gene_1_4,19.0,24.0,13.0,4.0,16.0,3.0,7.0,10.0,10.0,16.0,10.0,17.0,12.0,9.0,18.0,11.0,9.0,18.0
gene_1_5,15.0,32.0,15.0,8.0,2.0,4.0,1.0,0.0,3.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,10.0,9.0
gene_1_6,8.0,2.0,5.0,8.0,4.0,4.0,6.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,7.0,4.0,7.0
gene_1_7,20.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,105.0,103.0,156.0,112.0,77.0,86.0
gene_1_8,103.0,48.0,91.0,92.0,59.0,52.0,42.0,88.0,91.0,35.0,61.0,82.0,78.0,66.0,63.0,94.0,70.0,86.0
gene_1_9,231.0,178.0,258.0,12.0,17.0,10.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,5.0,4.0,116.0,140.0,175.0
gene_1_10,197.0,174.0,132.0,144.0,167.0,156.0,189.0,157.0,139.0,184.0,186.0,188.0,154.0,176.0,153.0,162.0,189.0,154.0
gene_1_11,7.0,9.0,3.0,7.0,7.0,9.0,7.0,2.0,8.0,11.0,6.0,2.0,13.0,16.0,11.0,8.0,4.0,10.0
gene_1_12,2.0,6.0,4.0,5.0,1.0,3.0,2.0,1.0,8.0,3.0,2.0,6.0,1.0,6.0,4.0,3.0,2.0,1.0
gene_1_13,9.0,13.0,9.0,6.0,11.0,5.0,5.0,11.0,13.0,11.0,10.0,5.0,3.0,9.0,8.0,8.0,6.0,9.0
gene_1_14,2.0,6.0,1.0,4.0,4.0,0.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0
gene_1_15,5.0,6.0,4.0,7.0,10.0,11.0,13.0,15.0,16.0,13.0,9.0,11.0,8.0,5.0,7.0,6.0,1.0,2.0
gene_1_16,9.0,14.0,15.0,11.0,18.0,11.0,10.0,9.0,8.0,11.0,11.0,11.0,7.0,7.0,9.0,9.0,21.0,12.0
gene_1_17,16.0,25.0,15.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,4.0,6.0,9.0,20.0,38.0,22.0
gene_1_18,15.0,10.0,8.0,17.0,24.0,8.0,16.0,26.0,19.0,25.0,21.0,15.0,16.0,31.0,17.0,19.0,17.0,20.0
gene_1_19,12.0,12.0,16.0,192.0,315.0,404.0,48.0,41.0,33.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,9.0,8.0
gene_1_20,11.0,21.0,16.0,17.0,14.0,11.0,18.0,19.0,16.0,12.0,23.0,16.0,11.0,8.0,14.0,12.0,19.0,24.0
