,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,p value,q value
Nrf1,-249.2338189377977,-253.8400668287947,4.606247890996997,0.0318556609778432,0.15927830488921602
Zbtb5,-264.3930196025103,-264.39301771752247,0.0,1.0,1.0
Ccnl1,-470.1798009501324,-470.1798013561013,4.0596887629362755e-07,0.99949162240545,1.0
Lrrfip1,-425.4897925341951,-426.37355648850445,0.8837639543093587,0.34717283099626195,0.6943456619925239
Bbs1,-399.70292258456095,-399.7516124144639,0.048689829902968995,0.8253589536229003,1.0
Lix1,-613.669709428333,-615.7138269393074,2.044117510974388,0.15279556694224106,0.46164128629266693
Whrn,-343.34546316295877,-344.2797504722844,0.9342873093256117,0.3337513428718236,0.6943456619925239
Ate1,-504.469972880231,-506.27232431858164,1.8023514383506267,0.17942847720985566,0.46164128629266693
Ubac1,-519.8977253570528,-519.8977846031846,5.924613185470662e-05,0.9938586227832784,1.0
Rab34,-404.38248976370767,-404.3824857987413,0.0,1.0,1.0
Nap1l1,-702.3421849969542,-707.498558071665,5.156373074710814,0.023161215921039924,0.15440810614026615
Srgap3,-646.249324281491,-646.249422689605,9.840811401318206e-05,0.992085046042619,1.0
Slc1a3,-1118.958215153422,-1124.7957562542754,5.8375411008532865,0.015687735383130175,0.15440810614026615
Polr3k,-360.3116824607858,-360.3116686561525,0.0,1.0,1.0
Inpp5f,-638.0671974697135,-638.0672520356525,5.456593896724371e-05,0.9941061791832765,1.0
Ndufaf6,-215.29428141043886,-215.2942812553852,0.0,1.0,1.0
Atp5j2,-669.2951938372248,-671.0549373199021,1.7597434826773224,0.18465651451706677,0.46164128629266693
Tnpo2,-516.470876576309,-516.4714453607742,0.0005687844651447449,0.9809728931873805,1.0
2010300C02Rik,-660.9115200673093,-683.2271109465871,22.315590879277806,2.313208874893391e-06,4.626417749786782e-05
B3gat3,-531.7578092991721,-534.1835642435035,2.425754944331402,0.11935572807238459,0.46164128629266693
