,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC212.11,-113.2824201859087,-64.20383663210544,-49.33184372771508,-0.2532601739117979
SPAC212.09c,-161.1219737844709,-86.23844000173102,-78.30756808662711,-3.4240343038872254
SPAC212.04c,-164.69877023145418,-72.18916003384027,-84.85015962441214,7.659450573201809
SPAC212.01c,-52.19430848258789,-21.412467938928962,-30.56841535194805,0.2134251917108827
SPNCRNA.601,-115.77578069511841,-59.608753688676536,-58.77100835893133,-2.603981352489484
SPAC977.11,-168.5985402226253,-82.45680269635214,-87.26362518404751,-1.1218876577743229
SPAC977.13c,-147.10630040091596,-81.77125292996753,-76.11864215649653,-10.78359468554808
SPAC977.15,-154.213594265622,-83.22616908307201,-71.30748429640268,-0.32005911385269314
SPAC977.16c,-173.47258492775185,-90.44847387026545,-87.67609704206804,-4.651985984581644
SPNCRNA.76,-78.93740973564933,-36.52954283142718,-43.296023907859144,-0.8881570036369908
SPNCRNA.603,-44.85276640672302,-18.266118201720992,-26.641422945560326,-0.054774740558301005
SPNCRNA.607,-175.68155598022668,-92.8127869703997,-90.2271517369804,-7.358382727153412
SPAC1F8.06,-187.43751473327598,-93.49904299478504,-91.41001796149435,2.528453776996571
SPAC1F8.08,-164.82520988482142,-86.41705839678886,-82.49935871529368,-4.091207227261123
SPAC11D3.19,-133.68826352747422,-69.19171746840888,-66.99968814619909,-2.5031420871337393
SPAC11D3.01c,-229.36529139583118,-119.66008416249494,-103.83014333047608,5.875063902860148
SPNCRNA.608,-165.93337294609395,-89.33041056865173,-74.84333286985125,1.759629507591001
SPAC11D3.02c,-237.2691803278672,-119.42457078165845,-124.12096296815105,-6.276353421942304
SPAC11D3.03c,-145.60117787225124,-77.10491517782484,-68.68763819849387,-0.19137550406748005
SPAC11D3.05,-207.48555130686645,-121.27541076490955,-124.38270352222608,-38.172562980269156
SPAC11D3.07c,-224.51699994952276,-114.0757796792657,-113.53670619403702,-3.095485923779989
SPAC11D3.08c,-221.36228792403716,-114.46708251006444,-111.18879094551994,-4.293585531547278
SPAC11D3.11c,-183.34105892017917,-95.57715066758894,-91.98931338492207,-4.225405132331788
SPAC11D3.14c,-177.7488965587354,-90.45988178220095,-91.25082511730585,-3.961810340771393
SPNCRNA.609,-191.33971295997418,-98.92357074820409,-96.36965875594092,-3.9535165441708098
SPNCRNA.610,-65.89814711522601,-31.58259054828485,-32.297349799894484,2.018206767046685
SPAC11D3.16c,-201.78885838715541,-103.00079847400022,-102.65113933338058,-3.8630794202254317
SPAC11D3.18c,-147.93436502200746,-75.84658678793892,-73.70098823355941,-1.6132099994908629
SPNCRNA.612,-162.03974671926545,-86.98491517249323,-75.19510684163937,-0.14027529486713775
SPAC5H10.01,-135.37229445374462,-70.44339866559223,-68.65867614656888,-3.729780358416491
SPAC5H10.03,-276.93000957920776,-140.48143013190418,-147.5170613625511,-11.068481915247505
SPAC5H10.04,-160.68391334172648,-85.25017472715835,-79.35975954225721,-3.926020927689024
SPAC5H10.06c,-218.82856723593602,-111.36271736557516,-116.0990850059372,-8.633235135576342
SPAC5H10.08c,-209.53382894240383,-109.48052971760723,-101.61232674155158,-1.5590275167550374
SPAC5H10.09c,-163.582553609421,-83.05172098101394,-83.51604615246143,-2.9852135240543305
SPAC5H10.10,-209.9899256959416,-103.82955983075986,-108.68092993832951,-2.520564073147796
SPAC5H10.11,-114.88061793839724,-60.510898904915884,-59.155918524896705,-4.7861994914153305
SPAC5H10.12c,-217.390191685249,-111.0104920831231,-111.10249899542453,-4.7227993932986285
SPAC5H10.13c,-234.47821593092613,-118.53420118914534,-120.15197450386896,-4.207959762088166
SPNCRNA.617,-143.1808882076011,-77.01138694829743,-67.46479992490114,-1.2952986655974712
SPAC13G6.01c,-249.3063015356607,-129.10381054916536,-125.2173726522298,-5.014881665734492
SPAC13G6.03,-223.90430848760369,-115.26991134876353,-113.39715857966459,-4.762761440824448
SPNCRNA.618,-124.9813935634455,-64.5132998537302,-59.259076492942675,1.2090172167726079
SPNCRNA.620,-71.41494736882545,-39.862278357678754,-32.04114802863995,-0.4884790174932618
SPAC13G6.14,-214.07372270645573,-109.63316479172026,-109.93109330953676,-5.490535394801243
SPAC13G6.15c,-191.110416905776,-98.20852015040481,-94.4219576463101,-1.5200608909389075
SPNCRNA.621,-149.8531423487476,-77.44145820279705,-76.05052258989744,-3.638838443946924
