,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-35.119026248564865,-37.782650348789105,2.66362410022424
gene_2,-18.52118048092611,-18.521165194288045,-1.528663806382724e-05
gene_3,-28.520388439545513,-30.909741948687476,2.389353509141962
gene_4,-13.9464443928651,-13.946407059161242,-3.73337038581667e-05
gene_5,-15.555308383686056,-17.143098076329824,1.587789692643769
gene_6,-8.440341841049673,-8.440125764823911,-0.0002160762257616966
gene_7,-27.11044412521132,-27.4521318855619,0.341687760350581
gene_8,-18.011767285941367,-18.011766091110808,-1.1948305598252773e-06
gene_9,-31.978057308858567,-33.34157952325382,1.3635222143952532
gene_10,-15.217365517902449,-15.575026665114594,0.3576611472121449
gene_11,-18.857627926794933,-30.23226218325913,11.374634256464198
gene_12,-16.342968586903275,-16.342929117308966,-3.946959430933816e-05
gene_13,-26.91632622639016,-27.490051632315744,0.5737254059255825
gene_14,-10.430045496817051,-10.429731119117307,-0.00031437769974473895
gene_15,-25.504804005592668,-27.639718670804495,2.134914665211827
gene_16,-5.780734617469523,-5.986478639203543,0.20574402173402007
gene_17,-32.9169499334471,-40.350560895120225,7.433610961673125
gene_18,-17.63868816977076,-17.638687667429306,-5.023414537674853e-07
gene_19,-36.434146073800136,-37.222869749378745,0.7887236755786091
gene_20,-13.556257981531395,-13.556257546831135,-4.3470025978820104e-07
gene_21,-28.39466078824833,-29.73498995797488,1.340329169726548
gene_22,-9.556231129456084,-9.555647739738285,-0.000583389717798255
gene_23,-28.394567521952464,-36.62901115415687,8.234443632204407
gene_24,-5.874882026558041,-7.12484561460192,1.2499635880438795
gene_25,-35.65308043089907,-35.65306949233757,-1.0938561494810983e-05
gene_26,-18.02621770439819,-14.933853535243557,-3.0923641691546315
gene_27,-31.300321896673275,-31.300224981526476,-9.691514679843749e-05
gene_28,-12.153485096044829,-12.990038029832654,0.836552933787825
gene_29,-16.125819224623548,-17.128595683759237,1.0027764591356885
gene_30,-10.343222106829362,-7.355083628007996,-2.988138478821366
gene_31,-35.55534649046011,-32.14914985775242,-3.4061966327076902
gene_32,-16.089879876959614,-16.089860071191005,-1.9805768609160168e-05
gene_33,-33.305014984445314,-34.26589406260126,0.9608790781559478
gene_34,-12.820288468431642,-12.820282186431818,-6.2819998234431296e-06
gene_35,-32.01242421679032,-32.75329566765889,0.7408714508685676
gene_36,-14.774018329181132,-14.774013997527712,-4.331653419953341e-06
gene_37,-34.95994369347465,-34.95994226745628,-1.4260183718306507e-06
gene_38,-13.70334745381703,-13.703317916013818,-2.9537803211354685e-05
gene_39,-35.3084480924253,-35.31708299173631,0.008634899311005029
gene_40,-15.65300680290595,-15.652766529004928,-0.00024027390102077106
gene_41,-13.743918220565144,-21.18870194134994,7.444783720784796
gene_42,-5.715813716599239,-5.715800063721051,-1.365287818799743e-05
gene_43,-28.08378335837842,-29.378513688514623,1.294730330136204
gene_44,-9.4830644947587,-9.545951248616248,0.06288675385754772
gene_45,-21.44794670404457,-26.471778823220323,5.023832119175754
gene_46,-7.4269210471732485,-7.426920674527345,-3.726459034680829e-07
gene_47,-27.868011607058342,-47.07631152023835,19.208299913180007
gene_48,-14.770437621789394,-14.770433320627795,-4.301161599329362e-06
gene_49,-35.293152521721254,-37.30403544720777,2.010882925486513
gene_50,-16.38882544423446,-16.388823655029164,-1.7892052959211924e-06
gene_51,-30.202617082358547,-36.06112408992506,5.858507007566512
gene_52,-7.1569508230036405,-7.156949956312353,-8.666912876265087e-07
gene_53,-21.81197034308587,-21.811949675158697,-2.0667927174145007e-05
gene_54,-12.80809818869652,-14.41798795597756,1.6098897672810395
gene_55,-31.023011328524248,-35.52733478295288,4.504323454428629
gene_56,-13.15313416015812,-13.801488713920184,0.648354553762065
gene_57,-27.993717953905758,-31.2196733062434,3.2259553523376425
gene_58,-9.236147640776817,-9.236137950403833,-9.690372984039186e-06
gene_59,-8.459336722487038,-19.810634706654938,11.3512979841679
gene_60,-5.96455031744906,-5.964549280512518,-1.0369365419649057e-06
gene_61,-37.301575549110765,-37.301571041122834,-4.507987931390289e-06
gene_62,-21.50863784789869,-21.508637381815753,-4.66082937577994e-07
gene_63,-31.171713049463577,-31.47449494817177,0.3027818987081936
gene_64,-12.811312330519279,-12.811311205528792,-1.12499048654513e-06
gene_65,-27.12843108286406,-33.979152038448674,6.850720955584613
gene_66,-3.022239597507742,-3.022096846284679,-0.00014275122306273147
gene_67,-33.48096017429825,-35.297466963575516,1.8165067892772697
gene_68,-20.265055814511932,-20.265025369286406,-3.0445225526420927e-05
gene_69,-28.640714836778816,-28.640621055643933,-9.378113488267559e-05
gene_70,-11.072274053353425,-11.095427218713683,0.023153165360257688
gene_71,-15.974358791487525,-33.552140884311584,17.57778209282406
gene_72,-20.7302830819035,-21.916204952316132,1.1859218704126313
gene_73,-29.989186276357852,-34.439272993839424,4.450086717481572
gene_74,-20.549792157123356,-20.549752121535487,-4.0035587868914035e-05
gene_75,-29.85871742209443,-34.48540902059141,4.626691598496983
gene_76,-13.572415861040984,-13.57239709909093,-1.876195005401371e-05
gene_77,-22.013060871611756,-22.012861094086762,-0.0001997775249940048
gene_78,-3.6851445538864525,-3.684592120286748,-0.0005524335997044716
gene_79,-30.381819270803156,-30.381803812288602,-1.5458514553756686e-05
gene_80,-10.141625118831739,-10.14162308093345,-2.037898289231066e-06
gene_81,-30.042775210057,-30.03954611210914,-0.003229097947858861
gene_82,-13.700122991141432,-13.296634084561756,-0.4034889065796765
gene_83,-28.795319179756884,-28.84420145317282,0.04888227341593421
gene_84,-14.761303220251044,-11.738417086658272,-3.022886133592772
gene_85,-30.049146378683503,-40.85360318315041,10.80445680446691
gene_86,-18.396335598164157,-18.395825716471037,-0.000509881693119496
gene_87,-21.5529146829094,-32.05749844412198,10.504583761212583
gene_88,-11.751884386700077,-11.759639144333985,0.007754757633907872
