,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,1.0230239420012772,-3.7182303579147806,4.741254299916058
gene_2,17.99720121597251,17.997202628455433,-1.4124829235129255e-06
gene_3,12.304847082293591,12.162616068390921,0.1422310139026699
gene_4,25.63823828863582,25.63825398939437,-1.5700758552839034e-05
gene_5,28.61490707432307,27.242430302514684,1.3724767718083868
gene_6,35.26626758663933,35.26627128518052,-3.6985411924206346e-06
gene_7,0.5990727276564449,-4.495007290104574,5.094080017761019
gene_8,15.906567128438795,18.39841147639241,-2.4918443479536165
gene_9,8.073264603790761,8.857151860290344,-0.7838872564995825
gene_10,21.370741903207524,23.86405280387275,-2.493310900665225
gene_11,28.769643644387543,23.195427352291958,5.574216292095585
gene_12,36.62271688939701,36.62274701599935,-3.0126602339919373e-05
gene_13,-0.5539327943834778,-5.08944266879999,4.535509874416512
gene_14,15.953126656855172,15.943260191287163,0.00986646556800963
gene_15,8.596507340297492,9.302254552550107,-0.7057472122526143
gene_16,23.44592561663592,23.445936196736113,-1.058010019505673e-05
gene_17,18.270198670496534,11.44736923469651,6.822829435800024
gene_18,30.221403248460856,29.991278232709803,0.23012501575105304
gene_19,0.7142943933235841,-3.1130196674842914,3.8273140608078755
gene_20,13.067735685889403,14.794560779235216,-1.7268250933458127
gene_21,1.5079928854777371,-3.611082878184483,5.11907576366222
gene_22,20.51154123242047,22.374603718523318,-1.863062486102848
gene_23,2.421040784885321,-4.218402427942994,6.639443212828315
gene_24,29.87269440820608,29.872704776407918,-1.036820183841769e-05
gene_25,-0.9633108315991947,-6.268836296523027,5.305525464923832
gene_26,17.38813802530333,16.919306757011455,0.4688312682918756
gene_27,0.7031560457040413,-5.979563837164392,6.682719882868433
gene_28,16.484582325264768,25.035816478737928,-8.55123415347316
gene_29,15.950878459936277,8.759159285736825,7.191719174199452
gene_30,31.412014221975085,31.412015739482804,-1.5175077194840014e-06
gene_31,1.7280586682656782,-2.738809736302837,4.466868404568515
gene_32,21.28447164416457,19.667484656608544,1.6169869875560252
gene_33,4.734405852123658,-1.2296897615756208,5.964095613699278
gene_34,22.90296090800836,22.903105994335846,-0.00014508632748544414
gene_35,14.266232124172792,0.7771527229827164,13.489079401190075
gene_36,29.948401656924034,29.948642961098315,-0.00024130417428125384
gene_37,1.3786487380948422,-8.227820350449413,9.606469088544255
gene_38,15.237196478390615,15.223001470025373,0.01419500836524179
gene_39,8.188752437638211,8.337816964882713,-0.14906452724450148
gene_40,21.091118124406776,21.091882595131732,-0.0007644707249561122
gene_41,20.700567167086067,13.260029469238106,7.440537697847962
gene_42,32.43980544970117,32.414867826631365,0.024937623069803294
gene_43,3.0557673369478557,-9.466026885775374,12.52179422272323
gene_44,18.56477247610087,18.564773281301704,-8.052008340087013e-07
gene_45,11.035924539709725,1.970254919736849,9.065669619972876
gene_46,23.564745844203756,23.518134109909617,0.046611734294138785
gene_47,24.263695117804765,6.953233151013656,17.31046196679111
gene_48,31.08785485117274,31.087857149307393,-2.298134653244688e-06
gene_49,-3.3143345945008136,-6.538035067651819,3.2237004731510055
gene_50,20.30867005588953,20.308694861468318,-2.4805578789255378e-05
gene_51,2.231127254573604,-3.8586108198578586,6.089738074431462
gene_52,25.307909246589325,26.41662269804437,-1.1087134514550456
gene_53,22.616533982077765,3.327218090583475,19.28931589149429
gene_54,33.552069081817265,33.552099701621465,-3.061980419971633e-05
gene_55,2.2051176770764584,-7.678005023285678,9.883122700362136
gene_56,16.378141948739405,16.37825984770817,-0.00011789896876379657
gene_57,6.91280289044688,4.382326715533971,2.530476174912909
gene_58,26.234689312443486,26.2346906855508,-1.3731073131850735e-06
gene_59,29.806420515736242,28.386881446434803,1.4195390693014396
gene_60,37.58011124209843,36.77469767552136,0.805413566577073
gene_61,2.764601985595739,-4.896876600737155,7.661478586332894
gene_62,21.616024364543392,21.616042010401635,-1.7645858243042767e-05
gene_63,4.419488230202937,-2.760782731207037,7.180270961409974
gene_64,23.79507258887598,23.795073156896304,-5.680203258862093e-07
gene_65,13.076105694278255,8.438397550207938,4.6377081440703165
gene_66,33.26609397201925,33.26713999546491,-0.0010460234456601825
gene_67,4.686402705300843,-9.56749231983389,14.253895025134733
gene_68,16.354807818635024,16.354965263342336,-0.00015744470731249294
gene_69,11.693687712805751,1.8392031287720094,9.854484584033742
gene_70,21.51478595450999,21.424082832765855,0.09070312174413431
gene_71,16.533147593364767,16.673791009504114,-0.14064341613934772
gene_72,26.68607302447857,26.654479086851662,0.03159393762690854
gene_73,-1.0630483469393646,-8.979649142863344,7.91660079592398
gene_74,19.707142086430604,18.20160422219867,1.5055378642319326
gene_75,8.833696991679208,5.367067145671889,3.4666298460073186
gene_76,26.851664117975112,28.35004048439081,-1.4983763664156982
gene_77,16.287881942270676,10.241798184808058,6.046083757462618
gene_78,33.55242028000647,32.354894978949055,1.1975253010574178
gene_79,1.0910261542484783,-7.307574263997548,8.398600418246026
gene_80,18.75307403948033,20.808886215683884,-2.0558121762035526
gene_81,2.774396515623053,-5.984704110501319,8.759100626124372
gene_82,24.98162721461663,24.981661531192234,-3.4316575604265154e-05
gene_83,24.92296219569075,23.727738205774635,1.1952239899161157
gene_84,32.344277172178735,35.325665642205706,-2.981388470026971
gene_85,0.7403774198628099,-9.432436225821444,10.172813645684254
gene_86,16.428864641546433,16.429412170500814,-0.0005475289543817041
gene_87,12.164296788424984,3.3415172916154248,8.82277949680956
gene_88,21.279122010695605,21.279217406791968,-9.539609636277646e-05
gene_89,14.580730606548105,17.67597597780341,-3.095245371255306
gene_90,31.51425164246366,31.514383602331918,-0.00013195986825920158
gene_91,1.9685598832917357,-5.869468634761233,7.838028518052969
gene_92,10.915887660172807,10.91616881886739,-0.000281158694583894
gene_93,2.6850355687505676,-5.669779593573942,8.35481516232451
gene_94,16.033571456590213,16.033601889512124,-3.0432921910517052e-05
gene_95,10.520228050547367,7.992051687786322,2.5281763627610445
gene_96,34.666445886222554,34.66646650458039,-2.061835783706556e-05
gene_97,3.556691974184986,-1.7342554781668582,5.290947452351844
gene_98,15.05814204102343,15.0581762177357,-3.417671226912944e-05
gene_99,3.3299674609247703,-0.43883132380446455,3.768798784729235
gene_100,20.118736294843572,20.118747503581133,-1.1208737561219095e-05
gene_101,9.89874374449646,6.083312689464076,3.8154310550323842
gene_102,30.445460730709005,30.44547477723942,-1.4046530413480696e-05
gene_103,0.33029022066547853,-7.857463306065153,8.187753526730631
gene_104,21.080295384197825,21.08029801154518,-2.627347356565224e-06
gene_105,3.9179982228217547,-0.45728578626824756,4.375284009090002
gene_106,24.603946034088494,24.603946625792403,-5.917039089808895e-07
gene_107,18.38360805576086,8.779792695628124,9.603815360132735
gene_108,20.132245685846517,24.13651304947178,-4.004267363625264
gene_109,2.2448493042181106,-5.466816572079875,7.711665876297985
gene_110,16.315555734802725,16.315619298386355,-6.356358363035497e-05
