,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-12.362968225508503,-6.279700383015886,-6.083267842492617
gene_2,98.27993754301468,98.86832453622102,-0.5883869932063419
gene_3,-8.776123080277607,6.530664832908581,-15.306787913186188
gene_4,17.942135665219297,37.29070187650771,-19.348566211288414
gene_5,-1.8895900306274882,11.02445051171777,-12.914040542345258
gene_6,98.15839370057006,98.79528238998277,-0.6368886894127144
gene_7,-7.971043837963691,8.858943105204862,-16.829986943168553
gene_8,98.15839370057006,98.79528238998277,-0.6368886894127144
gene_9,-8.65846844007779,11.08970512090886,-19.74817356098665
gene_10,24.891012739850815,44.96502544678967,-20.074012706938852
gene_11,2.370462282689214,18.52100587206517,-16.150543589375957
gene_12,98.15839370057006,98.79528238998277,-0.6368886894127144
gene_13,-12.663413054976413,5.905291732216973,-18.568704787193386
gene_14,27.828477618177892,47.88663046436545,-20.05815284618756
gene_15,-6.244826306072195,11.753050230794795,-17.99787653686699
gene_16,24.95774283999943,44.96502544679008,-20.00728260679065
gene_17,-6.970457045625189,14.030418661452636,-21.000875707077824
gene_18,98.2111358762885,98.82811053409074,-0.6169746578022455
gene_19,-14.635747241656073,-8.163748603299556,-6.471998638356517
gene_20,98.27993754301468,98.86832453622102,-0.5883869932063419
gene_21,-5.375592928170455,11.60862667946893,-16.984219607639385
gene_22,17.94209760921151,37.29070187639253,-19.348604267181024
gene_23,4.453426752171971,16.49912344552969,-12.04569669335772
gene_24,98.15839370057006,98.79528238998277,-0.6368886894127144
gene_25,-12.946219244854753,-4.846060575053393,-8.10015866980136
gene_26,98.91875642026851,99.29326777434484,-0.37451135407633274
gene_27,-7.749343578826899,4.799424570490331,-12.54876814931723
gene_28,98.27993754301468,98.86832453622102,-0.5883869932063419
gene_29,3.928523739809716,17.985866268010735,-14.05734252820102
gene_30,98.2111358762885,98.82811053409074,-0.6169746578022455
gene_31,-14.900544681102478,-4.2332589640802425,-10.667285717022235
gene_32,31.08163983675702,50.44013447201256,-19.35849463525554
