,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,1.058053120091678,2.432270040364017,-1.3742169202723389
gene_2,3.0434717828409603,17.468163990836224,-14.424692207995264
gene_3,-13.020802165381282,-6.7163311445460785,-6.304471020835203
gene_4,3.688684982243938,18.03711058890741,-14.348425606663472
gene_5,-11.089130169390627,-9.444077573908832,-1.6450525954817952
gene_6,9.503863353301767,25.551286792564746,-16.047423439262978
gene_7,13.171054870513657,14.33162470107656,-1.1605698305629026
gene_8,-0.2454381739686049,12.333174931876506,-12.578613105845111
gene_9,0.5968032637831477,0.05459681441322317,0.5422064493699246
gene_10,2.232527051430761,17.109984362427717,-14.877457310996956
gene_11,-9.937234025576569,-9.77092902433763,-0.1663050012389391
gene_12,9.853617988801012,25.892504736767094,-16.03888674796608
gene_13,-14.368694125429728,-9.034257184420266,-5.3344369410094625
gene_14,7.750527728168741,24.039510060162357,-16.288982331993616
gene_15,-11.34684231139867,-9.96640325357669,-1.3804390578219792
gene_16,12.206695555498591,28.07482530888082,-15.868129753382227
gene_17,-10.44901879347857,-8.082670195413531,-2.3663485980650396
gene_18,9.551532776439501,26.436105847354018,-16.884573070914517
gene_19,-10.077748161363482,-8.238653383855013,-1.8390947775084694
gene_20,3.25105341574049,18.043194291270687,-14.792140875530198
gene_21,-12.86003631893863,-8.30531217063724,-4.554724148301389
gene_22,5.393247446583199,19.527977827780248,-14.134730381197048
gene_23,-8.135099998596367,-5.344635826259992,-2.7904641723363746
gene_24,8.355322745328412,23.47696247350578,-15.121639728177367
gene_25,-15.138371710137452,-7.858393396936826,-7.279978313200626
gene_26,10.196615286442473,24.357877112929415,-14.161261826486943
gene_27,-14.122001233122639,-7.887618592166504,-6.2343826409561345
gene_28,98.61902783575025,99.08523863293459,-0.46621079718434544
gene_29,-16.46363090515841,-9.494300269109761,-6.9693306360486496
gene_30,6.98797034595524,23.261697782964568,-16.273727437009327
gene_31,-16.090078134588957,-9.119039242059394,-6.971038892529563
gene_32,11.709334156721226,27.343600983322546,-15.63426682660132
gene_33,-14.66022511912689,-7.546195129641145,-7.114029989485745
gene_34,17.4386036811508,33.38393256605178,-15.945328884900984
gene_35,-16.589223522882172,-11.2009499955189,-5.388273527363271
gene_36,12.503270258190767,28.561647394929167,-16.0583771367384
gene_37,1.494361013099482,4.486292487837787,-2.991931474738305
gene_38,5.043370451562755,22.56131624507151,-17.517945793508755
gene_39,-11.26568084741226,-8.191786755364678,-3.0738940920475812
gene_40,6.597782439347441,23.769710271968286,-17.171927832620845
gene_41,-6.500956949507287,-5.386238900869934,-1.1147180486373536
gene_42,6.088581803396838,23.636778900304027,-17.548197096907188
gene_43,-13.869125999252338,-6.697836342707674,-7.171289656544664
gene_44,7.913175796256837,25.933833056430757,-18.02065726017392
gene_45,-14.318873336385131,-7.04952874392146,-7.269344592463671
gene_46,11.726169754720573,28.07482530888067,-16.348655554160096
gene_47,-16.281969211543952,-9.144245941858308,-7.137723269685644
gene_48,9.86812070602663,26.373249527749504,-16.505128821722874
gene_49,-16.735686983162093,-8.904000494369892,-7.831686488792201
gene_50,10.219061435031303,26.438482867822398,-16.219421432791094
gene_51,-13.351952126258947,-8.435000120019254,-4.916952006239693
gene_52,11.916875718054875,26.37324952775034,-14.456373809695464
gene_53,-8.97462588957984,4.460369124707274,-13.434995014287114
gene_54,7.3029759148299185,22.95038233538262,-15.647406420552702
gene_55,-15.939971306228266,-9.2669510369833,-6.673020269244965
gene_56,4.874211446784486,21.16242175185691,-16.288210305072425
gene_57,-7.948316154226703,-10.2538164666796,2.3055003124528977
gene_58,16.301822565392698,31.770047351987888,-15.46822478659519
gene_59,-16.306703864686067,-8.981054530476982,-7.325649334209086
gene_60,15.753582516780074,29.983963087317633,-14.230380570537559
gene_61,-14.661351643042423,-8.917936080228703,-5.74341556281372
gene_62,8.781288456488411,26.0356306891966,-17.25434223270819
gene_63,-11.548240164200594,-9.19477346130165,-2.3534667028989436
gene_64,7.082429326286146,26.3732495277522,-19.290820201466055
gene_65,-12.176166076505204,1.9656701607162077,-14.141836237221412
gene_66,14.987417736683568,31.770047351987806,-16.782629615304238
gene_67,-11.624196925017088,-9.89025996410825,-1.7339369609088386
gene_68,6.0327490531492245,22.643383056472203,-16.61063400332298
gene_69,-6.360486733273067,-10.620525626307021,4.260038893033954
gene_70,10.383133688508018,26.43610584708687,-16.052972158578854
gene_71,-8.313647394541707,-0.20066730692088086,-8.112980087620826
gene_72,14.354235563676504,30.415232141336617,-16.060996577660113
