,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-19.997166053153386,-25.914148988940493,5.916982935787107
gene_2,16.18010432496382,16.180035159444554,6.916551926750003e-05
gene_3,-25.79307368474373,-25.76741980678983,-0.02565387795389995
gene_4,25.298464178376083,28.597185788222262,-3.2987216098461793
gene_5,-25.567671746950765,-34.01385613667737,8.446184389726604
gene_6,22.683154088953437,22.683220439068833,-6.635011539657398e-05
gene_7,-24.186695569728617,-29.01463920487541,4.827943635146795
gene_8,16.14534142798999,16.14537817694987,-3.674895987870741e-05
gene_9,-19.967017860160716,-26.214717882083463,6.247700021922746
gene_10,17.888032383267603,17.888066590487067,-3.420721946412186e-05
gene_11,-22.635930496282818,-28.127508661046,5.491578164763183
gene_12,24.441250408604127,24.402628927984907,0.038621480619219994
gene_13,-27.29554993465484,-29.79166472317577,2.4961147885209307
gene_14,15.778825991737602,15.77885620697904,-3.0215241437758777e-05
gene_15,-19.967172986348608,-25.85992340608519,5.892750419736583
gene_16,23.848014023613267,23.848370453299122,-0.00035642968585491985
gene_17,-21.567125921430822,-23.48998601440777,1.922860092976947
gene_18,28.460322839871317,28.46034362611963,-2.0786248313697797e-05
gene_19,-30.51510013454205,-29.532474987611018,-0.9826251469310314
gene_20,21.5021696596328,17.636028129363755,3.8661415302690436
gene_21,-24.558147282967017,-25.539109092027594,0.9809618090605774
gene_22,24.410244770061034,21.846177042249504,2.56406772781153
gene_23,-24.74615924799607,-35.50451523739501,10.758355989398943
gene_24,28.193205403435954,26.715830025197597,1.4773753782383565
gene_25,-26.58278099443136,-26.58278088698938,-1.074419806457172e-07
gene_26,17.783946898673015,17.783950190667785,-3.291994769227813e-06
gene_27,-27.163827827983397,-32.84930809240181,5.685480264418416
gene_28,25.13900234457597,25.139041808637934,-3.94640619632014e-05
gene_29,-23.982351575900175,-32.69266226972724,8.710310693827068
gene_30,27.22376125078832,27.299575626644074,-0.07581437585575301
gene_31,-25.49885215583155,-25.44124185459823,-0.05761030123332134
gene_32,12.535140852910395,12.535140926963386,-7.405299129459308e-08
gene_33,-22.648119058526724,-25.121032701735164,2.4729136432084395
gene_34,17.351696433375082,17.245076478641266,0.1066199547338158
gene_35,-23.978101112365174,-26.867421680415585,2.8893205680504117
gene_36,19.443424649160193,19.443425429725956,-7.805657631365648e-07
gene_37,-25.822920934956002,-25.275511922131017,-0.5474090128249856
gene_38,19.009598917069383,19.009835332218934,-0.0002364151495513056
gene_39,-22.555517594029478,-28.301052319366487,5.745534725337009
gene_40,23.238994098054754,23.239095185385548,-0.00010108733079405852
gene_41,-15.131205353135542,-30.400833221672823,15.269627868537281
gene_42,27.347162754689045,27.06251638042582,0.28464637426322525
gene_43,-25.2653111634268,-25.26531106128057,-1.0214623102910991e-07
gene_44,15.106938488473443,15.106947372135728,-8.883662285796845e-06
gene_45,-27.537556689760567,-32.44995597294282,4.91239928318225
gene_46,18.015052263216138,17.720601600391117,0.29445066282502097
gene_47,-28.195146561639362,-33.7552649610692,5.5601183994298395
gene_48,21.018833493948577,23.262948024743174,-2.2441145307945973
gene_49,-14.371345332530053,-21.979304719701947,7.607959387171894
gene_50,20.137804782424624,20.137897868981916,-9.308655729256543e-05
gene_51,-29.72108525436677,-29.009607909676284,-0.7114773446904863
gene_52,13.836589408722439,13.540789725662282,0.2957996830601566
gene_53,-30.507639423982152,-33.991313106384936,3.4836736824027845
gene_54,21.904833111318645,20.91092597190795,0.9939071394106946
gene_55,-32.12133053252956,-36.701554416952504,4.580223884422942
gene_56,18.292894250888956,18.292922345837223,-2.8094948266499387e-05
gene_57,-31.35138573551588,-34.2136568026049,2.862271067089022
gene_58,23.394974674409365,23.395071286186816,-9.661177745101668e-05
gene_59,-30.990905482804354,-35.35625494482716,4.365349462022802
gene_60,28.453715025906778,28.4537283699919,-1.33440851222133e-05
gene_61,-28.282525102419672,-29.038233684996758,0.7557085825770855
gene_62,22.798990227118388,22.798926337947147,6.388917124056093e-05
gene_63,-25.78048019597535,-27.382437674185688,1.6019574782103376
gene_64,25.720428442775443,25.36725886120273,0.3531695815727147
gene_65,-24.663423132025333,-30.716209676521466,6.052786544496133
gene_66,29.107714476700956,29.10796301178409,-0.0002485350831342714
gene_67,-26.52517384001615,-26.70587473314634,0.1807008931301901
gene_68,20.842100033523142,20.842130043041703,-3.0009518560802917e-05
gene_69,-22.865118783763652,-32.655983642800756,9.790864859037104
