,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-122.12438906832573,-124.69124879652867,2.5668597282029424
gene_2,-136.21785598046276,-136.1996046411407,-0.01825133932206313
gene_3,-126.30777972753495,-137.44796841651876,11.140188688983812
gene_4,-144.13430935399435,-144.1131007722011,-0.02120858179324614
gene_5,-165.01012256347192,-170.9276442853592,5.917521721887283
gene_6,-173.56676994452093,-173.42949152205847,-0.13727842246245814
gene_7,-109.36041641729977,-109.35889433075673,-0.0015220865430478625
gene_8,-117.02632602450976,-117.0104003042153,-0.0159257202944616
gene_9,-134.105911873167,-141.3060364131408,7.200124539973785
gene_10,-141.45717806817785,-142.35300889155738,0.8958308233795265
gene_11,-161.61485469655508,-242.25525091592945,80.64039621937437
gene_12,-187.04742034315123,-186.96603693774998,-0.08138340540125455
gene_13,-117.69216913379111,-117.67069979651959,-0.021469337271526
gene_14,-122.5319661805003,-122.44855648647692,-0.08340969402338771
gene_15,-120.7889837349959,-131.22594766256282,10.436963927566921
gene_16,-123.91646529261303,-124.04909105323675,0.1326257606237249
gene_17,-168.6444766483915,-236.09037710163645,67.44590045324495
gene_18,-196.69439516143805,-196.64632733908016,-0.04806782235789342
gene_19,-127.03336106307682,-133.8798976287993,6.846536565722488
gene_20,-132.7496200409909,-132.68054673100644,-0.0690733099844465
gene_21,-130.89198931980172,-135.73807928384775,4.84608996404603
gene_22,-133.24875723318613,-133.16294286574498,-0.08581436744114512
gene_23,-177.6838605623519,-211.42529175487974,33.74143119252784
gene_24,-189.71133264680347,-190.92621702965522,1.21488438285175
gene_25,-132.76252713634136,-132.77159652335905,0.009069387017689223
gene_26,-146.10880229934352,-143.23616887946682,-2.8726334198767063
gene_27,-130.0057962548711,-129.9879168842851,-0.01787937058597322
gene_28,-136.66564972835738,-137.86315769177133,1.1975079634139547
gene_29,-174.24455026891766,-174.66584902317896,0.4212987542613007
gene_30,-182.70240109245773,-181.67516949498844,-1.0272315974692958
gene_31,-126.01912815458665,-126.13135930042961,0.11223114584295502
gene_32,-131.4089094689722,-131.3224942245483,-0.08641524442390391
gene_33,-130.1418710738909,-147.54912305344655,17.40725197955564
gene_34,-142.05202383350343,-142.0003672185619,-0.051656614941521184
gene_35,-140.67179537326788,-168.82761079831084,28.15581542504296
gene_36,-173.103226300249,-173.01682364603403,-0.08640265421496451
gene_37,-120.2759874508313,-117.53555914889928,-2.7404283019320133
gene_38,-127.74616394304826,-127.68827887316809,-0.057885069880171613
gene_39,-130.45066451747613,-134.06064656388398,3.6099820464078505
gene_40,-147.78476620762115,-147.71276242891068,-0.07200377871046726
gene_41,-135.02213082322973,-150.46147399500492,15.439343171775192
gene_42,-147.53111263241658,-147.298074620466,-0.23303801195058327
gene_43,-116.12351666018033,-124.90202451956078,8.778507859380454
gene_44,-121.40033155662506,-121.41162924513596,0.011297688510893522
gene_45,-107.70335580336014,-116.36672797786896,8.663372174508822
gene_46,-113.6104143612753,-113.47557956453689,-0.13483479673841714
gene_47,-177.14537029412529,-248.7799639843288,71.6345936902035
gene_48,-208.46171347188903,-208.38424697242698,-0.07746649946204798
gene_49,-130.47179942384102,-138.01740574367597,7.5456063198349455
gene_50,-157.92973712600667,-157.96238966828406,0.032652542277389784
gene_51,-137.32583176593138,-146.8482586743802,9.522426908448807
gene_52,-148.61148565869394,-148.39839483306136,-0.21309082563257675
gene_53,-175.00944593122065,-173.33414711670227,-1.675298814518385
gene_54,-181.67268640665023,-184.45007075166816,2.7773843450179356
gene_55,-127.94189534760366,-164.6267548403765,36.68485949277283
gene_56,-150.79482500316686,-152.24881969596058,1.4539946927937137
gene_57,-130.12086336172138,-144.77737402736773,14.656510665646351
gene_58,-146.5555828698909,-146.35976601979783,-0.19581685009308103
gene_59,-148.57780797293296,-176.7869563124164,28.20914833948345
gene_60,-165.65216332469217,-165.32759475034177,-0.3245685743503941
gene_61,-131.94077596524298,-136.44612897640238,4.5053530111594
gene_62,-155.98440302279442,-155.94213454060653,-0.04226848218789314
gene_63,-129.38169922957977,-134.7621483908029,5.38044916122314
