,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-121.15305000306667,-135.56316131092768,14.410111307861015
gene_2,-108.84963935033505,-107.72596259838473,-1.1236767519503275
gene_3,-141.36811366812586,-141.9160545540314,0.5479408859055468
gene_4,-104.85158268723782,-104.1389732104799,-0.712609476757919
gene_5,-159.87829165714595,-164.73425462431746,4.855962967171507
gene_6,-130.77102458864826,-128.58072523446526,-2.190299354182997
gene_7,-151.13388646835782,-159.8106928259349,8.676806357577078
gene_8,-146.70898176780406,-148.10250095220752,1.3935191844034591
gene_9,-151.26724961112174,-158.9727268871354,7.705477276013653
gene_10,-134.4058603036895,-135.6100197194161,1.2041594157265934
gene_11,-157.11627391155736,-176.4366607173972,19.32038680583983
gene_12,-129.55620877706377,-129.57135074516827,0.015141968104501302
gene_13,-143.05890005014223,-148.61046329168911,5.551563241546887
gene_14,-128.22523633477482,-127.70243275044831,-0.5228035843265104
gene_15,-148.4580030947829,-158.89679666042295,10.438793565640054
gene_16,-132.9792007150558,-130.77489958557155,-2.2043011294842643
gene_17,-153.33871122655478,-156.40578931974952,3.0670780931947377
gene_18,-124.28242694731915,-122.75386548645118,-1.5285614608679765
gene_19,-112.89269010207308,-127.76375749980892,14.871067397735843
gene_20,-98.38577202563505,-98.33978165120214,-0.04599037443290399
gene_21,-130.250547523827,-139.44432175813097,9.193774234303959
gene_22,-106.50918455987015,-106.02646250043087,-0.4827220594392827
gene_23,-153.57806977550243,-196.53230459483413,42.9542348193317
gene_24,-126.35496986630544,-124.73036830029923,-1.6246015660062056
gene_25,-113.51611213193377,-152.70740121774145,39.19128908580768
gene_26,-90.44770323844546,-90.64272553922048,0.19502230077502247
gene_27,-125.84745180445732,-135.7908769915936,9.94342518713627
gene_28,-102.21484982084702,-101.78175231423724,-0.4330975066097835
gene_29,-137.74813806424334,-164.9200001743517,27.17186211010838
gene_30,-107.81580613158728,-108.09225705447479,0.2764509228875056
gene_31,-132.49972425648434,-148.84176867117887,16.342044414694527
gene_32,-110.63149066444265,-109.70130203928234,-0.9301886251603122
gene_33,-129.44960314337533,-156.51933423386816,27.069731090492837
