,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-36.029162580485384,-46.156134730392125,10.126972149906742
gene_2,-74.90470306980055,-74.90465421717708,-4.885262346476793e-05
gene_3,-44.286569219262624,-48.4014181487871,4.114848929524477
gene_4,-72.92558897395003,-72.26229191684979,-0.6632970571002375
gene_5,-65.6016541645752,-98.13606927214659,32.53441510757139
gene_6,-88.38945303920728,-88.38940927524769,-4.376395959582169e-05
gene_7,-26.689130568924742,-31.171076276115116,4.481945707190373
gene_8,-67.16179879134698,-67.16127801828804,-0.000520773058937607
gene_9,-48.18311487873227,-67.13940841481374,18.956293536081475
gene_10,-87.02727016942895,-87.0272179796736,-5.218975535115078e-05
gene_11,-64.19299145986298,-89.67363731443689,25.480645854573908
gene_12,-85.68275436306509,-85.68009457339446,-0.00265978967063063
gene_13,-45.77914350971755,-56.383466557007225,10.604323047289675
gene_14,-100.60198708067283,-101.46863875782624,0.8666516771534134
gene_15,-51.279700353968664,-66.14481843703471,14.86511808306605
gene_16,-91.65486477122836,-91.7510566947132,0.09619192348483807
gene_17,-53.3969744161094,-70.61029249771903,17.21331808160963
gene_18,-85.88722420166312,-85.45011755202033,-0.4371066496427858
gene_19,-40.01669235620409,-63.94411789380353,23.92742553759944
gene_20,-78.17220785896005,-78.17215462680292,-5.323215712849105e-05
gene_21,-45.86287082147912,-47.67419137969806,1.811320558218938
gene_22,-67.70565800171792,-67.70542662656453,-0.00023137515339044512
gene_23,-63.95055033223167,-100.10474985314536,36.15419952091369
gene_24,-78.74059715259534,-78.74154692564795,0.0009497730526106807
gene_25,-37.0724955223096,-39.72789479801813,2.6553992757085254
gene_26,-68.40259627244168,-68.40246286004871,-0.0001334123929694897
gene_27,-49.14048390453898,-52.97432727605836,3.8338433715193787
gene_28,-66.31220252830242,-66.64425210167454,0.3320495733721174
gene_29,-55.62931467541917,-61.3596815963343,5.730366920915131
gene_30,-84.77545664069861,-85.35415465075158,0.5786980100529746
gene_31,-40.328846602638585,-49.374752276290344,9.04590567365176
gene_32,-83.6918294124926,-84.19732680192625,0.505497389433657
gene_33,-45.947271398579275,-46.59605226840266,0.6487808698233835
