,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-52.23166265780331,-100.31720692348262,48.0855442656793
gene_2,-56.52061103499197,-53.96502273342549,-2.5555883015664804
gene_3,-58.23932916788536,-107.98246506198608,49.74313589410072
gene_4,-56.886580428893076,-54.522029272141125,-2.3645511567519506
gene_5,-66.35456871239558,-75.96061097761368,9.606042265218107
gene_6,-67.79193320043473,-65.48314801839203,-2.3087851820426977
gene_7,-52.057338603572475,-91.08990304361498,39.032564440042506
gene_8,-54.056120638245574,-51.112595945650774,-2.9435246925947993
gene_9,-58.04179692594752,-97.37225498649437,39.330458060546846
gene_10,-54.24673346705234,-52.618709187351726,-1.628024279700611
gene_11,-109.11923316840155,-276.1688856104,167.0496524419985
gene_12,-86.56292481780773,-85.47455052196676,-1.0883742958409641
gene_13,-51.79276782862951,-94.65878531420405,42.866017485574545
gene_14,-53.56783495995587,-51.04458547376905,-2.5232494861868204
gene_15,-51.25935306028015,-125.64369312529,74.38434006500985
gene_16,-53.45968599149167,-50.90616968342112,-2.5535163080705487
gene_17,-59.04575776189843,-70.56317375204095,11.517415990142524
gene_18,-71.78405176996836,-52.65767652565728,-19.126375244311077
gene_19,-51.28396730612056,-104.1292650525588,52.845297746438234
gene_20,-54.646691290728405,-52.82883037069092,-1.8178609200374822
gene_21,-52.866870287437365,-88.27566655924716,35.40879627180979
gene_22,-69.89502775509311,-52.76493592052783,-17.130091834565278
gene_23,-52.613973127360794,-179.1303874989299,126.51641437156911
gene_24,-58.841027967539056,-56.67427875423388,-2.166749213305174
gene_25,-54.13316213245645,-95.11724331517975,40.9840811827233
gene_26,-57.324676852953175,-54.77238383980463,-2.5522930131485424
gene_27,-52.84473198129621,-87.13670286591532,34.29197088461911
gene_28,-309023.9626876372,-93.99540013312617,-308929.96728750406
gene_29,-55.98860739279522,-82.00137212058829,26.01276472779307
gene_30,-57.70101830033483,-55.205120986771774,-2.4958973135630558
gene_31,-51.65539481986114,-93.09821681631738,41.44282199645624
gene_32,-52.30829121241508,-52.30811332815316,-0.00017788426191600593
gene_33,-56.22309271462829,-77.5614458705169,21.33835315588862
gene_34,-54.758356694438184,-51.99327125665424,-2.765085437783945
gene_35,-57.48009292967694,-64.37036707364908,6.890274143972135
gene_36,-54.66143807829981,-52.4985221795268,-2.162915898773008
gene_37,-61.50460017863633,-100.43148231434488,38.926882135708546
gene_38,-56.42644891388182,-54.176747533249205,-2.249701380632615
gene_39,-62.42251104126288,-81.37349369977919,18.95098265851631
gene_40,-57.20886540039291,-54.71885941876414,-2.4900059816287694
gene_41,-71.28506697434567,-96.11638446724331,24.83131749289764
gene_42,-67.77265621701221,-59.23603141412044,-8.536624802891772
gene_43,-51.791209192808886,-103.87499121091136,52.083782018102475
gene_44,-56.333159164839,-53.92947805960631,-2.4036811052326925
gene_45,-61.00364041462293,-65.7952218517481,4.791581437125167
gene_46,-56.578513931092274,-54.18734838068913,-2.3911655504031444
gene_47,-69.51944382127094,-85.45237451800838,15.932930696737444
gene_48,-84.38317822518705,-62.79124133614632,-21.59193688904073
gene_49,-55.61315812544219,-77.73135253730771,22.118194411865524
