,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-33.61986573798929,-53.96520110908009,20.345335371090805
gene_2,-51.496110602672466,-49.99377967915292,-1.5023309235195441
gene_3,-45.86328345035029,-48.56943441571003,2.7061509653597398
gene_4,-52.882283292891906,-51.20087044717751,-1.681412845714398
gene_5,-65.96171333139685,-83.30181646959677,17.34010313819992
gene_6,-62.12370966674044,-59.95929004087956,-2.16441962586088
gene_7,-43.87234187879555,-61.078827082452655,17.206485203657103
gene_8,-61.86606922758259,-59.856972064513265,-2.0090971630693275
gene_9,-38.33617035846049,-62.34096182485981,24.00479146639932
gene_10,-54.75356620475854,-53.175242262313084,-1.5783239424454578
gene_11,-63.81205249625245,-78.86609669739575,15.054044201143299
gene_12,-57.48639442016242,-55.50359398588698,-1.9828004342754397
gene_13,-33.498674955339375,-37.010096004413214,3.5114210490738387
gene_14,-51.153045667385726,-49.74935460778683,-1.4036910595988985
gene_15,-31.45252535174769,-43.664375166357814,12.211849814610126
gene_16,-47.34654990015066,-46.153161540250686,-1.193388359899977
gene_17,-41.73673544814592,-43.98051400352733,2.243778555381411
gene_18,-53.969048320456615,-46.784098670600734,-7.184949649855881
gene_19,-48.61348352940249,-49.82902240968512,1.2155388802826366
gene_20,-60.73714567352575,-59.282319146342104,-1.4548265271836485
gene_21,-48.53047822947959,-53.763531085057025,5.233052855577434
gene_22,-58.0092282124774,-56.590248681930106,-1.418979530547297
gene_23,-70.80567074480159,-124.6853366870085,53.87966594220691
gene_24,-59.93365261197952,-57.925473364884894,-2.008179247094624
gene_25,-35.81576689635553,-38.53614806935177,2.720381172996241
gene_26,-64.08508557614968,-62.182550533292805,-1.9025350428568757
gene_27,-44.325018321007725,-79.73905296265328,35.41403464164555
gene_28,-68.02516378880895,-65.49867943893769,-2.526484349871268
gene_29,-57.304650630985506,-104.34967225818303,47.04502162719753
gene_30,-65.66605484844837,-65.34147148116804,-0.3245833672803258
gene_31,-34.76625731614876,-36.073049903115745,1.306792586966985
gene_32,-49.60256545004898,-47.32608663417213,-2.2764788158768496
gene_33,-42.34808634575626,-50.31859837511275,7.970512029356492
gene_34,-57.48928663190964,-49.870653527715106,-7.6186331041945365
gene_35,-51.862292987887024,-61.79337078225224,9.931077794365216
gene_36,-61.376578633188636,-59.306772037498504,-2.0698065956901317
gene_37,-34.75335050951294,-41.42691015995654,6.6735596504436
gene_38,-56.22502772082824,-54.356408249775875,-1.8686194710523623
gene_39,-38.169390308031595,-65.769621222195,27.600230914163404
gene_40,-56.07546767158962,-54.48603177101977,-1.5894359005698533
gene_41,-44.17121184347617,-145.74255374825114,101.57134190477497
gene_42,-63.193798214519894,-61.060986534911024,-2.1328116796088707
gene_43,-30.247348008602653,-30.59970560529615,0.35235759669349775
gene_44,-54.93316183702403,-53.269716865895056,-1.6634449711289747
gene_45,-49.68736300165741,-70.44743370281651,20.7600707011591
gene_46,-69.1381357061391,-67.2058958280272,-1.9322398781119006
gene_47,-67.09110314546639,-84.2668075097909,17.175704364324503
gene_48,-67.54107490763998,-65.48596229076922,-2.0551126168707583
gene_49,-30.50414151378631,-44.340365152330875,13.836223638544567
gene_50,-43.027432247373916,-41.80037065099316,-1.2270615963807572
gene_51,-44.3566248679856,-55.41712420886958,11.060499340883979
gene_52,-68.02910049665962,-65.82556787443184,-2.203532622227783
gene_53,-62.08230880932022,-72.34468658584339,10.262377776523174
gene_54,-67.40240915269464,-65.0685595008472,-2.3338496518474443
gene_55,-50.603682091974015,-60.36246668567544,9.758784593701428
gene_56,-77.6532650351112,-74.32994795420663,-3.323317080904573
gene_57,-50.00934821391367,-58.44638446820463,8.437036254290959
gene_58,-70.12416032485889,-67.24437157435621,-2.8797887505026836
gene_59,-80.58147674471644,-83.67661535309584,3.0951386083794006
gene_60,-68.48873299896657,-65.97186319951095,-2.5168697994556197
gene_61,-39.66744674837527,-43.16151247853145,3.49406573015618
gene_62,-62.26728869797619,-60.3116526547442,-1.9556360432319906
gene_63,-41.35549842156898,-46.28267100099985,4.9271725794308665
gene_64,-57.693082861279926,-55.67662420639821,-2.016458654881717
gene_65,-71.73078768502141,-90.84464673796502,19.11385905294361
gene_66,-58.10888057094974,-56.16633942757856,-1.942541143371173
gene_67,-32.27290389963869,-38.588912428987996,6.316008529349304
gene_68,-60.66775518694747,-58.47393937432912,-2.1938158126183467
gene_69,-46.1318758372956,-86.14479314974469,40.01291731244908
gene_70,-65.3414837029346,-63.1441939948052,-2.1972897081293965
gene_71,-60.52727146225195,-78.27593921929116,17.748667757039208
gene_72,-64.80171211251172,-62.49384529470181,-2.3078668178099093
gene_73,-50.03146631720733,-51.33298623961354,1.3015199224062073
gene_74,-60.89849977909806,-59.179503714139294,-1.7189960649587661
gene_75,-51.74631268528343,-52.71959947229455,0.9732867870111193
gene_76,-64.02288167091686,-61.49523389814235,-2.5276477727745075
gene_77,-49.769731424263895,-52.105180764859234,2.335449340595339
gene_78,-60.37750701760349,-58.301906233078654,-2.0756007845248376
gene_79,-38.244550404124595,-40.57908437275337,2.334533968628776
gene_80,-57.239240385848085,-55.5920110566791,-1.6472293291689866
gene_81,-41.32807436989189,-50.40167988949563,9.073605519603746
gene_82,-59.16387978561346,-57.063425927968076,-2.100453857645384
gene_83,-69.84600404135419,-93.80872162628987,23.962717584935675
gene_84,-64.871376104823,-62.30633373016124,-2.5650423746617577
gene_85,-24.084983549629225,-24.351363322474448,0.2663797728452231
gene_86,-50.59436059264537,-48.94107107282801,-1.6532895198173634
gene_87,-41.15998225407914,-48.7718333177655,7.611851063686359
gene_88,-67.84373804592833,-65.43264697107999,-2.4110910748483434
gene_89,-71.31909291685177,-73.31930339087262,2.0002104740208466
gene_90,-64.42527019548201,-62.02164807590134,-2.4036221195806746
gene_91,-32.20985391757142,-38.85372158097187,6.643867663400449
gene_92,-68.36890977010579,-66.36848273650165,-2.00042703360414
gene_93,-49.249273685606546,-68.49980575397568,19.250532068369132
gene_94,-71.89188788490543,-68.92269147865866,-2.969196406246766
gene_95,-51.04546591857951,-75.65458169347536,24.609115774895855
gene_96,-67.47941343432586,-64.76436813053228,-2.7150453037935875
gene_97,-41.40699331391866,-44.026865378099224,2.619872064180562
gene_98,-61.19950855248653,-59.28129804229714,-1.9182105101893896
gene_99,-42.02357486605303,-43.8524789938859,1.828904127832871
gene_100,-56.449756523821904,-54.70603534132237,-1.7437211824995345
gene_101,-47.5573070029008,-50.44815049484527,2.890843491944473
gene_102,-59.59990494682582,-57.39447372938214,-2.2054312174436816
gene_103,-25.97758056002015,-34.73751199207093,8.759931432050777
gene_104,-40.511965141808446,-39.494618917245724,-1.017346224562722
gene_105,-23.927129230199373,-28.32415775076887,4.397028520569496
gene_106,-39.93666352418211,-39.00340211325067,-0.9332614109314363
gene_107,-31.06019527979941,-52.23807821100016,21.17788293120075
gene_108,-50.90226797888804,-49.443750921115765,-1.4585170577722764
gene_109,-38.574273274842554,-46.03781601308012,7.463542738237564
gene_110,-61.9556742079232,-60.13467552108713,-1.8209986868360701
gene_111,-42.406413414633114,-293.3192186793845,250.9128052647514
gene_112,-70.73519182144703,-67.93761505285964,-2.7975767685873905
gene_113,-43.02848373914839,-51.47964194650065,8.451158207352258
gene_114,-68.96574622795718,-66.37132664797943,-2.594419579977753
gene_115,-43.05295469806198,-51.88560990862802,8.832655210566038
gene_116,-61.48666673593401,-59.41817230889604,-2.068494427037969
gene_117,-75.02368207366646,-102.42414896199801,27.40046688833155
gene_118,-66.4996601017209,-59.16640858839274,-7.333251513328165
gene_119,-44.4822667818432,-60.408138453925986,15.925871672082785
gene_120,-70.64246796873915,-68.01294921084886,-2.6295187578902954
gene_121,-41.78318147635005,-146.31837672183795,104.5351952454879
gene_122,-69.44485982946964,-66.76925533887345,-2.6756044905961858
gene_123,-84.63500754731855,-108.67450219318353,24.039494645864977
gene_124,-70.73214553185666,-67.8183304845684,-2.913815047288253
gene_125,-45.08588583682199,-69.553185060576,24.46729922375401
gene_126,-74.54074943901301,-71.55845542568022,-2.9822940133327904
gene_127,-42.39076851880256,-150.9028071467498,108.51203862794725
gene_128,-66.94564891029499,-64.71717915017724,-2.228469760117747
gene_129,-47.50431856287146,-126.68312030225893,79.17880173938747
gene_130,-67.7747635658781,-64.1045834416038,-3.67018012427431
gene_131,-25.81041675162554,-26.150752933023533,0.34033618139799415
gene_132,-51.788722786637166,-50.428664708625774,-1.3600580780113916
gene_133,-35.68611936312476,-36.99048967020674,1.3043703070819817
gene_134,-53.36318274377757,-51.890015579219096,-1.4731671645584754
gene_135,-42.0972274117721,-46.797223771565356,4.6999963597932535
gene_136,-62.11566559838543,-57.17061099540368,-4.945054602981749
gene_137,-64.70770925610913,-76.97797993189756,12.270270675788439
gene_138,-70.34454241536304,-66.383643893892,-3.9608985214710373
gene_139,-59.347665660915744,-98.93840267594274,39.590737015026995
gene_140,-64.64919744748674,-62.19631033056186,-2.4528871169248845
gene_141,-52.348911039573736,-106.47389550566788,54.12498446609415
gene_142,-62.007411798114305,-59.68766189683585,-2.319749901278456
gene_143,-40.731230215969596,-52.99129263645719,12.260062420487593
gene_144,-66.77043931502638,-64.53298073867052,-2.2374585763558628
gene_145,-48.71635636164504,-57.07135676108212,8.355000399437081
gene_146,-64.22992517276032,-61.932098189379886,-2.297826983380432
