,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-1161.0650438773007,-3035.638550590036,1874.5735067127355
gene_2,-1750.0933388113008,-2308.339704015016,558.2463652037154
gene_3,-1245.8938256803349,-3436.100372417589,2190.206546737254
gene_4,-1725.2221576485267,-2302.7226414657566,577.5004838172299
gene_5,-3032.043886186959,-9414.853621386454,6382.809735199495
gene_6,-5845.604987815651,-6916.180672952103,1070.5756851364522
gene_7,-463.9653120866478,-682.3516483736905,218.3863362870427
gene_8,-735.7621516299803,-849.5350918670225,113.77294023704223
gene_9,-3215.850489459944,-8921.796560397768,5705.946070937824
gene_10,-1832.5172673235547,-2599.7136398617768,767.196372538222
gene_11,-3548.309009622446,-54766.42392549169,51218.11491586924
gene_12,-21882.501405823972,-28482.69553055595,6600.194124731977
gene_13,-1162.6688994940191,-1364.5334799075647,201.86458041354558
gene_14,-541.4076632392174,-611.2473061252252,69.83964288600782
gene_15,-595.7296259557456,-2673.1541714581526,2077.424545502407
gene_16,-333.81378293427304,-486.621064429023,152.80728149475
gene_17,-36248.406079175074,-315195.4380886784,278947.03200950334
gene_18,-37801.04490299411,-43306.68764142839,5505.642738434282
gene_19,-3797.769303205882,-9740.006761144961,5942.23745793908
gene_20,-864.5578090184129,-1000.8008878845369,136.24307886612405
gene_21,-1751.6115682474197,-3994.4444254823247,2242.832857234905
gene_22,-557.0725044616988,-839.5516543952928,282.47914993359393
gene_23,-29667.78751612824,-179063.37472013847,149395.58720401023
gene_24,-7741.516958435165,-16287.397703429275,8545.880744994109
gene_25,-2561.153677068796,-5169.707315733871,2608.553638665075
gene_26,-1283.1172761920598,-2087.515551610444,804.3982754183844
gene_27,-1914.51235343292,-2872.289542543963,957.7771891110428
gene_28,-741.8912064132875,-1386.2551283733185,644.363921960031
gene_29,-5702.033778901421,-11691.661976285634,5989.628197384212
gene_30,-3493.5588728367984,-9947.98679267791,6454.427919841111
gene_31,-992.09476521845,-3135.9815010431134,2143.8867358246634
gene_32,-1136.134863323789,-1349.8532594066685,213.7183960828795
gene_33,-1074.403969719774,-8997.691068763164,7923.28709904339
gene_34,-1633.0589916812874,-1868.9947943938296,235.93580271254223
gene_35,-15660.461537993086,-45313.0528159156,29652.59127792252
gene_36,-8611.17204389437,-9518.545526159214,907.3734822648439
gene_37,-1314.0565633854676,-2028.8302709706193,714.7737075851517
gene_38,-873.1431312457619,-936.4828568630813,63.33972561731946
gene_39,-3137.8596214293448,-8505.477198511537,5367.617577082192
gene_40,-2913.2129777920727,-3122.186124754136,208.9731469620633
gene_41,-811.3775434838726,-3081.198934267967,2269.8213907840945
gene_42,-1367.2879796611523,-1611.3439940195142,244.05601435836184
gene_43,-488.607464606346,-1656.0006653975704,1167.3932007912244
gene_44,-498.89434271693045,-534.2587036402579,35.36436092332741
gene_45,-275.43723178336353,-755.1792386566991,479.7420068733356
