,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-39.848509326294476,-40.60705933087931,0.7585500045848335
gene_2,-40.131108965828744,-40.13108965761104,-1.9308217702018737e-05
gene_3,-39.00018361499518,-39.00012465127135,-5.896372383062953e-05
gene_4,-40.22770114181707,-40.22765756181498,-4.358000209236934e-05
gene_5,-40.11187416788909,-40.11186284853189,-1.1319357199113256e-05
gene_6,-41.19778451657486,-41.19768043571876,-0.00010408085610436046
gene_7,-43.17722777307477,-42.19902294602292,-0.9782048270518473
gene_8,-40.585176425265516,-40.585071331448574,-0.00010509381694134845
gene_9,-39.801292112583575,-39.80127518439134,-1.6928192231091543e-05
gene_10,-40.303284825813606,-40.30316607561524,-0.00011875019836793399
gene_11,-40.593637205535146,-40.5935236453035,-0.00011356023164665885
gene_12,-41.189267263813235,-41.18910833588798,-0.00015892792525562527
gene_13,-40.595766199779995,-41.71482816168068,1.1190619619006839
gene_14,-40.267886284863735,-40.26787182073771,-1.4464126024904544e-05
gene_15,-39.63080697384305,-39.63076151998879,-4.545385426268922e-05
gene_16,-40.138042984521825,-40.13803406499619,-8.919525633643843e-06
gene_17,-40.808735933488705,-40.83490691092763,0.02617097743892316
gene_18,-41.12658372050423,-41.12655324163795,-3.04788662788269e-05
gene_19,-40.37165019521237,-40.87974327711718,0.5080930819048106
gene_20,-40.43163527707846,-40.43162422955506,-1.1047523400975479e-05
gene_21,-40.737576048117916,-41.380546687326714,0.6429706392087979
gene_22,-40.36003441077948,-40.36002351007295,-1.0900706527650073e-05
gene_23,-43.335325426016425,-45.12383764314318,1.7885122171267582
gene_24,-41.84385741184783,-41.84374675915184,-0.0001106526959873122
gene_25,-41.641673456680735,-42.68508424346457,1.0434107867838378
gene_26,-40.00572159011625,-40.005706108453495,-1.5481662757110826e-05
gene_27,-41.29634185782787,-42.471205625859305,1.174863768031436
gene_28,-40.00329058405258,-40.00322181930649,-6.876474608930039e-05
gene_29,-40.06051453839163,-40.06050797750923,-6.560882397366186e-06
gene_30,-40.268412631313794,-40.268380100916346,-3.2530397447771975e-05
gene_31,-41.14248898796653,-41.268506979271265,0.12601799130473523
gene_32,-40.369017742931234,-40.368961693137216,-5.604979401852006e-05
gene_33,-41.134581211098926,-41.134548718270715,-3.2492828211161395e-05
gene_34,-40.48558889857583,-40.48551882309827,-7.007547755932819e-05
gene_35,-41.507923412602146,-41.73781063488457,0.22988722228242153
gene_36,-55.29795746975983,-41.21595954522918,-14.081997924530647
gene_37,-43.07084733862121,-43.62525948083277,0.5544121422115538
