,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-1695.9922314918217,-9896.975795857967,8200.983564366144
gene_2,-128.2463791595396,-127.73554792465869,-0.5108312348809108
gene_3,-3902.2996125024783,-9076.661456414991,5174.361843912513
gene_4,-109.86914354504248,-109.52921979385194,-0.33992375119053975
gene_5,-130177.29795543157,-25618.57517774958,-104558.722777682
gene_6,-188.48289636142562,-214.06956126974376,25.58666490831814
gene_7,-28837.640332735507,-80625.4338078952,51787.79347515969
gene_8,-480.75476295622536,-762.6458910647206,281.8911281084952
gene_9,-13024.378648615926,-36735.86525722481,23711.486608608884
gene_10,-273.3645783409582,-371.1172887176738,97.75271037671558
gene_11,-8981.882047869845,-34570.21216230049,25588.330114430646
gene_12,-187.86658984330998,-207.03769527923689,19.171105435926904
gene_13,-16545.31389237438,-34509.97869257319,17964.66480019881
gene_14,-200.64384304223506,-235.3448484866452,34.70100544441013
gene_15,-7372.605662164761,-34935.10065428722,27562.494992122458
gene_16,-202.38615676909043,-262.1395083568856,-89511.6346400879
gene_17,-4953.857519936895,-18730.543507212973,13776.685987276078
gene_18,-157.3069669567103,-179.61752628758467,22.310559330874355
gene_19,-2303.073085403018,-5783.586351023924,3480.513265620906
gene_20,-103.51181246488296,-104.27697675809974,0.7651642932167704
gene_21,-2547.518010322164,-8754.694488003615,6207.176477681451
gene_22,-117.39052081620271,-114.34743885212932,-3.0430819640733944
gene_23,-3955.994696110189,-69240.23998264204,65284.245286531856
gene_24,-147.51148712770325,-141.35553820420762,-6.155948923495629
gene_25,-508.3702960785363,-2880.0523589835125,2371.682062904976
gene_26,-96.96831905247721,-96.6131801676145,-0.3551388848627113
gene_27,-1547.5195014754356,-4424.881032996495,2877.36153152106
gene_28,-118.52651290194241,-117.8504379585386,-0.6760749434038047
gene_29,-2201.026174560008,-11464.537403906612,9263.511229346605
gene_30,-122.49804403452632,-117.3186863317211,-5.17935770280522
gene_31,-3378.6980290613888,-16615.754926530255,13237.056897468867
gene_32,-128.82257068579472,-130.0209976877524,1.1984270019576968
gene_33,-1453.399219777364,-7140.8748255884475,5687.475605811083
gene_34,-100.47128663236371,-100.4206807567658,-0.050605875597909744
gene_35,-2104.2894492559462,-23829.020114289673,21724.730665033727
gene_36,-217.19147447079848,-222.0731690509234,4.881694580124929
gene_37,-9400.28021592801,-33592.06295115156,24191.782735223547
gene_38,-128.50014115831777,-132.23503086521677,3.734889706898997
gene_39,-4264.827457365698,-14145.949203977836,9881.121746612138
gene_40,-106.7981746074752,-104.91766637464995,-1.8805082328252496
gene_41,-8175.143936846202,-27413.061322001846,19237.917385155644
gene_42,-125.35591633372947,-125.41498752754482,0.05907119381535608
gene_43,-194.51366149241304,-3965.5921283098264,3771.0784668174133
gene_44,-81.94327987249599,-82.06654695233493,0.12326707983893925
gene_45,-5245.651767136714,-11259.650244105444,6013.99847696873
gene_46,-178.27971139326013,-197.08243049062597,18.802719097365838
gene_47,-6096.0800687797355,-30906.63560347654,24810.555534696807
gene_48,-147.18683029994753,-161.0752715604038,13.888441260456261
gene_49,-5626.1857265089775,-16478.253139476008,10852.06741296703
gene_50,-147.03633061666568,-146.0294899988599,-1.0068406178057785
gene_51,-2833.5836970177047,-7221.682838267369,4388.099141249664
gene_52,-113.14774685964642,-112.29888932012234,-0.8488575395240758
gene_53,-9476.265148660592,-31660.213069834153,22183.94792117356
gene_54,-229.6565032893395,-224.81535503904283,-4.841148250296669
gene_55,-35200.72183108272,-132427.25983836545,97226.53800728274
gene_56,-369.8894113190953,-389.51438669311193,19.62497537401663
gene_57,-17006.497472135557,-61427.1687501844,44420.671278048845
gene_58,-214.63905199747103,-227.39254896673285,12.753496969261818
gene_59,-11455.249107709635,-40290.40994826958,28835.160840559947
gene_60,-163174.32001924378,-135.47380682171806,-163038.84621242207
gene_61,-11426.435694757503,-63544.89177575386,52118.45608099636
gene_62,-272.09538422629066,-315.1986794429678,43.10329521667711
gene_63,-5352.367901127145,-30564.246173097217,25211.878271970072
gene_64,-200.9070939486678,-208.8196461396568,7.912552190989004
gene_65,-10821.692735619534,-31347.904748734138,20526.212013114604
gene_66,-211.39382748368877,-213.14389549733056,1.750068013641794
gene_67,-17061.615387975828,-50652.54245029759,33590.92706232176
gene_68,-282.77950100831146,-288.02049058355306,5.240989575241599
gene_69,-5535.966228867406,-22803.745155198965,17267.778926331557
gene_70,-145.7089036658911,-143.97157760183225,-1.7373260640588626
gene_71,-4004.1080042309554,-9082.600592249884,5078.492588018929
gene_72,-137.53283372777102,-136.37564034643265,-1.1571933813383737
gene_73,-4237.176918178683,-10681.970153477214,6444.793235298531
