,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-44.530651538252535,-110.72795118919291,66.19729965094038
gene_2,-109.40138079349899,-134.93349545877237,25.532114665273383
gene_3,-48.08783793986646,-71.58474831646937,23.496910376602912
gene_4,-83.8195730599584,-97.2131821210658,13.393609061107398
gene_5,-76.23713935389932,-372.4553501758186,296.21821082191923
gene_6,-157.2492744087537,-169.39582564643706,12.146551237683354
gene_7,-31.575975170855937,-45.90298526693904,14.327010096083104
gene_8,-93.33430137539301,-93.93125520128267,0.5969538258896563
gene_9,-57.96477494091574,-147.38402040319073,89.419245462275
gene_10,-177.59808800083812,-222.99448251800973,45.396394517171615
gene_11,-86.81151649682009,-240.31273604642234,153.50121954960224
gene_12,-149.9385270969839,-152.9210439277043,2.9825168307203853
gene_13,-79.12273747096097,-303.15341626636206,224.0306787954011
gene_14,-280.2823390312693,-351.82056860115483,71.53822956988552
gene_15,-58.20035121523754,-161.18629867107074,102.98594745583321
gene_16,-160.48647187219376,-175.6611513221808,15.174679449987053
gene_17,-53.914345392224675,-112.69526069457632,58.780915302351644
gene_18,-118.95434782220583,-128.12544269962373,9.1710948774179
gene_19,-45.77910175794738,-128.57811632285828,82.79901456491089
gene_20,-123.59569855608615,-123.5392241872829,-0.05647436880325074
gene_21,-54.34843247567625,-71.49120530889921,17.142772833222963
gene_22,-78.56348027950077,-78.5998044048897,0.03632412538892993
gene_23,-109.185898258041,-387.13801913750456,277.95212087946356
gene_24,-110.28058911274081,-110.19913099101055,-0.08145812173026457
gene_25,-84.30131912434646,-166.13807631681382,81.83675719246736
gene_26,-79.25441000433494,-77.27639823135637,-1.9780117729785758
gene_27,-59.69686857188569,-90.61174084546069,30.914872273575
gene_28,-67.20989567250979,-68.0654615368793,0.8555658643695097
gene_29,-76.41904858537237,-148.7744907700838,72.35544218471142
gene_30,-117.90583942710936,-149.16603867721122,31.260199250101863
gene_31,-91.44308100302995,-240.64886695331998,149.20578595029002
gene_32,-149.6337205541343,-164.48091585812398,14.847195303989679
gene_33,-85.4037325589593,-132.60964334759583,47.20591078863653
gene_34,-98.43392239489415,-96.51430701213043,-1.9196153827637232
gene_35,-80.51241923550057,-261.7965546696983,181.28413543419774
gene_36,-130.94025743010988,-134.3228414880444,3.3825840579345083
gene_37,-121.53124284127739,-309.62290398568416,188.09166114440677
gene_38,-306.0964620016326,-437.23201258135765,131.13555057972508
gene_39,-65.81520737962616,-175.98173579698343,110.16652841735727
gene_40,-223.68623119856815,-272.63043054443494,48.94419934586679
