,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-26.69098113279706,-31.01390085765827,4.322919724861212
gene_2,-30.903597007604724,-30.9035947061706,-2.301434122387036e-06
gene_3,-26.905367384176934,-32.16076275220971,5.255395368032779
gene_4,-30.487805376238,-30.487804743289495,-6.329485060518891e-07
gene_5,-32.02614908494955,-32.02614684532054,-2.2396290120241247e-06
gene_6,-33.92282661370792,-33.922793013034116,-3.360067380242526e-05
gene_7,-27.402241052858635,-31.909708122621634,4.507467069762999
gene_8,-32.12293030156529,-32.12292834851683,-1.953048460734408e-06
gene_9,-27.871923330733757,-27.871922241065356,-1.0896684017325242e-06
gene_10,-31.979275448864318,-31.979274402854145,-1.0460101727005622e-06
gene_11,-28.438515353169983,-28.438513964764155,-1.3884058276403266e-06
gene_12,-31.868570812146537,-31.86856847309631,-2.3390502263964663e-06
gene_13,-26.826796837202014,-34.81416320300375,7.987366365801737
gene_14,-30.858949131353302,-30.858948080984003,-1.0503692990937452e-06
gene_15,-27.353776820168086,-34.13712313671168,6.783346316543593
gene_16,-30.324280536280785,-30.324279998189475,-5.380913101760143e-07
gene_17,-33.737263542238686,-34.36649443659078,0.6292308943520908
gene_18,-34.38748917290641,-34.38748038539551,-8.78751090027663e-06
gene_19,-30.414425568454348,-35.71873195704661,5.304306388592259
gene_20,-31.884621070748366,-31.884617684543063,-3.386205303712586e-06
gene_21,-29.35073764651178,-29.350736223769786,-1.4227419953272147e-06
gene_22,-31.549642248805565,-31.5496401670718,-2.08173376492482e-06
gene_23,-32.42288944310292,-32.42288846747377,-9.756291490248259e-07
gene_24,-33.68330232723666,-33.683291659734415,-1.0667502245098603e-05
gene_25,-29.30505321530062,-34.63555926266408,5.3305060473634605
gene_26,-30.49472272498648,-30.494720736134788,-1.988851693113247e-06
gene_27,-29.27888128632988,-31.52422955823256,2.245348271902678
gene_28,-31.319367219466546,-31.319352482334608,-1.4737131937891945e-05
gene_29,-30.972488170554715,-31.293281604499665,0.3207934339449494
gene_30,-32.66925809918803,-32.66925632908954,-1.7700984855650859e-06
gene_31,-25.48039935047386,-29.736776162187798,4.256376811713938
gene_32,-30.98378762404173,-30.983785945675063,-1.6783666687558707e-06
gene_33,-29.08360855558861,-29.54397922697324,0.4603706713846272
gene_34,-31.630812006293127,-31.630797985142948,-1.4021150178677999e-05
gene_35,-28.746996667578156,-29.846758693527235,1.0997620259490795
gene_36,-33.12335152530264,-33.123312499539836,-3.902576280268022e-05
gene_37,-28.525496098461815,-34.10426022193601,5.578764123474194
gene_38,-31.630968378609097,-31.630964786706834,-3.59190226362216e-06
gene_39,-29.40916669431791,-29.416787642632634,0.007620948314723819
gene_40,-31.565415028935377,-31.565413423186946,-1.6057484302223202e-06
gene_41,-34.82698026533265,-40.59764813334033,5.770667868007678
gene_42,-36.00548187379769,-36.00546792882909,-1.3944968600299035e-05
gene_43,-27.646228110417805,-31.74601062722777,4.099782516809963
gene_44,-30.86859030140063,-30.868587493002195,-2.8083984346949364e-06
gene_45,-28.98281486439699,-30.331392771943783,1.3485779075467939
gene_46,-30.742550775945663,-30.742547935569913,-2.8403757497130755e-06
gene_47,-29.438093960805432,-29.438091432832536,-2.5279728959048953e-06
gene_48,-32.70888523224771,-32.70888251026829,-2.721979420527987e-06
gene_49,-27.747925837933714,-32.432144378990074,4.68421854105636
gene_50,-31.734358948493643,-31.734357103661115,-1.8448325285191913e-06
gene_51,-26.95468341921181,-32.00251914055114,5.047835721339332
gene_52,-31.986730597870444,-31.986726989845366,-3.608025078705168e-06
gene_53,-34.43130148806615,-36.621235170205836,2.1899336821396886
gene_54,-35.184106563881215,-35.18410066321049,-5.900670728919977e-06
gene_55,-27.48212443674086,-32.72075090789979,5.2386264711589305
gene_56,-30.603794112852754,-30.603792231155534,-1.8816972193747006e-06
gene_57,-27.764390045005904,-33.40837947815119,5.643989433145286
gene_58,-30.77645927994986,-30.776457979652502,-1.3002973595632739e-06
gene_59,-34.363613926553924,-40.421759243102734,6.05814531654881
gene_60,-35.22555954800422,-35.22555279427408,-6.75373014047409e-06
gene_61,-26.527257737799363,-34.179805864534515,7.652548126735152
gene_62,-33.13435594557615,-33.13434603986894,-9.905707209156844e-06
gene_63,-27.47080930448772,-34.69953843986546,7.228729135377737
gene_64,-32.05309734212972,-32.0530942509838,-3.0911459205640313e-06
gene_65,-35.60800189626312,-39.53714669011409,3.9291447938509734
gene_66,-35.4354959417885,-35.43547412889792,-2.181289058000857e-05
gene_67,-28.093948052725015,-32.71880688852032,4.624858835795305
gene_68,-31.712731460280168,-31.712729865793406,-1.5944867612915914e-06
gene_69,-28.851848117728032,-28.851847604598944,-5.131290876647654e-07
gene_70,-31.561060358975666,-31.56105238115628,-7.977819386439933e-06
gene_71,-31.014082362614243,-31.271539514849618,0.257457152235375
gene_72,-32.99833971861113,-32.99830929044977,-3.0428161359452588e-05
gene_73,-28.869827586552663,-33.30078525169169,4.4309576651390294
gene_74,-30.884082278203444,-30.884081293072168,-9.851312761099962e-07
gene_75,-28.73560178135813,-33.0236674471494,4.288065665791269
gene_76,-31.283622500522668,-31.283621225724865,-1.274797803318961e-06
gene_77,-34.915472205564086,-39.01275388057361,4.097281675009526
gene_78,-33.904502965709625,-33.90449888072448,-4.084985143038011e-06
gene_79,-31.42276210845939,-34.887513624276714,3.4647515158173228
gene_80,-32.24322685108418,-32.24322372990555,-3.1211786293283694e-06
gene_81,-30.77525963378112,-30.77525739204817,-2.2417329468282787e-06
gene_82,-31.94001177231733,-31.94001021351192,-1.5588054118609307e-06
gene_83,-31.388740199764843,-31.388739123715663,-1.0760491804262529e-06
gene_84,-33.40930902165533,-33.40930443699646,-4.584658874762226e-06
