,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-26.44569614732783,-31.843550884744616,5.397854737416786
gene_2,-31.32194485319802,-31.321942869733228,-1.983464791521783e-06
gene_3,-30.37701549643792,-29.856915750361694,-0.5200997460762267
gene_4,-31.508082751828418,-31.508081789586313,-9.622421046628915e-07
gene_5,-31.99843873698485,-31.998433109545353,-5.627439495725639e-06
gene_6,-34.101781623366705,-34.10177091795083,-1.0705415874667779e-05
gene_7,-26.55799095073781,-31.949020596112582,5.391029645374772
gene_8,-30.49498724869673,-30.4949851997902,-2.048906530660588e-06
gene_9,-29.52123245654672,-30.875071226139262,1.3538387695925422
gene_10,-30.971211116283705,-30.971210266877264,-8.494064402952972e-07
gene_11,-36.42009884002448,-38.704005147832525,2.2839063078080457
gene_12,-37.44541595182197,-37.445355754877404,-6.0196944566826005e-05
gene_13,-26.910795591999793,-32.503238773396376,5.5924431813965825
gene_14,-30.482865100862174,-30.482863045737723,-2.055124451061374e-06
gene_15,-27.6417883536552,-32.035973247759564,4.394184894104363
gene_16,-30.482366833815895,-30.482365572244284,-1.261571611621548e-06
gene_17,-28.11357131044389,-28.113570158718353,-1.151725538051096e-06
gene_18,-30.99053663394276,-30.99053533899537,-1.2949473884305007e-06
gene_19,-26.97366007708989,-32.73722346806521,5.763563390975321
gene_20,-31.01953390916411,-31.019532835168548,-1.0739955627059317e-06
gene_21,-28.121677631589712,-28.863265161795532,0.7415875302058197
gene_22,-31.01462757582422,-31.014625827087023,-1.7487371977153998e-06
gene_23,-28.919367847897103,-31.40598916780524,2.4866213199081386
gene_24,-32.055631294423705,-32.05562997370065,-1.3207230580292162e-06
gene_25,-27.74154338148132,-32.59587500699998,4.854331625518661
gene_26,-31.51612188053635,-31.51611861826878,-3.262267568970856e-06
gene_27,-27.142234047716194,-32.792016906123564,5.64978285840737
gene_28,-31.175976204844137,-31.175960699623154,-1.550522098270335e-05
gene_29,-29.053242655815495,-29.24432698303873,0.19108432722323343
gene_30,-31.68981746615726,-31.689815612582493,-1.853574765675603e-06
gene_31,-26.529613596634377,-33.35489499862403,6.825281401989656
gene_32,-30.861455770065454,-30.8614546899989,-1.0800665535271037e-06
gene_33,-28.80103737356238,-29.252539511809324,0.4515021382469442
gene_34,-30.79362763843392,-30.793627041754334,-5.966795875167463e-07
gene_35,-27.91743146645019,-28.06823364771209,0.15080218126190204
gene_36,-30.95639026303245,-30.9563883996005,-1.8634319509658326e-06
gene_37,-29.79515066525277,-33.41323484077624,3.618084175523471
gene_38,-31.399091030975026,-31.399089158880344,-1.8720946819428264e-06
gene_39,-29.42598763595215,-29.425986794508944,-8.414432066672362e-07
gene_40,-31.545815853713854,-31.545811527489494,-4.326224360085007e-06
gene_41,-31.037639719216656,-31.03763794676848,-1.7724481757852573e-06
gene_42,-32.6900187566568,-32.69001192361065,-6.833046150234168e-06
gene_43,-26.778136911914718,-33.546152175177774,6.768015263263056
gene_44,-31.309435188442478,-31.30943358451251,-1.6039299666203988e-06
gene_45,-28.584006681142085,-28.584003285399312,-3.395742773193433e-06
gene_46,-31.395206242909637,-31.39520548403864,-7.588709962647044e-07
gene_47,-30.103892164340238,-30.103890711462135,-1.4528781022704607e-06
gene_48,-33.54884979909544,-33.54884371671274,-6.082382704164502e-06
gene_49,-27.085880753120993,-32.34139051575268,5.255509762631686
gene_50,-31.202593498596304,-31.202581960865494,-1.1537730809862978e-05
gene_51,-27.871945911823293,-27.871944031036296,-1.8807869963666235e-06
gene_52,-31.135556019861646,-31.135554234376666,-1.7854849794218808e-06
gene_53,-32.262695734119454,-34.332944594700535,2.0702488605810814
gene_54,-33.608582482853286,-33.60857545822243,-7.024630853891267e-06
gene_55,-27.43907933160937,-32.12532887923402,4.686249547624648
gene_56,-30.652323703969216,-30.652320806524642,-2.8974445740459487e-06
gene_57,-29.041787557335795,-30.489427278810737,1.4476397214749426
gene_58,-30.891884002810265,-30.891882480181625,-1.522628640060475e-06
gene_59,-33.68117541868625,-35.555622465816754,1.8744470471305021
gene_60,-34.484614033512145,-34.48460359615065,-1.0437361495974073e-05
gene_61,-25.867403979776988,-33.51369286884001,7.6462888890630225
gene_62,-31.427107787510202,-31.427105899559788,-1.8879504146696036e-06
gene_63,-29.54960346389486,-29.754492097082668,0.2048886331878066
gene_64,-31.395033543642874,-31.39503145377374,-2.0898691346360465e-06
gene_65,-35.26042597148472,-42.7362018097366,7.475775838251877
gene_66,-36.61686681002381,-36.616832894121245,-3.391590256285326e-05
gene_67,-30.042670612563914,-35.203422103456184,5.16075149089227
gene_68,-32.15796362230782,-32.15796217656048,-1.4457473369589025e-06
gene_69,-31.35038698260893,-31.440392832272153,0.09000584966322123
gene_70,-31.821470426492045,-31.821468120883125,-2.305608919783708e-06
gene_71,-32.35290720873318,-32.933317791400405,0.580410582667227
gene_72,-33.15105369688319,-33.15103702104948,-1.6675833705903642e-05
gene_73,-27.891260292803704,-32.66330861540597,4.772048322602263
gene_74,-31.68309445990299,-31.683092100565027,-2.3593379623321198e-06
gene_75,-28.477283237798456,-31.58403569312949,3.1067524553310335
gene_76,-31.92019357264899,-31.920189482968222,-4.089680768259996e-06
gene_77,-31.24422649231999,-31.244225381634287,-1.110685701632974e-06
gene_78,-34.28309325618845,-34.28308927434254,-3.981845914324822e-06
gene_79,-26.324999034045526,-32.964534768999144,6.639535734953618
gene_80,-31.094351945423263,-31.09434744151648,-4.50390678352619e-06
gene_81,-26.36630803516119,-33.44784624357867,7.081538208417477
gene_82,-31.48898223407015,-31.488977294121447,-4.9399487025425515e-06
gene_83,-34.698695242629846,-34.6986903801819,-4.86244794473123e-06
gene_84,-36.26291775404829,-36.26290718224843,-1.0571799855085828e-05
gene_85,-28.065424271935537,-33.19464850391518,5.129224231979645
gene_86,-31.758515879069588,-31.758512168165968,-3.7109036199467482e-06
gene_87,-28.71444758693884,-28.714442304133996,-5.282804842465794e-06
gene_88,-31.6863651769892,-31.68636125370176,-3.923287437146428e-06
gene_89,-30.877532084663294,-30.87753059697243,-1.4876908629446461e-06
gene_90,-33.33268183369185,-33.33268011281557,-1.7208762841391945e-06
gene_91,-27.710847455547416,-33.811858886971855,6.101011431424439
gene_92,-31.8826836693719,-31.88268126407462,-2.4052972804611272e-06
