,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-54.99533012489829,-162.01858740211114,107.02325727721285
gene_2,-53.987706892381155,-53.99181068528442,0.004103792903265457
gene_3,-58.23930438046223,-107.86494787642373,49.6256434959615
gene_4,-54.53690266767339,-54.538454171808574,0.0015515041351861214
gene_5,-63.21370306892329,-76.01771669741487,12.804013628491582
gene_6,-65.46640061849567,-65.47935979311384,0.01295917461817453
gene_7,-55.62052709913438,-181.04898774603782,125.42846064690345
gene_8,-51.09418273404303,-51.11534481540833,0.02116208136529707
gene_9,-59.81929966371898,-135.91912179478908,76.0998221310701
gene_10,-52.61170649430652,-52.62097243581614,0.009265941509625009
gene_11,-333.1514756913383,-5373.972363296811,5040.820887605472
gene_12,-85.97375699174286,-85.46422312878735,-0.5095338629555073
gene_13,-54.849189565947626,-161.64424395876614,106.79505439281851
gene_14,-51.04916629901895,-51.07039491816871,0.02122861914975971
gene_15,-51.33105986690294,-137.51923956468832,86.18817969778539
gene_16,-50.90194937111085,-50.922182839413594,0.020233468302741642
gene_17,-52.71126196040059,-70.57478163488706,17.86351967448647
gene_18,-52.64828878123311,-52.65742899057827,0.009140209345154915
gene_19,-54.15613466184843,-169.91972928415768,115.76359462230926
gene_20,-52.82163532113125,-52.830094309057266,0.00845898792601929
gene_21,-52.86750731373061,-88.3060872560273,35.438579942296684
gene_22,-52.75595834356287,-52.76465976456654,0.008701421003671328
gene_23,-52.6139589090422,-179.13202848677005,126.51806957772786
gene_24,-56.67750519349911,-56.675968557081326,-0.0015366364177822334
gene_25,-55.692329219057875,-142.22146479403366,86.52913557497578
gene_26,-54.77429321034079,-54.77609729814104,0.0018040878002523186
gene_27,-54.898372525440664,-147.1672820023994,92.26890947695873
gene_28,-53.39588764249578,-53.40185187900521,0.005964236509427678
gene_29,-55.97984293511058,-82.00139898266282,26.021556047552238
gene_30,-55.48738063140278,-55.21022161488984,-0.2771590165129396
gene_31,-59.016884088049885,-193.67370710139795,134.65682301334806
gene_32,-52.3001755813694,-52.30847113553682,0.008295554167418118
gene_33,-56.65737905305657,-85.95723849590219,29.299859442845616
gene_34,-52.00982577478705,-52.00982155412561,-4.220661445231144e-06
gene_35,-49.743617367136025,-64.37318942857223,14.629572061436207
gene_36,-52.50956946075122,-52.519476490590044,0.009907029838821302
gene_37,-72.99614305964126,-237.33816146722268,164.3420184075814
gene_38,-54.17856395974315,-54.18190167285573,0.0033377131125789106
gene_39,-62.467786927500526,-84.17945788430552,21.711670956804994
gene_40,-54.77081611478795,-54.72456986244492,-0.04624625234302471
gene_41,-85.37388775867623,-200.97341095649838,115.59952319782215
gene_42,-59.95272233667082,-59.26038085444545,-0.6923414822253662
gene_43,-53.813105160897706,-187.4043907221653,133.59128556126757
gene_44,-53.937535732244214,-53.931122633882595,-0.006413098361619518
gene_45,-61.00444004069338,-66.01378289741433,5.009342856720949
gene_46,-54.222895295252364,-54.225904132162164,0.0030088369097995837
gene_47,-90.3342522813252,-178.43471388866038,88.10046160733518
gene_48,-64.79622568819886,-63.02474191613768,-1.7714837720611811
gene_49,-67.33041501944913,-172.59558109776347,105.26516607831434
gene_50,-53.548975033612365,-53.554139752306725,0.005164718694359749
gene_51,-60.3233847807887,-58.91957241700728,-1.4038123637814195
gene_52,-53.21625375553677,-53.2226423133265,0.006388557789733795
gene_53,-84.01145211125518,-546.5558512994004,462.54439918814523
gene_54,-65.8582305727467,-63.235920173753435,-2.622310398993271
gene_55,-55.529832244629,-153.28316191530402,97.75332967067501
gene_56,-51.64494582626194,-51.662099950354765,0.01715412409282635
gene_57,-58.560136433118814,-106.1611273867547,47.600990953635886
gene_58,-52.36879670138142,-52.38039637610155,0.011599674720130793
gene_59,-113.78312246903849,-556.9576079174263,443.1744854483878
gene_60,-67.652987859986,-67.56861224848215,-0.08437561150384454
gene_61,-57.83708692448673,-205.14350280579328,147.30641588130655
gene_62,-54.398303474009026,-54.37929335316851,-0.019010120840519562
gene_63,-59.53506543951515,-90.64383492711859,31.10876948760344
gene_64,-54.143779875778215,-54.14659216471744,0.002812288939225027
gene_65,-240.72139468563347,-4567.365430853675,4326.644036168042
gene_66,-80.09594384961683,-80.11625196352878,0.020308113911951864
gene_67,-72.11358964850152,-227.71694619158666,155.60335654308514
gene_68,-57.21378261492165,-57.19386881848408,-0.019913796437570852
gene_69,-64.08123991072142,-128.05371020664765,63.97247029592623
gene_70,-55.810703405342636,-55.79565017202858,-0.015053233314056058
gene_71,-85.17636582365355,-284.04687268381207,198.8705068601585
gene_72,-61.253781845028584,-61.2218318252323,-0.03195001979628387
gene_73,-63.606429805881625,-174.8036630443787,111.19723323849709
gene_74,-55.30645379462221,-55.30705521811035,0.0006014234881419611
gene_75,-57.41297177801367,-141.33488712218298,83.9219153441693
gene_76,-56.1545587206558,-56.129482118536075,-0.025076602119725067
gene_77,-84.72129047551701,-168.57972302392312,83.85843254840611
gene_78,-66.37928500401102,-66.43404592933919,0.05476092532816779
gene_79,-58.498648984773126,-194.99532917766373,136.4966801928906
