,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
gene_1,-3.96103461926792,-8.604350181536606,4.643315562268686,0:00:00.241055,0:00:00.241055
gene_2,19.159926266823636,19.159949453721715,0.0,0:00:01.436165,0:00:01.436165
gene_3,-1.7327831706081689,-0.8740709802192903,0.0,0:00:00.230266,0:00:00.230266
gene_4,19.999695722046035,19.999698896504935,0.0,0:00:01.407234,0:00:01.407234
gene_5,3.3197120310224832,-2.8680069433413458,6.187718974363829,0:00:01.530764,0:00:01.530764
gene_6,22.549920931329947,22.549976545959336,0.0,0:00:01.638401,0:00:01.638401
gene_7,-0.6590316566899652,-1.0376067751025602,0.37857511841259495,0:00:00.228006,0:00:00.228006
gene_8,24.18481930939975,24.184175736956437,0.000643572443312479,0:00:01.367378,0:00:01.367378
gene_9,-1.1470007784499643,-1.699497687060063,0.5524969086100988,0:00:00.228510,0:00:00.228510
gene_10,24.963456797100356,24.867699717141655,0.09575707995870175,0:00:01.345310,0:00:01.345310
gene_11,4.640422023921701,2.7437376939533173,1.8966843299683838,0:00:01.388621,0:00:01.388621
gene_12,30.962046937937735,30.93084180838168,0.031205129556056477,0:00:01.311785,0:00:01.311785
gene_13,-2.0361533613929375,-2.036144913627595,0.0,0:00:00.241258,0:00:00.241258
gene_14,21.03542959661678,21.035434787439566,0.0,0:00:01.382086,0:00:01.382086
gene_15,-2.4391774183567883,-2.4391431293552515,0.0,0:00:00.243150,0:00:00.243150
gene_16,24.58745126364159,24.587452006488455,0.0,0:00:01.372735,0:00:01.372735
gene_17,9.800527020559343,9.80055039878858,0.0,0:00:01.400012,0:00:01.400012
gene_18,27.8059642444774,27.80641267108298,0.0,0:00:01.374577,0:00:01.374577
gene_19,7.799814560783371,7.799815860587923,0.0,0:00:01.393235,0:00:01.393235
gene_20,26.865111580839738,26.857218608648495,0.007892972191243075,0:00:01.295560,0:00:01.295560
gene_21,5.493440656633961,1.0197166302802572,4.473724026353704,0:00:01.352213,0:00:01.352213
gene_22,25.2752574640047,25.275393892578357,0.0,0:00:01.425017,0:00:01.425017
gene_23,8.170359520615833,3.593311142527437,4.577048378088396,0:00:01.334164,0:00:01.334164
gene_24,29.269739067737586,29.26979109216888,0.0,0:00:01.377370,0:00:01.377370
gene_25,0.43760225278628084,0.4060445685808638,0.03155768420541705,0:00:01.280029,0:00:01.280029
gene_26,24.04594653627518,24.045947002518005,0.0,0:00:01.408303,0:00:01.408303
gene_27,1.1903071301779278,0.06899402102055419,1.1213131091573736,0:00:01.313270,0:00:01.313270
gene_28,28.714663373230408,28.714694689253385,0.0,0:00:01.391652,0:00:01.391652
gene_29,13.89960535213061,7.217820916016468,6.6817844361141425,0:00:01.288029,0:00:01.288029
gene_30,30.083675795845416,30.083677316348762,0.0,0:00:01.357298,0:00:01.357298
gene_31,-5.925178489927006,-5.9127313304372535,0.0,0:00:00.230703,0:00:00.230703
gene_32,26.11367251836331,26.11370539149769,0.0,0:00:01.389300,0:00:01.389300
gene_33,0.8565494197960746,-0.6282726141372699,1.4848220339333444,0:00:01.313481,0:00:01.313481
gene_34,24.353843446496015,24.353977226848286,0.0,0:00:01.402911,0:00:01.402911
gene_35,3.713369269610446,0.06007134887035903,3.653297920740087,0:00:01.273166,0:00:01.273166
gene_36,29.711006699799746,29.647759927846746,0.06324677195300055,0:00:01.342165,0:00:01.342165
gene_37,-3.450974497655711,-8.069802357756327,4.618827860100616,0:00:00.230918,0:00:00.230918
gene_38,27.90363687833416,27.903637437376567,0.0,0:00:01.412054,0:00:01.412054
gene_39,-7.322213725069645,-3.5196260532624386,0.0,0:00:00.227636,0:00:00.227636
gene_40,30.658641535678775,30.646029875451084,0.01261166022769089,0:00:01.360031,0:00:01.360031
gene_41,1.4579258214881676,-2.112879731465572,3.5708055529537397,0:00:01.291990,0:00:01.291990
gene_42,28.820185091913118,28.63207192170378,0.1881131702093377,0:00:01.523271,0:00:01.523271
gene_43,-2.46252309424149,-2.5210182681193096,0.05849517387781944,0:00:00.230372,0:00:00.230372
gene_44,23.83606245780141,23.83606497012213,0.0,0:00:01.391181,0:00:01.391181
gene_45,5.7500727073349545,5.0839525020642675,0.6661202052706869,0:00:01.321981,0:00:01.321981
gene_46,23.021985021335855,23.022029330677906,0.0,0:00:01.420010,0:00:01.420010
gene_47,7.1271950596537685,6.353938731304993,0.7732563283487757,0:00:01.372944,0:00:01.372944
gene_48,24.48491001798213,24.487623654795648,0.0,0:00:01.386944,0:00:01.386944
gene_49,-1.9686665894973387,-2.346600272358856,0.3779336828615172,0:00:00.223867,0:00:00.223867
gene_50,27.65154090109874,27.651552356589562,0.0,0:00:01.375433,0:00:01.375433
gene_51,4.980208141386157,0.7442980858479302,4.235910055538227,0:00:01.299763,0:00:01.299763
gene_52,30.819833667381648,30.819834141159625,0.0,0:00:01.439609,0:00:01.439609
gene_53,11.977042943157521,12.097484937088794,0.0,0:00:01.321206,0:00:01.321206
gene_54,39.664677587303345,39.66475611422571,0.0,0:00:01.424229,0:00:01.424229
gene_55,1.8891400144024288,-7.972896329188874,9.862036343591303,0:00:01.580542,0:00:01.580542
gene_56,20.03599384241049,20.036076163257327,0.0,0:00:01.608170,0:00:01.608170
gene_57,1.0984753146762145,4.292534654319436,0.0,0:00:01.321723,0:00:01.321723
gene_58,27.660782455036756,27.32989244555489,0.3308900094818661,0:00:01.511100,0:00:01.511100
