,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
gene_1,-15.67645725912117,-18.990021939561434,3.3135646804402636,0:00:00.250034,0:00:00.250034
gene_2,16.457120453749397,16.458035340026818,0.0,0:00:01.406556,0:00:01.406556
gene_3,-18.66669092705878,-17.364352366517736,0.0,0:00:00.237933,0:00:00.237933
gene_4,21.450849796337742,21.450856351598397,0.0,0:00:01.412177,0:00:01.412177
gene_5,-13.572648710837527,-18.11666675077428,4.544018039936752,0:00:00.234577,0:00:00.234577
gene_6,20.985866233928622,20.985871552821102,0.0,0:00:01.389904,0:00:01.389904
gene_7,-12.537318176288784,-16.935597224255993,4.398279047967209,0:00:00.227083,0:00:00.227083
gene_8,12.213311493228915,12.213312263547174,0.0,0:00:01.409468,0:00:01.409468
gene_9,-18.09051315121033,-19.491687578194696,1.4011744269843653,0:00:00.235400,0:00:00.235400
gene_10,13.479404904457063,13.480208566939694,0.0,0:00:01.394381,0:00:01.394381
gene_11,-17.749788888034068,-19.212040617660755,1.4622517296266864,0:00:00.228880,0:00:00.228880
gene_12,19.874283354796304,19.874402615628988,0.0,0:00:01.418889,0:00:01.418889
gene_13,-19.733802786567498,-19.386841936895678,0.0,0:00:00.220967,0:00:00.220967
gene_14,19.060043451339222,18.695910814538593,0.3641326368006297,0:00:01.284912,0:00:01.284912
gene_15,-16.853374257395142,-19.156453558472712,2.3030793010775703,0:00:00.224596,0:00:00.224596
gene_16,23.127726657819842,23.127010223517026,0.0007164343028165376,0:00:01.319699,0:00:01.319699
gene_17,-16.030449654763654,-16.096202135865127,0.06575248110147314,0:00:00.233757,0:00:00.233757
gene_18,25.196954193742627,25.19697146048592,0.0,0:00:01.480949,0:00:01.480949
gene_19,-14.71969337705946,-19.218389864112027,4.498696487052566,0:00:00.239084,0:00:00.239084
gene_20,14.754381282136784,14.754381483117271,0.0,0:00:01.408758,0:00:01.408758
gene_21,-16.331896687682498,-16.331889127703516,0.0,0:00:00.240988,0:00:00.240988
gene_22,20.585691784780458,20.58570540993194,0.0,0:00:01.395218,0:00:01.395218
gene_23,-14.139861744594894,-15.119826033650215,0.9799642890553208,0:00:00.226469,0:00:00.226469
gene_24,22.63807346467093,22.597659404311823,0.040414060359108106,0:00:01.311608,0:00:01.311608
gene_25,-19.097752797500284,-19.509425523150423,0.41167272565013846,0:00:00.219731,0:00:00.219731
gene_26,25.617282542881775,25.617288656002508,0.0,0:00:01.411691,0:00:01.411691
gene_27,-20.033896510102178,-19.34212118138556,0.0,0:00:00.231449,0:00:00.231449
gene_28,32.08688923702476,31.826697812501642,0.2601914245231143,0:00:01.336552,0:00:01.336552
gene_29,-17.477197082486136,-19.252689682876508,1.775492600390372,0:00:00.230060,0:00:00.230060
gene_30,24.760736460638896,24.019569109852682,0.7411673507862133,0:00:01.632932,0:00:01.632932
gene_31,-19.273314687830098,-20.231803570444928,0.9584888826148301,0:00:00.230302,0:00:00.230302
gene_32,18.62870226134203,18.466060363132613,0.16264189820941866,0:00:01.549580,0:00:01.549580
gene_33,-18.953698142294392,-18.95634853087204,0.0026503885776492098,0:00:00.235086,0:00:00.235086
gene_34,24.878175168812234,24.72884446700281,0.14933070180942565,0:00:01.319764,0:00:01.319764
gene_35,-16.44589978066521,-18.72200340202861,2.276103621363397,0:00:00.223084,0:00:00.223084
gene_36,25.322809224172218,25.322864592337353,0.0,0:00:01.373060,0:00:01.373060
gene_37,-14.661725935380977,-18.313637853417365,3.6519119180363884,0:00:00.231830,0:00:00.231830
gene_38,12.978861788132978,12.978861907372682,0.0,0:00:01.393194,0:00:01.393194
gene_39,-17.35487228684922,-19.185273267456417,1.8304009806071981,0:00:00.308211,0:00:00.308211
gene_40,16.875187338831466,16.875229436844776,0.0,0:00:01.401707,0:00:01.401707
gene_41,-2.6294037821258627,-17.722375773979458,15.092971991853595,0:00:00.232436,0:00:00.232436
gene_42,24.532869869674556,22.566043939756806,1.96682592991775,0:00:01.517695,0:00:01.517695
gene_43,-18.96525470933927,-21.928420475934626,2.963165766595356,0:00:00.225353,0:00:00.225353
gene_44,16.603637960016258,16.603651248061198,0.0,0:00:01.385876,0:00:01.385876
gene_45,-15.919849846977659,-16.77256487900201,0.8527150320243528,0:00:00.231217,0:00:00.231217
gene_46,22.57777012973353,22.577773988530616,0.0,0:00:01.414109,0:00:01.414109
gene_47,-9.477655123356332,-9.719175116783383,0.2415199934270511,0:00:00.235571,0:00:00.235571
gene_48,26.59167756693764,26.12102863908192,0.47064892785572,0:00:01.327266,0:00:01.327266
gene_49,-18.041564763460073,-18.61263274186532,0.5710679784052459,0:00:00.230919,0:00:00.230919
gene_50,12.763084285446489,12.763088583077078,0.0,0:00:01.416378,0:00:01.416378
gene_51,-18.14987974940824,-18.445501465252686,0.2956217158444474,0:00:00.318832,0:00:00.318832
