,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_1,-29.08005066887414,-32.69895146277698,3.618900793902842,0:00:00.766651,0
gene_2,-10.614981687214764,-10.614961915339986,-1.977187477741893e-05,0:00:00.596718,0
gene_3,-31.251862715232882,-30.662055489546105,-0.5898072256867763,0:00:00.529725,0
gene_4,-7.017889469324608,-5.906938591256399,-1.1109508780682091,0:00:00.596474,0
gene_5,-28.770876150756177,-35.265939828378144,6.4950636776219675,0:00:00.519671,0
gene_6,-7.955353189452293,-7.954912561439581,-0.00044062801271138596,0:00:00.525511,0
gene_7,-25.639179841012698,-28.86509010015795,3.2259102591452518,0:00:00.490102,0
gene_8,-13.043352873585665,-13.043205931821083,-0.00014694176458185382,0:00:00.704533,0
gene_9,-31.394591621678458,-34.13945655537194,2.744864933693485,0:00:00.482827,0
gene_10,-14.478197631067768,-14.47798179792453,-0.0002158331432386973,0:00:00.516564,0
gene_11,-31.298169682611515,-35.06311824740651,3.7649485647949916,0:00:00.463872,0
gene_12,-8.648971499005146,-8.648967254996776,-4.2440083696249076e-06,0:00:00.596304,0
gene_13,-33.34202117756691,-34.38250138848015,1.0404802109132376,0:00:00.460505,0
gene_14,-11.029415940462815,-11.40816804234614,0.3787521018833253,0:00:00.491632,0
gene_15,-30.133477046188926,-34.26404261950205,4.130565573313124,0:00:00.470822,0
gene_16,-6.403293727537516,-6.405879055374061,0.0025853278365453036,0:00:00.476570,0
gene_17,-29.228440208707262,-31.00856887455791,1.780128665850647,0:00:00.461113,0
gene_18,-4.691712222830624,-3.88322801154688,-0.8084842112837443,0:00:00.476680,0
gene_19,-28.882909760837816,-33.37875832916542,4.495848568327606,0:00:00.487854,0
gene_20,-12.008759036291789,-12.008383669734682,-0.00037536655710646016,0:00:00.500797,0
gene_21,-30.0795215500557,-30.079462975318027,-5.8574737671790444e-05,0:00:00.473280,0
gene_22,-5.847282830684826,-5.847054141041852,-0.00022868964297373395,0:00:00.583019,0
gene_23,-27.931478735793643,-32.447226050448926,4.5157473146552825,0:00:00.517912,0
gene_24,-5.409740495871127,-5.441518587562289,0.0317780916911623,0:00:00.537524,0
gene_25,-33.84633486041008,-34.03172384823743,0.18538898782734492,0:00:00.494452,0
gene_26,-1.6816032304565134,-1.6816029920224267,-2.3843408669677046e-07,0:00:00.535940,0
