,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_1,-28.094807542135705,-32.82492616105911,4.730118618923406,0:00:00.708512,0
gene_2,18.249489640152294,18.24944562052258,4.4019629715563724e-05,0:00:00.725056,0
gene_3,-30.870735653720267,-30.87072651083432,-9.142885946999968e-06,0:00:00.681342,0
gene_4,30.77771516197183,30.77779810421015,-8.294223831839531e-05,0:00:00.991345,0
gene_5,-28.892783977804605,-35.85549583697568,6.962711859171073,0:00:00.551527,0
gene_6,25.14699049006687,25.146996407806476,-5.917739606786654e-06,0:00:00.856754,0
gene_7,-31.304940707250353,-34.8105579464179,3.505617239167549,0:00:00.536791,0
gene_8,18.574624000498837,18.574627597440756,-3.5969419194259444e-06,0:00:00.584077,0
gene_9,-29.558552739647546,-32.631773206028676,3.0732204663811302,0:00:00.593375,0
gene_10,20.116543554482117,20.118236803117284,-0.0016932486351670661,0:00:00.522023,0
gene_11,-21.448482162445682,-26.959084975803005,5.510602813357323,0:00:00.498415,0
gene_12,26.779919089063032,26.741475775175033,0.03844331388799915,0:00:00.614636,0
gene_13,-33.06995026533624,-35.850813931793496,2.7808636664572575,0:00:00.516866,0
gene_14,17.8261797346075,17.826232509229552,-5.2774622051998676e-05,0:00:00.602578,0
gene_15,-27.046527906723426,-33.38835151956486,6.341823612841431,0:00:00.628292,0
gene_16,25.69970626409599,25.700698826777007,-0.000992562681016551,0:00:00.697913,0
gene_17,-28.083537891517857,-30.819423446811548,2.7358855552936916,0:00:00.708400,0
gene_18,30.494345067259843,30.49434724227213,-2.1750122876085243e-06,0:00:00.691522,0
gene_19,-35.787155216801665,-34.863579053227795,-0.9235761635738697,0:00:00.571740,0
gene_20,23.752139894423102,20.057073561167897,3.6950663332552054,0:00:00.584243,0
gene_21,-30.597856153982782,-29.732980606511298,-0.8648755474714847,0:00:00.567063,0
gene_22,26.60881128635097,24.216312337393106,2.392498948957865,0:00:00.538887,0
gene_23,-28.90079400458154,-35.66096752210237,6.760173517520826,0:00:00.490667,0
gene_24,30.618035976910413,29.141991341226543,1.47604463568387,0:00:00.981715,0
gene_25,-33.052013631020934,-33.06117539657074,0.009161765549805523,0:00:00.546095,0
gene_26,18.207055878545724,20.274620771567857,-2.0675648930221335,0:00:00.675888,0
gene_27,-34.06371096230555,-36.21860672657971,2.1548957642741584,0:00:00.589284,0
gene_28,27.711661186707772,27.71168670540781,-2.5518700038418274e-05,0:00:00.997038,0
gene_29,-28.699218542026788,-34.99914847042659,6.299929928399802,0:00:00.654834,0
gene_30,29.873190515620408,29.875456281239508,-0.0022657656191000797,0:00:00.727977,0
gene_31,-33.01440788599621,-32.92979692788438,-0.08461095811182417,0:00:00.804540,0
gene_32,14.404940456979858,14.404944141220042,-3.6842401840431194e-06,0:00:00.729531,0
gene_33,-30.53642189981484,-31.511093913226166,0.9746720134113254,0:00:00.562525,0
gene_34,19.409281258208566,19.302939558860295,0.10634169934827042,0:00:00.678569,0
gene_35,-28.416381279762657,-30.664620181345118,2.248238901582461,0:00:00.684415,0
gene_36,21.820662169599444,21.881099302985447,-0.060437133386002984,0:00:00.667488,0
gene_37,-32.58941319638403,-32.772538439737914,0.18312524335388503,0:00:00.737460,0
gene_38,19.048725824413406,19.048840179495773,-0.00011435508236701253,0:00:00.719217,0
gene_39,-30.14702001513629,-33.85748835961982,3.7104683444835302,0:00:00.596776,0
gene_40,29.532714603951057,29.532766775064935,-5.2171113878785036e-05,0:00:00.625106,0
gene_41,-17.083882406328563,-37.614162978740964,20.5302805724124,0:00:00.585760,0
