,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_1,-37.57478762711135,-42.26926560563264,4.694477978521292,0:00:00.366349,0
gene_2,-21.12743850689582,-21.12741225384581,-2.6253050009472645e-05,0:00:00.383498,0
gene_3,-37.914912872424246,-37.50843721770981,-0.40647565471443414,0:00:00.369198,0
gene_4,-20.67592740244004,-20.675633664755374,-0.0002937376846645634,0:00:00.656209,0
gene_5,-34.47121900280722,-42.19128054346724,7.720061540660026,0:00:00.370975,0
gene_6,-19.948977860641133,-19.948976348538157,-1.5121029761644422e-06,0:00:00.391039,0
gene_7,-34.49367306742944,-36.742702644931306,2.249029577501865,0:00:00.364500,0
gene_8,-14.910632748912588,-14.911212934113887,0.0005801852012989883,0:00:00.381642,0
gene_9,-36.64441345029963,-37.20771674566414,0.5633032953645127,0:00:00.367431,0
gene_10,-14.803870459308863,-14.897115858133327,0.09324539882446459,0:00:00.373157,0
gene_11,-33.30881662886866,-37.14763577576557,3.8388191468969097,0:00:00.371421,0
gene_12,-11.9307735836028,-11.965734036236551,0.034960452633750805,0:00:00.381572,0
gene_13,-37.08678937759382,-37.086757001993476,-3.2375600341083555e-05,0:00:00.381397,0
gene_14,-18.640413546123565,-18.640228574684883,-0.00018497143868145827,0:00:00.395088,0
gene_15,-39.99326653147004,-39.99326571251741,-8.189526283786108e-07,0:00:00.389371,0
gene_16,-17.841002897205854,-17.840996177980713,-6.719225140727758e-06,0:00:00.388279,0
gene_17,-31.111907094634155,-31.11049991565606,-0.0014071789780949473,0:00:00.380574,0
gene_18,-14.340976374954256,-14.340874758193735,-0.00010161676052078406,0:00:00.395509,0
gene_19,-29.54852124253998,-29.548311775675312,-0.0002094668646677178,0:00:00.383861,0
gene_20,-13.25223856323081,-13.279853402040967,0.02761483881015714,0:00:00.382213,0
gene_21,-32.92072453680198,-38.95622722636864,6.035502689566663,0:00:00.370708,0
gene_22,-17.11900291816325,-17.118988958482774,-1.395968047646079e-05,0:00:00.391852,0
gene_23,-29.09823449978398,-37.026589295282264,7.928354795498283,0:00:00.370361,0
gene_24,-13.767112631741504,-13.767110838675814,-1.7930656905917886e-06,0:00:00.388534,0
gene_25,-36.66337679058131,-37.938094120475995,1.2747173298946848,0:00:00.368169,0
gene_26,-17.628129173662195,-17.628120672477063,-8.501185131848388e-06,0:00:00.391550,0
gene_27,-34.336217732845135,-36.7845651005185,2.448347367673364,0:00:00.370590,0
gene_28,-12.622110667879268,-12.622960049289308,0.0008493814100400954,0:00:00.387038,0
