,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
gene_1,-36.35457189980654,-42.46595095176728,6.111379051960746,0:00:00.255060,0:00:00.255060
gene_2,15.260490965017599,15.260493190117646,0.0,0:00:01.470121,0:00:01.470121
gene_3,-36.696197664859376,-36.15944760875176,0.0,0:00:00.238814,0:00:00.238814
gene_4,22.45339195920434,22.454425762133372,0.0,0:00:01.398515,0:00:01.398515
gene_5,-32.540941997080765,-38.61644069774247,6.075498700661704,0:00:00.233456,0:00:00.233456
gene_6,17.951797306625334,17.952010160237606,0.0,0:00:01.327024,0:00:01.327024
gene_7,-41.00220570774219,-42.33143326690133,1.3292275591591363,0:00:00.230862,0:00:00.230862
gene_8,7.988574982865213,6.940672629459403,1.04790235340581,0:00:01.343937,0:00:01.343937
gene_9,-39.105163346549574,-40.10867307601258,1.0035097294630049,0:00:00.303900,0:00:00.303900
gene_10,11.18632495393538,10.201121778464902,0.9852031754704775,0:00:01.282940,0:00:01.282940
gene_11,-29.992747627060552,-35.41759469919947,5.424847072138917,0:00:00.225872,0:00:00.225872
gene_12,20.561800947076975,20.191901677884296,0.369899269192679,0:00:01.344942,0:00:01.344942
gene_13,-41.13821487913762,-39.567080033117776,0.0,0:00:00.230663,0:00:00.230663
gene_14,14.420568476889542,14.40601375607342,0.014554720816121858,0:00:01.350244,0:00:01.350244
gene_15,-38.089993111501116,-39.210109369056624,1.1201162575555088,0:00:00.237445,0:00:00.237445
gene_16,9.49037308300624,14.517434879753118,0.0,0:00:01.319346,0:00:01.319346
gene_17,-35.66468310580849,-35.66468190641611,0.0,0:00:00.245568,0:00:00.245568
gene_18,12.790737984095674,18.183218066162613,0.0,0:00:01.299203,0:00:01.299203
gene_19,-36.72197454925,-41.17407231161551,4.452097762365511,0:00:00.226921,0:00:00.226921
gene_20,17.420622355070485,17.4111715895529,0.009450765517584614,0:00:01.303393,0:00:01.303393
gene_21,-35.115797745235,-35.02317195760952,0.0,0:00:00.224870,0:00:00.224870
