,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-36.35457189980504,-42.465950951752774,6.111379051947736
gene_2,15.260484872267213,15.260493189914115,-8.317646901900844e-06
gene_3,-36.69619766542053,-36.159447657439216,-0.5367500079813112
gene_4,22.452925355635898,22.454425762127553,-0.0015004064916546156
gene_5,-32.54094199764498,-38.61644069761049,6.0754986999655145
gene_6,15.802550879232463,17.952010160163788,-2.1494592809313247
gene_7,-41.002205708884375,-42.331433267006446,1.3292275581220707
gene_8,7.988574982850096,6.940672623804879,1.0479023590452172
gene_9,-39.105163344011984,-40.10867308127824,1.0035097372662563
gene_10,11.186324953923318,10.201121651219005,0.9852033027043134
gene_11,-29.99274762690517,-35.41759468142662,5.42484705452145
gene_12,19.881826146068676,20.19190167783217,-0.3100755317634949
gene_13,-39.56708439331317,-39.56708003301382,-4.360299350025798e-06
gene_14,14.42056847693712,14.406013713333493,0.014554763603626952
gene_15,-38.089993107424945,-39.21010936905864,1.1201162616336973
gene_16,9.490373082948594,14.51743487968777,-5.027061796739176
gene_17,-35.66469406742016,-35.664681903294685,-1.2164125472224896e-05
gene_18,12.790737986827764,18.183218065880613,-5.392480079052849
gene_19,-39.29619034094362,-41.17407231161305,1.877881970669435
gene_20,17.420622348522926,17.411171587261357,0.00945076126156863
gene_21,-35.11579774533706,-35.02317196484359,-0.0926257804934707
gene_22,20.583090608000873,20.583142705239677,-5.2097238803838763e-05
gene_23,-27.981510588362337,-38.747647130552394,10.766136542190058
gene_24,30.60273061807446,30.602736401312452,-5.783237991607848e-06
gene_25,-35.41190460548325,-38.604919747271886,3.193015141788635
gene_26,10.94575166745976,10.945768806922196,-1.7139462435977748e-05
gene_27,-34.20104683079184,-36.42760915230665,2.2265623215148125
gene_28,12.888170502969807,12.888174254250757,-3.751280949870761e-06
gene_29,-25.795477530541703,-33.50149492813379,7.706017397592085
gene_30,22.63785132748171,22.575602532165398,0.06224879531631089
gene_31,-35.72429396209295,-40.5388141425622,4.814520180469252
gene_32,18.067365305313036,18.067366451445267,-1.1461322309003208e-06
gene_33,-27.11293673132346,-35.636913325071376,8.523976593747914
gene_34,21.33434086785082,21.33434888975222,-8.02190140092307e-06
gene_35,-25.471928471607534,-32.95997937252856,7.488050900921024
gene_36,15.944689307980621,15.933471032402188,0.011218275578432468
gene_37,-41.57659229935926,-41.90970513241725,0.33311283305798867
gene_38,22.749642132205878,22.684281430280784,0.06536070192509413
gene_39,-37.8209688132155,-38.24127213493115,0.4203033217156502
gene_40,26.67914058946028,26.51995406252251,0.15918652693777346
gene_41,-32.458101678187965,-33.56118868715198,1.1030870089640175
gene_42,30.32330108078107,30.323334447129824,-3.336634875239497e-05
gene_43,-31.532335849040457,-37.193308870070524,5.660973021030067
gene_44,23.61557098332096,23.61557519914078,-4.215819817687816e-06
gene_45,-33.636085290231236,-33.138633449028674,-0.4974518412025617
gene_46,8.859989597518059,10.507802390069187,-1.6478127925511288
gene_47,-33.22944167382622,-38.19379141427305,4.964349740446828
gene_48,20.787179647038094,21.475869818930384,-0.68869017189229
gene_49,-43.3676022048278,-44.7989614425384,1.431359237710602
gene_50,14.151202012856746,14.152832015154566,-0.0016300022978192885
gene_51,-38.38284039641357,-38.38251272560363,-0.00032767080993778563
gene_52,18.40638659936166,18.406388033155856,-1.4337941962594414e-06
gene_53,-33.48785613824866,-34.67357173154535,1.1857155932966918
gene_54,17.264315361369093,17.264404407550042,-8.904618094973671e-05
gene_55,-40.22214723596207,-43.17231943659909,2.95017220063702
gene_56,16.685726441332235,16.670019456578885,0.01570698475335064
gene_57,-37.06043746317853,-39.97611635334428,2.9156788901657507
gene_58,19.748854458896727,19.57480605869351,0.17404840020321544
gene_59,-34.534456082202055,-35.13544873029083,0.6009926480887771
gene_60,35.712208860184745,35.712295047202055,-8.618701730966905e-05
gene_61,-31.175019735383856,-36.517891739905664,5.3428720045218085
gene_62,19.590289422003927,19.488497670082822,0.10179175192110534
gene_63,-21.451769186902563,-35.011087198770184,13.55931801186762
gene_64,21.10964803855098,21.1096483008916,-2.623406203383638e-07
gene_65,-32.707892301372745,-33.46583945717172,0.7579471557989734
gene_66,23.689513188750126,23.689514417166585,-1.228416458332049e-06
gene_67,-44.60610449809492,-44.605994488994696,-0.00011000910022573862
gene_68,11.151794649134246,11.151860300744044,-6.565160979832285e-05
gene_69,-39.61892347517336,-39.899850321650504,0.2809268464771435
gene_70,20.81474787885275,20.816554560858492,-0.0018066820057427435
gene_71,-31.302593534259916,-31.30254166938293,-5.186487698694009e-05
gene_72,23.235412544276073,23.235497764089224,-8.521981315112725e-05
gene_73,-42.506191668175916,-42.50593418440495,-0.000257483770965905
gene_74,16.31161084906944,16.311622784249025,-1.1935179585975675e-05
gene_75,-43.086930284362765,-43.08663159771629,-0.0002986866464738114
gene_76,16.79501957672234,16.795513606069598,-0.0004940293472586177
gene_77,-36.35753119899606,-36.874235549503524,0.5167043505074673
gene_78,16.734315875784574,17.951963039933588,-1.2176471641490139
gene_79,-34.89011678886542,-42.11314418188003,7.223027393014611
gene_80,15.092936148977174,14.80021795077662,0.29271819820055356
gene_81,-33.297995254783594,-37.432655123738826,4.134659868955232
gene_82,16.824593094921386,16.780192791161834,0.04440030375955217
gene_83,-33.009932130918465,-36.78075031433008,3.7708181834116132
gene_84,23.411138640792753,23.411498867484,-0.0003602266912459129
gene_85,-35.88121098154227,-37.25455048450636,1.3733395029640931
gene_86,16.75727770160807,18.71296542640919,-1.9556877248011197
gene_87,-32.860427066385704,-34.28350422208551,1.4230771556998079
gene_88,26.2962228029906,28.630545130273443,-2.3343223272828446
gene_89,-25.5560823131581,-25.556081156570652,-1.1565874480368166e-06
gene_90,29.879236625375416,29.879242409116536,-5.783741119813612e-06
gene_91,-38.657426096816906,-43.490475673575645,4.833049576758739
gene_92,17.39719100759878,17.39743109617068,-0.00024008857189983246
gene_93,-32.61995480587647,-39.644747710047554,7.024792904171086
gene_94,19.37933134113168,19.379493433870834,-0.0001620927391527971
gene_95,-27.194468114793963,-36.15450217698826,8.960034062194296
gene_96,20.903920265623327,20.903921467811898,-1.2021885709145863e-06
gene_97,-36.32133101831414,-36.79671839670141,0.47538737838726774
