,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_1,-24.912740876640555,-29.091485964639155,4.1787450879986,0:00:00.378284,0
gene_2,-16.770225555221813,-16.77020687663444,-1.867858737369943e-05,0:00:00.386153,0
gene_3,-25.59113547716406,-26.416524821150546,0.8253893439864868,0:00:00.367354,0
gene_4,-13.044524442763404,-12.153129111102643,-0.8913953316607603,0:00:00.369720,0
gene_5,-25.549994733014454,-36.0740904995293,10.524095766514844,0:00:00.382836,0
gene_6,-14.490703680813255,-14.490705138300932,1.4574876772144307e-06,0:00:00.401010,0
gene_7,-20.688655392630558,-21.98311865976708,1.2944632671365213,0:00:00.371739,0
gene_8,-18.66015045526264,-18.660128308856443,-2.2146406198686464e-05,0:00:00.383000,0
gene_9,-27.008233629021603,-31.911802956827444,4.90356932780584,0:00:00.372257,0
gene_10,-20.840182408497814,-20.840162829160942,-1.9579336871800024e-05,0:00:00.398495,0
gene_11,-28.00541224643574,-34.2445908871391,6.239178640703358,0:00:00.364891,0
gene_12,-15.12745975162582,-15.12741062187092,-4.912975489901328e-05,0:00:00.394109,0
gene_13,-29.026142246517523,-32.97356671687581,3.9474244703582855,0:00:00.365619,0
gene_14,-17.689413153249333,-18.076296891404912,0.3868837381555785,0:00:00.373043,0
gene_15,-26.7264435993427,-32.64172002695185,5.91527642760915,0:00:00.370137,0
gene_16,-13.017778183360328,-13.020958537211536,0.003180353851208295,0:00:00.384055,0
gene_17,-25.159817969635743,-29.265055376674265,4.105237407038523,0:00:00.366018,0
gene_18,-11.063066003464833,-10.444396752419468,-0.6186692510453646,0:00:00.378100,0
gene_19,-25.35660597660253,-30.57522328720744,5.218617310604909,0:00:00.368029,0
gene_20,-18.126050933413197,-18.125984460066334,-6.647334686249451e-05,0:00:00.386409,0
gene_21,-26.357352487920153,-26.70166416551958,0.3443116775994284,0:00:00.370877,0
gene_22,-11.883037563369387,-11.88303387999596,-3.6833734267105456e-06,0:00:00.391704,0
gene_23,-24.680424638859826,-33.65704084818978,8.976616209329954,0:00:00.443635,0
gene_24,-11.806141291949098,-11.83727809121201,0.031136799262911907,0:00:00.382365,0
gene_25,-31.237160757455186,-31.42430856446168,0.18714780700649314,0:00:00.368213,0
gene_26,-7.927672926573472,-7.927523252915428,-0.0001496736580435254,0:00:00.386432,0
gene_27,-28.67496445593968,-29.67354184039528,0.9985773844556007,0:00:00.367086,0
gene_28,-1.9378949689206557,-2.204559629607566,0.2666646606869101,0:00:00.374963,0
gene_29,-29.183611812905717,-32.35016566812888,3.166553855223164,0:00:00.362828,0
gene_30,-10.95732168334392,-11.628693257191307,0.6713715738473862,0:00:00.405984,0
gene_31,-31.66369588952082,-32.96978444012746,1.306088550606642,0:00:00.430322,0
gene_32,-16.069036612508004,-16.24407138263512,0.175034770127116,0:00:00.387135,0
gene_33,-31.10100528764813,-30.15710919484693,-0.9438960928012001,0:00:00.398486,0
gene_34,-9.537505049571866,-9.694740379411213,0.15723532983934696,0:00:00.386932,0
gene_35,-29.750176057549513,-34.51677279880949,4.766596741259978,0:00:00.375310,0
gene_36,-10.39955005011073,-10.399507376410222,-4.267370050747843e-05,0:00:00.447765,0
gene_37,-28.331210811888745,-29.054001035507447,0.722790223618702,0:00:00.378065,0
gene_38,-22.83115094565055,-22.310935835858526,-0.5202151097920229,0:00:00.382567,0
gene_39,-25.936090513848804,-29.77938011902768,3.843289605178878,0:00:00.368634,0
gene_40,-18.415869216082328,-18.415868538648596,-6.774337322212887e-07,0:00:00.396307,0
gene_41,-26.731488431870854,-35.59314460391763,8.861656172046775,0:00:00.398779,0
gene_42,-11.468163581416647,-13.45617006306751,1.9880064816508636,0:00:00.376530,0
gene_43,-32.22272499097968,-37.01175297510311,4.789027984123429,0:00:00.367619,0
gene_44,-18.897023853223324,-18.896999460868674,-2.4392354649904746e-05,0:00:00.385976,0
gene_45,-27.204363560954306,-32.55458261273614,5.350219051781835,0:00:00.371626,0
gene_46,-12.30086683720072,-12.300835034512556,-3.18026881647171e-05,0:00:00.406121,0
gene_47,-26.471806178132756,-26.695836637790954,0.22403045965819857,0:00:00.371748,0
gene_48,-9.594272762926522,-10.081736998631973,0.48746423570545083,0:00:00.379601,0
gene_49,-25.442356719151007,-30.821290485275597,5.3789337661245895,0:00:00.367417,0
gene_50,-19.341132654354872,-19.340955801033573,-0.00017685332129957487,0:00:00.386656,0
gene_51,-28.712033085278932,-31.739364038599888,3.0273309533209556,0:00:00.374566,0
gene_52,-15.814977470788481,-16.050725881877,0.23574841108851885,0:00:00.375830,0
gene_53,-28.05975121409674,-29.725872348854036,1.6661211347572973,0:00:00.372870,0
gene_54,-12.496572167192934,-12.496523094005603,-4.907318733060606e-05,0:00:00.389960,0
gene_55,-32.499989999154636,-32.75818245255091,0.2581924533962763,0:00:00.374724,0
gene_56,-18.63404455754006,-19.5184722972391,0.8844277396990385,0:00:00.376298,0
gene_57,-25.87657960004754,-33.686398942643436,7.8098193425958975,0:00:00.366840,0
gene_58,-13.992372534730634,-14.651015653129365,0.6586431183987305,0:00:00.375777,0
gene_59,-32.72104528012421,-35.83320894391237,3.1121636637881593,0:00:00.370478,0
gene_60,-9.065041120110475,-10.43386491665238,1.3688237965419052,0:00:00.378942,0
gene_61,-32.44314636098797,-34.94986326552865,2.5067169045406814,0:00:00.367720,0
