,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_1,-19.997166053155578,-25.91414898892175,5.916982935766171,0:00:00.856198,0
gene_2,16.18010432684485,16.180035157834908,6.916900994369257e-05,0:00:00.600786,0
gene_3,-25.793073684769983,-25.76741980650324,-0.02565387826674126,0:00:00.564250,0
gene_4,28.597176105457088,28.597185787978564,-9.682521476150896e-06,0:00:00.619847,0
gene_5,-25.56767173758256,-34.01385613653483,8.446184398952266,0:00:00.491057,0
gene_6,22.683044345181667,22.683220438528366,-0.00017609334669899113,0:00:00.794645,0
gene_7,-24.186695569722385,-29.014639204875458,4.827943635153073,0:00:00.594699,0
gene_8,16.14537737767285,16.145378176956868,-7.992840167503346e-07,0:00:00.491642,0
gene_9,-19.96701786008118,-26.21471788155749,6.247700021476309,0:00:00.506814,0
gene_10,17.888062791527727,17.888066590459765,-3.7989320382791902e-06,0:00:00.919612,0
gene_11,-22.63593050517397,-28.127508661035666,5.491578155861696,0:00:00.457906,0
gene_12,24.44125040860363,24.402628927997515,0.038621480606114034,0:00:00.468663,0
gene_13,-27.29554993465477,-29.791664723176694,2.4961147885219255,0:00:00.529600,0
gene_14,15.778838690467936,15.77885620740333,-1.751693539375765e-05,0:00:00.551591,0
gene_15,-19.967172986660533,-25.859923406077673,5.8927504194171405,0:00:00.450028,0
gene_16,23.847880587764564,23.84837045339837,-0.0004898656338063745,0:00:00.552017,0
gene_17,-21.567125921400606,-23.489986014408647,1.9228600930080404,0:00:00.515141,0
gene_18,28.46031756018785,28.46034362613724,-2.6065949391806953e-05,0:00:00.459507,0
gene_19,-30.51510013069125,-29.532474987643738,-0.9826251430475104,0:00:00.504703,0
gene_20,21.502169659644714,17.63602811436812,3.8661415452765944,0:00:00.454865,0
gene_21,-24.55814728297163,-25.539109088468003,0.9809618054963742,0:00:00.482373,0
gene_22,24.410244770086543,21.84617704224345,2.564067727843092,0:00:00.511290,0
gene_23,-24.746159247859673,-35.50451523745451,10.75835598959484,0:00:00.552296,0
gene_24,28.193205403859075,26.71583002524582,1.4773753786132566,0:00:00.472764,0
gene_25,-26.58278821825891,-26.582780887002553,-7.331256355769256e-06,0:00:00.528796,0
gene_26,15.881917322820158,17.78395005598873,-1.9020327331685714,0:00:00.528666,0
gene_27,-27.163827828036208,-32.84930809349193,5.68548026545572,0:00:00.534913,0
gene_28,25.139038376836623,25.139041799955763,-3.423119139256414e-06,0:00:00.843814,0
gene_29,-23.98235157580708,-32.69266226969455,8.710310693887472,0:00:00.502652,0
gene_30,27.299571869999983,27.299575629054427,-3.7590544437193785e-06,0:00:00.638877,0
gene_31,-25.358038141111525,-25.441241854593734,0.08320371348220945,0:00:00.538894,0
gene_32,12.535075221936818,12.535140926951886,-6.570501506786286e-05,0:00:00.559863,0
gene_33,-22.648119058529456,-25.121032701730062,2.472913643200606,0:00:00.634760,0
gene_34,17.35169643271935,17.245076478631027,0.10661995408832325,0:00:00.492947,0
gene_35,-23.978101112239635,-26.867421680414036,2.8893205681744014,0:00:00.477155,0
gene_36,19.44342429831738,19.443425429769945,-1.131452563640778e-06,0:00:00.620460,0
gene_37,-25.630642248620475,-25.84266497974776,0.2120227311272842,0:00:00.479275,0
gene_38,16.869985886462928,16.870679554842823,-0.0006936683798954846,0:00:00.467455,0
gene_39,-22.266492892745823,-28.011219126470117,5.744726233724293,0:00:00.413246,0
gene_40,27.318846596995662,27.31886578854194,-1.9191546279273552e-05,0:00:00.532582,0
gene_41,-16.71942268597828,-35.35923695991222,18.639814273933936,0:00:00.425714,0
gene_42,22.148419006220326,22.068539731463943,0.07987927475638301,0:00:00.519906,0
gene_43,-27.3078302670653,-27.30882575539784,0.0009954883325420383,0:00:00.428192,0
gene_44,7.665341995785507,11.343767788187105,-3.6784257924015975,0:00:00.418223,0
gene_45,-26.003909411514183,-26.003863340285836,-4.6071228346988846e-05,0:00:00.446499,0
gene_46,12.900073848837366,16.05275575657549,-3.152681907738124,0:00:00.455581,0
gene_47,-26.40638045154333,-31.8406928307461,5.434312379202769,0:00:00.446409,0
gene_48,18.531486575326774,22.38594388639116,-3.8544573110643867,0:00:00.444191,0
gene_49,-31.654717485885087,-33.516226075584704,1.8615085896996177,0:00:00.429527,0
gene_50,15.510111149650172,15.51011131976395,-1.7011377906328562e-07,0:00:00.475763,0
gene_51,-25.90225280299412,-27.616412516998416,1.7141597140042961,0:00:00.435933,0
gene_52,18.66677971128523,18.66675398995337,2.5721331859074326e-05,0:00:00.477281,0
gene_53,-29.253204962638232,-29.253194027722927,-1.093491530568258e-05,0:00:00.457601,0
gene_54,24.996632651325605,24.059036068804676,0.9375965825209285,0:00:00.708680,0
gene_55,-34.209021171002995,-35.20612357335864,0.9971024023556438,0:00:00.433671,0
gene_56,14.863688827592114,14.863698629148875,-9.801556760891117e-06,0:00:00.483184,0
gene_57,-29.300425746917114,-30.955637869615032,1.6552121226979182,0:00:00.427957,0
gene_58,25.08277158937893,25.08277278034378,-1.1909648520713745e-06,0:00:00.450397,0
gene_59,-28.17521075749506,-33.09784655092785,4.922635793432789,0:00:00.483759,0
gene_60,27.132245623704826,27.132247110370997,-1.4866661715018381e-06,0:00:00.739998,0
gene_61,-31.8469583670381,-35.29406334247945,3.4471049754413485,0:00:00.423451,0
gene_62,17.31736308838316,17.31736666833227,-3.579949108711844e-06,0:00:00.464761,0
gene_63,-29.122041677272577,-32.104970684306195,2.9829290070336185,0:00:00.449045,0
gene_64,21.585786752388348,21.585788681386084,-1.9289977366554467e-06,0:00:00.812286,0
gene_65,-29.529345327552072,-32.87881460021485,3.3494692726627804,0:00:00.482759,0
gene_66,27.619789267593788,27.61986318226677,-7.391467298134557e-05,0:00:00.579624,0
gene_67,-34.40028771132013,-37.87667634919773,3.476388637877598,0:00:00.478625,0
gene_68,15.93840614644834,15.938517806628742,-0.00011166018040142944,0:00:00.451021,0
