,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_1,-119.09226987022461,-124.35754929470605,5.2652794244814345,0:00:01.866254,0
gene_2,-137.89345118772363,-137.88834357393634,-0.005107613787288301,0:00:01.877530,0
gene_3,-140.86521089045883,-141.18838589666979,0.32317500621095974,0:00:01.886623,0
gene_4,-144.12704432418556,-143.84240133264092,-0.28464299154464356,0:00:01.922063,0
gene_5,-167.97170763133295,-173.10998141942153,5.138273788088583,0:00:01.939261,0
gene_6,-163.59214911304838,-163.45008969119849,-0.1420594218498934,0:00:02.013260,0
gene_7,-117.80747271481546,-119.99806583898048,2.1905931241650194,0:00:01.796652,0
gene_8,-121.1555675415259,-121.15902144492608,0.003453903400185254,0:00:02.203144,0
gene_9,-124.3116581615299,-124.28273236474061,-0.028925796789295077,0:00:01.824156,0
gene_10,-129.00115024054983,-128.91311288618343,-0.08803735436640636,0:00:01.951680,0
gene_11,-155.5645502490668,-159.0534086253221,3.4888583762553083,0:00:01.874251,0
gene_12,-159.15091572058188,-159.02133064327288,-0.12958507730900237,0:00:02.114700,0
gene_13,-138.42336795057912,-138.540748352436,0.11738040185687737,0:00:02.019086,0
gene_14,-133.69651273097816,-133.4122780888568,-0.28423464212136196,0:00:01.932940,0
gene_15,-146.3058153572879,-150.8502758779723,4.544460520684396,0:00:01.947054,0
gene_16,-160.4927286015537,-160.27414865742998,-0.21857994412371795,0:00:01.934306,0
gene_17,-151.8501610914402,-154.66080491494532,2.810643823505103,0:00:02.057582,0
gene_18,-153.59021742841236,-153.15119089488968,-0.4390265335226786,0:00:02.019477,0
gene_19,-121.58508587756843,-121.84260792072776,0.2575220431593266,0:00:02.060913,0
gene_20,-128.1867813362165,-128.30746830620524,0.12068696998872497,0:00:01.970248,0
gene_21,-135.25933406655489,-146.90449277719978,11.645158710644893,0:00:02.046754,0
gene_22,-156.24532100116983,-156.08846478585957,-0.15685621531025618,0:00:01.944914,0
gene_23,-142.63581771718026,-154.52689976602136,11.891082048841099,0:00:01.982436,0
gene_24,-162.14846634887348,-161.62620107637176,-0.5222652725017269,0:00:02.075839,0
gene_25,-145.4155499566263,-149.25177249795232,3.836222541326009,0:00:01.861000,0
gene_26,-149.40388518628626,-149.38564303048148,-0.018242155804784943,0:00:01.926792,0
gene_27,-143.65546285026844,-147.29928396797033,3.64382111770189,0:00:01.854304,0
gene_28,-140.44971135819557,-140.41389849840908,-0.03581285978648907,0:00:02.046825,0
gene_29,-148.52799936132098,-158.42877016771396,9.900770806392984,0:00:01.978203,0
gene_30,-143.85089418749033,-142.4500156053526,-1.4008785821377217,0:00:02.298650,0
gene_31,-136.92635017539925,-141.00290775212872,4.076557576729471,0:00:01.939334,0
gene_32,-149.83103501399415,-149.49364664280145,-0.33738837119270215,0:00:01.911769,0
gene_33,-144.74303227448405,-151.4622452526301,6.719212978146061,0:00:01.894490,0
gene_34,-163.0220720070543,-162.53074743109292,-0.4913245759613858,0:00:01.946406,0
gene_35,-152.39745951935907,-157.39911730271066,5.00165778335159,0:00:01.914231,0
gene_36,-158.30700743805158,-158.2427116097072,-0.06429582834439884,0:00:02.038898,0
gene_37,-132.6870563705301,-132.68695254025866,-0.0001038302714277961,0:00:03.037520,0
gene_38,-143.10896277593264,-142.54372290128893,-0.5652398746437086,0:00:02.051617,0
gene_39,-140.78220016858424,-140.9946863596682,0.21248619108396838,0:00:01.892492,0
gene_40,-149.10364583892212,-148.69307124817186,-0.41057459075025804,0:00:02.055050,0
gene_41,-161.753889574384,-165.5489974451267,3.7951078707426973,0:00:01.820766,0
gene_42,-160.93418413595055,-161.4515569589991,0.5173728230485608,0:00:01.977394,0
gene_43,-122.54638823259143,-122.54711496356775,0.0007267309763250296,0:00:01.982702,0
gene_44,-112.72211448251834,-112.06578339834172,-0.6563310841766139,0:00:01.983888,0
gene_45,-133.3440969369068,-141.53115747490673,8.18706053799994,0:00:02.022205,0
gene_46,-148.04745057217818,-147.59742096415357,-0.45002960802460734,0:00:01.934917,0
gene_47,-162.7359228544982,-164.38862506073147,1.652702206233272,0:00:01.927564,0
gene_48,-160.92597724376742,-160.54247543078264,-0.38350181298477537,0:00:01.954451,0
gene_49,-135.7323327008119,-142.44533351862043,6.713000817808535,0:00:01.842788,0
gene_50,-168.88024618887127,-168.3010448634197,-0.579201325451578,0:00:02.047544,0
gene_51,-140.29755266613725,-149.93685169215817,9.639299026020922,0:00:01.852851,0
gene_52,-157.80237397270037,-157.1326326615338,-0.6697413111665753,0:00:02.102911,0
gene_53,-164.93128869744464,-164.72555419728016,-0.20573450016448191,0:00:01.827345,0
gene_54,-162.02582743873867,-161.26044021563146,-0.7653872231072114,0:00:02.396325,0
gene_55,-112.34129682261552,-121.13067369087429,8.78937686825877,0:00:01.897316,0
gene_56,-138.41431732392283,-138.19218493103102,-0.2221323928918082,0:00:01.887181,0
gene_57,-136.7572591180058,-137.75494729048862,0.9976881724828104,0:00:01.954428,0
gene_58,-145.33424307058806,-145.5559772284014,0.22173415781333006,0:00:01.965850,0
gene_59,-150.79553148495037,-155.33200495262759,4.536473467677212,0:00:01.959047,0
