,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_1,-121.1530500377869,-126.78355757985749,5.630507542070589,0:00:02.294584,0
gene_2,-110.11768134424304,-107.21317309189082,-2.9045082523522154,0:00:04.667575,0
gene_3,-141.3681138888089,-141.82071569740776,0.452601808598871,0:00:02.823907,0
gene_4,-106.23067227342986,-103.58310089741313,-2.647571376016728,0:00:05.919559,0
gene_5,-159.87825994568263,-163.48178886716448,3.6035289214818533,0:00:02.566014,0
gene_6,-130.3735325480744,-128.5676022294692,-1.805930318605192,0:00:06.440240,0
gene_7,-151.13387605648924,-157.06228738327314,5.928411326783902,0:00:02.748466,0
gene_8,-146.92343157889937,-147.83788484781107,0.9144532689117,0:00:05.642678,1
gene_9,-151.2672704059286,-156.58975714320854,5.322486737279945,0:00:02.699552,0
gene_10,-134.79556144098345,-135.39316958322607,0.5976081422426205,0:00:04.301490,0
gene_11,-157.11607897947215,-164.03497631485965,6.9188973353874985,0:00:03.102829,0
gene_12,-130.0627944884414,-129.5092021718174,-0.5535923166239911,0:00:06.769935,0
gene_13,-141.98939924106466,-144.00048560327772,2.0110863622130637,0:00:02.466040,0
gene_14,-128.7977261837909,-127.70317873910174,-1.0945474446891552,0:00:04.475671,0
gene_15,-148.45805464624644,-155.12285427785008,6.664799631603643,0:00:02.395827,0
gene_16,-132.92092226072114,-130.76864358479247,-2.1522786759286703,0:00:05.362673,0
gene_17,-153.3387075535974,-155.77479185218587,2.4360842985884688,0:00:02.695059,0
gene_18,-124.80563111617609,-122.75064895877684,-2.0549821573992517,0:00:05.499783,0
gene_19,-112.89269077353,-116.98595199794508,4.093261224415073,0:00:02.382286,0
gene_20,-99.6609555860873,-97.94450864860687,-1.716446937480427,0:00:04.908527,0
gene_21,-130.25054436353147,-133.47417470558648,3.223630342055003,0:00:02.423225,0
gene_22,-107.6821951847193,-105.4406528663279,-2.24154231839141,0:00:06.385883,0
gene_23,-153.57806739411504,-167.60914751623997,14.031080122124933,0:00:03.018959,0
gene_24,-126.46521108628569,-134.92204369519106,8.456832608905373,0:00:06.797655,0
gene_25,-118.95730871166752,-120.25702358903652,1.2997148773689986,0:00:02.955463,0
gene_26,-92.40625597524875,-90.44216609129285,-1.9640898839559071,0:00:04.160739,0
gene_27,-125.84745257951897,-128.17490534579483,2.3274527662758544,0:00:02.293578,0
gene_28,-103.75444186459579,-101.77986678318412,-1.9745750814116718,0:00:04.780180,0
gene_29,-137.74849985551546,-146.7468893344662,8.998389478950742,0:00:02.637259,0
gene_30,-108.88867351892914,-107.41856727364704,-1.4701062452820963,0:00:06.501682,0
gene_31,-132.49972220844302,-138.92355750192917,6.42383529348615,0:00:02.360636,0
gene_32,-111.98778676000134,-109.70281277752783,-2.2849739824735167,0:00:04.288919,0
gene_33,-129.4494702428005,-137.69412400558403,8.244653762783543,0:00:03.108490,0
gene_34,-99.50105631929365,-97.30410490167704,-2.196951417616617,0:00:05.796999,0
gene_35,-151.03687821801597,-156.67568620556904,5.638807987553065,0:00:02.385348,0
gene_36,-129.16725123585968,-127.82716120559152,-1.3400900302681578,0:00:05.831957,0
gene_37,-142.7070496861727,-148.0154302885528,5.308380602380112,0:00:02.595546,0
gene_38,-119.89334630125236,-117.85027209594165,-2.0430742053107167,0:00:04.473756,0
gene_39,-139.38720926832497,-144.7330676269763,5.345858358651327,0:00:02.520043,0
gene_40,-108.34061494414641,-105.78591278848259,-2.5547021556638185,0:00:06.834742,0
gene_41,-158.92714960353294,-163.27171169792044,4.3445620943874985,0:00:03.182156,0
gene_42,-126.64923870998713,-126.062234705962,-0.5870040040251325,0:00:05.613615,0
gene_43,-112.69100469620116,-119.63100286196789,6.939998165766724,0:00:02.292839,0
gene_44,-87.7321648359804,-85.24298863811342,-2.489176197866982,0:00:03.538634,0
gene_45,-124.39215015363698,-126.03209521332796,1.6399450596909873,0:00:02.448299,0
gene_46,-93.66977588908901,-89.835314078295,-3.8344618107940107,0:00:02.729696,0
gene_47,-141.62012660657467,-160.92730314200037,19.307176535425697,0:00:02.493885,0
gene_48,-118.54431017312479,-116.49612856640552,-2.048181606719268,0:00:03.745464,0
gene_49,-142.2309994053131,-148.98830798738996,6.75730858207686,0:00:05.028040,0
gene_50,-148.41932098601887,-146.66880368865154,-1.7505172973673382,0:00:05.316673,1
gene_51,-148.7198353420076,-155.56942608298723,6.849590740979636,0:00:02.765947,0
gene_52,-137.4085024500832,-135.05083741072903,-2.357665039354174,0:00:07.487924,0
gene_53,-174.0382677096889,-178.37696025443728,4.338692544748369,0:00:02.962180,0
gene_54,-140.0996426708461,-136.8310834431421,-3.268559227704003,0:00:06.042248,0
gene_55,-116.44005643399038,-125.13998176769759,8.699925333707213,0:00:02.394310,0
gene_56,-113.72760857323125,-111.29846249982373,-2.429146073407523,0:00:06.528259,0
gene_57,-135.3880549914738,-135.38799556630008,-5.942517373114242e-05,0:00:03.293476,0
gene_58,-113.27830749194317,-110.97404481190104,-2.304262680042129,0:00:06.130476,0
gene_59,-157.1580737803868,-163.45173246364632,6.293658683259537,0:00:02.557237,0
gene_60,-133.62741587062237,-132.38071329834108,-1.2467025722812934,0:00:11.001820,0
gene_61,-116.46561510506174,-124.31716403352551,7.851548928463771,0:00:03.915620,0
gene_62,-106.92286771881844,-105.46603535909537,-1.456832359723066,0:00:08.478651,0
gene_63,-127.18143949919812,-127.18142767062304,-1.1828575082972748e-05,0:00:03.193218,0
gene_64,-97.06595037260071,-95.72919896022545,-1.3367514123752642,0:00:05.420384,0
gene_65,-166.24695888498732,-166.9043500381032,0.6573911531158672,0:00:02.656271,0
gene_66,-119.61332673936407,-118.60778944152813,-1.005537297835943,0:00:08.028085,0
gene_67,-130.9158902921191,-130.9274069072545,0.011516615135406028,0:00:02.732781,0
gene_68,-111.97400563772892,-110.70036926720178,-1.273636370527143,0:00:05.784658,0
gene_69,-153.8302372499254,-159.9896847444811,6.159447494555707,0:00:03.345527,0
gene_70,-145.10709383589617,-143.92428658221093,-1.1828072536852403,0:00:05.724558,1
gene_71,-160.8421480226575,-163.7591873553726,2.917039332715092,0:00:03.360278,0
