,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
gene_1,-36.02915190486806,-39.817125829045516,3.7879739241774573,0:00:00.944218,0:00:00.944218
gene_2,-74.90476513831194,-74.90465431719174,0.0,0:00:01.263113,0:00:01.263113
gene_3,-44.28656920268067,-45.88222650117585,1.5956572984951833,0:00:00.884787,0:00:00.884787
gene_4,-72.92559675336732,-72.22644307534692,0.0,0:00:00.990371,0:00:00.990371
gene_5,-65.60165461642315,-75.82709398184619,10.225439365423043,0:00:00.942561,0:00:00.942561
gene_6,-88.38954447586832,-88.38939958637357,0.0,0:00:01.400004,0:00:01.400004
gene_7,-26.689130643704374,-28.633214494298997,1.9440838505946232,0:00:00.959245,0:00:00.959245
gene_8,-67.16130602170593,-67.16127752543683,0.0,0:00:01.224809,0:00:01.224809
gene_9,-48.18311730216596,-53.25668162451748,5.0735643223515225,0:00:01.978876,0:00:01.978876
gene_10,-87.02727711701306,-87.02721607160818,0.0,0:00:01.312670,0:00:01.312670
gene_11,-64.19299028218973,-69.32270768435438,5.129717402164658,0:00:00.928599,0:00:00.928599
gene_12,-85.68035764343395,-85.68009398083709,0.0,0:00:01.468762,0:00:01.468762
gene_13,-45.77914335688116,-50.10607548928847,4.326932132407315,0:00:00.923294,0:00:00.923294
gene_14,-100.60199410078786,-101.3463549627146,0.7443608619267366,0:00:01.152070,0:00:01.152070
gene_15,-51.279699388421975,-57.571858660024276,6.292159271602301,0:00:00.951576,0:00:00.951576
gene_16,-91.65486594058046,-91.74343217705494,0.08856623647447748,0:00:01.362469,0:00:01.362469
gene_17,-53.39697458388249,-58.14614526029737,4.749170676414877,0:00:00.957086,0:00:00.957086
gene_18,-85.43275868449196,-85.449437245942,0.016678561450035545,0:00:01.561947,0:00:01.561947
gene_19,-40.01669251984863,-47.14727780675703,7.130585286908399,0:00:00.927517,0:00:00.927517
gene_20,-78.17216079001166,-78.17215015461508,0.0,0:00:01.288750,0:00:01.288750
gene_21,-45.86287088660224,-47.24562783510241,1.3827569485001732,0:00:00.895823,0:00:00.895823
gene_22,-67.70558929145761,-67.70542661782376,0.0,0:00:01.349783,0:00:01.349783
gene_23,-63.95055070885292,-74.59113189222025,10.640581183367324,0:00:00.951130,0:00:00.951130
gene_24,-78.74060432714906,-78.74148416363023,0.000879836481175289,0:00:01.346541,0:00:01.346541
gene_25,-37.07249744967168,-38.253465209444414,1.1809677597727344,0:00:01.971339,0:00:01.971339
gene_26,-68.40263257261897,-68.40245019886135,0.0,0:00:01.570249,0:00:01.570249
gene_27,-49.14048371530194,-51.13444219666953,1.9939584813675921,0:00:00.897230,0:00:00.897230
gene_28,-66.31224144738191,-66.60638151751549,0.29414007013357946,0:00:01.692853,0:00:01.692853
gene_29,-55.62931455816406,-58.33294718016292,2.7036326219988567,0:00:00.940471,0:00:00.940471
gene_30,-84.77538961272438,-85.28317973862957,0.5077901259051885,0:00:01.414276,0:00:01.414276
gene_31,-40.32884643299047,-43.640241181320846,3.311394748330379,0:00:00.948012,0:00:00.948012
gene_32,-83.69224713252116,-84.13862913409928,0.44638200157811525,0:00:01.115855,0:00:01.115855
gene_33,-45.947271404419865,-46.103720993335884,0.15644958891601846,0:00:00.919169,0:00:00.919169
gene_34,-75.96674398141117,-76.22051918013642,0.25377519872525056,0:00:01.275301,0:00:01.275301
gene_35,-61.33228383460781,-64.60817477347648,3.2758909388686703,0:00:00.915266,0:00:00.915266
gene_36,-86.46532635633031,-85.91923560501691,0.0,0:00:01.327303,0:00:01.327303
gene_37,-32.483261157376994,-37.10496203775559,4.621700880378597,0:00:00.929047,0:00:00.929047
gene_38,-97.76844246980923,-97.12957865664151,0.0,0:00:01.055815,0:00:01.055815
gene_39,-36.478127371206895,-41.03338202675326,4.5552546555463636,0:00:01.067434,0:00:01.067434
gene_40,-91.43434432867441,-91.43407031802278,0.0,0:00:01.377171,0:00:01.377171
gene_41,-62.63381654281112,-70.83425007678605,8.20043353397493,0:00:00.921755,0:00:00.921755
gene_42,-90.1317487342343,-92.0762867381924,1.944538003958101,0:00:01.080882,0:00:01.080882
gene_43,-51.672735254126295,-54.58661716163081,2.9138819075045177,0:00:00.931479,0:00:00.931479
gene_44,-93.75167094094887,-93.75151831771862,0.0,0:00:01.372568,0:00:01.372568
gene_45,-55.172104702098004,-61.5367317627125,6.364627060614495,0:00:00.922756,0:00:00.922756
gene_46,-83.33441388127058,-83.33256088854996,0.0,0:00:01.449871,0:00:01.449871
gene_47,-68.16977235896849,-69.66276160550301,1.4929892465345205,0:00:00.975774,0:00:00.975774
gene_48,-87.45002180951866,-88.27637549810831,0.8263536885896485,0:00:01.566123,0:00:01.566123
gene_49,-43.545497352494465,-49.297958443781326,5.752461091286861,0:00:00.977979,0:00:00.977979
gene_50,-77.6681664262485,-77.6681010113807,0.0,0:00:01.260827,0:00:01.260827
gene_51,-49.31821744431811,-53.989185628755706,4.670968184437598,0:00:00.939090,0:00:00.939090
gene_52,-89.31966584830575,-89.93274354384654,0.6130776955407953,0:00:01.167861,0:00:01.167861
gene_53,-84.71351369450834,-85.17684498522682,0.4633312907184859,0:00:00.965501,0:00:00.965501
