,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio
gene_1,-36.02915279787367,-46.15262259579714,10.12346979792347
gene_2,-74.90477617063067,-74.90465493082458,-0.00012123980609146656
gene_3,-44.28656920955656,-48.400585788273474,4.114016578716914
gene_4,-72.92558986622461,-72.26216339439014,-0.6634264718344696
gene_5,-65.6016544842318,-98.13212541520475,32.53047093097295
gene_6,-88.38947644998004,-88.3893996683775,-7.6781602544429e-05
gene_7,-26.689130570590194,-31.171311163903347,4.482180593313153
gene_8,-67.16129867232432,-67.1612775749826,-2.1097341715403672e-05
gene_9,-48.183114939240866,-67.13559436020498,18.95247942096411
gene_10,-87.02727381509145,-87.02721665015942,-5.71649320306733e-05
gene_11,-64.19299008599707,-89.6779744766957,25.484984390698628
gene_12,-85.68019581759742,-85.68009491009462,-0.00010090750279800886
gene_13,-45.779143686194566,-56.38522801017215,10.606084323977583
gene_14,-100.60325432060918,-101.46989639386805,0.8666420732588733
gene_15,-51.27969967733821,-66.14491094659073,14.86521126925252
gene_16,-91.65489411793159,-91.75070821883317,0.0958141009015776
gene_17,-53.396982466957304,-70.59070083650683,17.193718369549522
gene_18,-85.43277000185593,-85.45053655783423,0.017766555978298015
gene_19,-40.01669239094152,-63.944850950145465,23.928158559203943
gene_20,-78.17241722568616,-78.17217666499167,-0.00024056069449329698
gene_21,-45.86287085091529,-47.67410637836322,1.811235527447927
gene_22,-67.7054942318618,-67.70542665001207,-6.758184973421066e-05
gene_23,-63.95055406759632,-100.11679685612303,36.16624278852671
gene_24,-78.74060170168522,-78.74155391036076,0.0009522086755424652
gene_25,-37.07249516478503,-39.72834282812079,2.6558476633357557
gene_26,-68.40426856340562,-68.40245046292668,-0.001818100478942597
gene_27,-49.140483740083,-52.97504122800683,3.8345574879238313
gene_28,-66.31222531758388,-66.64539899049824,0.33317367291435573
gene_29,-55.629314778333026,-61.36122729340799,5.731912515074967
gene_30,-84.77538754492832,-85.35407956343781,0.5786920185094857
gene_31,-40.32884644856726,-49.374797258055054,9.045950809487792
gene_32,-83.69181742169663,-84.19754570813488,0.5057282864382557
gene_33,-45.94727147399656,-46.59610002873383,0.6488285547372712
gene_34,-75.96674324333038,-76.24901810159432,0.28227485826393206
gene_35,-61.33228388578962,-69.99456643727622,8.662282551486598
gene_36,-85.91972298003162,-85.9192471372219,-0.00047584280972046145
gene_37,-32.025684869556514,-45.94774593074785,13.922061061191336
gene_38,-101.33776333358554,-101.9243764460242,0.5866131124386555
gene_39,-39.49300227731404,-56.65643489176094,17.163432614446897
