,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,Dynamic_time,Constant_time
gene_1,-33.619864949921634,-39.61287631472044,5.993011364798804,0:00:04.444476,0:00:04.444476
gene_2,-51.585394329632244,-50.017987687008414,0.0,0:00:03.905875,0:00:03.905875
gene_3,-45.863283431233015,-47.002326271421,1.139042840187983,0:00:00.874369,0:00:00.874369
gene_4,-53.58108300960331,-51.2369275426911,0.0,0:00:02.427366,0:00:02.427366
gene_5,-65.96171248523684,-73.25106627923091,7.289353793994067,0:00:00.940584,0:00:00.940584
gene_6,-62.632548675843154,-59.972707519832014,0.0,0:00:02.616518,0:00:02.616518
gene_7,-43.87234191749831,-49.01249641671597,5.140154499217658,0:00:00.880959,0:00:00.880959
gene_8,-62.085134916721515,-60.139336775982606,0.0,0:00:00.956813,0:00:00.956813
gene_9,-38.336170476499476,-45.233707355619806,6.897536879120331,0:00:00.889787,0:00:00.889787
gene_10,-54.79066567269071,-53.885464247800954,0.0,0:00:00.984397,0:00:00.984397
gene_11,-63.81210029850879,-70.12797589943489,6.315875600926098,0:00:00.957815,0:00:00.957815
gene_12,-57.433573301760134,-55.97972579660792,0.0,0:00:00.950466,0:00:00.950466
gene_13,-33.498675087404834,-35.132650199733526,1.6339751123286916,0:00:05.299983,0:00:05.299983
gene_14,-51.09941938145079,-50.34016299893893,0.0,0:00:00.964421,0:00:00.964421
gene_15,-31.45252643008553,-36.36335691266051,4.910830482574976,0:00:00.881025,0:00:00.881025
gene_16,-47.5576210863239,-46.1605259080158,0.0,0:00:00.951965,0:00:00.951965
gene_17,-41.7367357418194,-43.199748755979755,1.463013014160353,0:00:00.885387,0:00:00.885387
gene_18,-50.012505055893435,-49.12660952570341,0.0,0:00:00.958499,0:00:00.958499
gene_19,-48.613483475388364,-49.20976398830494,0.5962805129165787,0:00:00.905950,0:00:00.905950
gene_20,-60.39199332878116,-59.64895876990526,0.0,0:00:01.008249,0:00:01.008249
gene_21,-48.53047911462317,-51.54413394493202,3.0136548303088517,0:00:00.882897,0:00:00.882897
gene_22,-58.19591773975325,-56.64112721063325,0.0,0:00:01.039981,0:00:01.039981
